point,sharpe,expected_return_pct,volatility_pct,weight_SPY_pct,weight_QQQ_pct,weight_TLT_pct,weight_GLD_pct,weight_CPER_pct,weight_MCHI_pct,weight_EWY_pct
1,0.565061313330387,6.768829373283497,9.067841083060342,31.626664415915247,0.0,42.74247486988387,14.827993230582614,10.802867483618275,0.0,0.0
2,0.5767321908637879,6.8750846444758915,9.068579048491088,32.41693821792093,0.0,42.12896886541153,15.059802873718716,10.394290042948827,0.0,0.0
3,0.5883054522640687,6.981339915668283,9.07079258455485,33.207212019926594,0.0,41.515462860939216,15.291612516854808,9.985712602279385,0.0,0.0
4,0.599775594669095,7.0875951868606775,9.07448061144483,33.99748582193229,0.0,40.90195685646689,15.523422159990902,9.577135161609931,0.0,0.0
5,0.611137276582708,7.19385045805307,9.079641332406812,34.78775962393796,0.0,40.288450851994554,15.755231803126998,9.168557720940491,0.0,0.0
6,0.6223853302248411,7.300105729245465,9.086272238107405,35.57803342594365,0.0,39.67494484752222,15.987041446263095,8.75998028027104,0.0,0.0
7,0.6335147731193184,7.40636100043786,9.094370112714882,36.36830722794933,0.0,39.061438843049885,16.21885108939919,8.351402839601588,0.0,0.0
8,0.6445208188597182,7.512616271630253,9.103931041658388,37.158581029955016,0.0,38.44793283857756,16.450660732535287,7.942825398932136,0.0,0.0
9,0.6553988870007064,7.618871542822644,9.114950421022037,37.94885483196068,0.0,37.834426834105244,16.682470375671375,7.534247958262698,0.0,0.0
10,0.6661446120296992,7.725126814015041,9.127422968521708,38.73912863396637,0.0,37.2209208296329,16.91428001880748,7.125670517593247,0.0,0.0
11,0.6767538513815212,7.831382085207434,9.141342736004079,39.52940243597205,0.0,36.60741482516057,17.146089661943577,6.717093076923797,0.0,0.0
12,0.6872226924667608,7.9376373563998275,9.156703123399854,40.31967623797774,0.0,35.99390882068824,17.377899305079666,6.3085156362543495,0.0,0.0
13,0.6975474586926859,8.043892627592223,9.173496894056045,41.10995003998342,0.0,35.38040281621592,17.60970894821576,5.899938195584907,0.0,0.0
14,0.7077247144637595,8.150147898784615,9.191716191366023,41.900223841989096,0.0,34.766896811743585,17.841518591351857,5.491360754915454,0.0,0.0
15,0.7177512691569025,8.256403169977009,9.21135255661045,42.69049764399478,0.0,34.15339080727126,18.07332823448796,5.082783314246007,0.0,0.0
16,0.7276241800745462,8.362658441169405,9.232396947917513,43.48077144600046,0.0,33.53988480279894,18.305137877624052,4.674205873576562,0.0,0.0
17,0.7373407543861684,8.468913712361797,9.254839760246982,44.27104524800614,0.0,32.9263787983266,18.536947520760148,4.265628432907114,0.0,0.0
