year,optimized_return_pct,provided_return_pct
2011,-1.962759841926709,-1.910899735810201
2012,15.395749001728621,14.668789783270375
2013,20.539116520901125,11.072737240038277
2014,13.344687575431102,8.038065473792223
2015,3.324941379254298,-2.0130277673896413
2016,9.440471752744584,8.53769152363768
2017,25.407559754751507,28.864812141689878
2018,-1.4862664777751666,-7.28612608772835
2019,32.74472852241894,25.150815736625564
2020,34.52199253798425,32.434828469036425
2021,21.618114962067093,11.859613094765354
2022,-22.513749654262792,-22.39622922434048
2023,37.31417922730134,23.186923434770247
2024,25.8933346299592,14.356737842916111
2025,27.319281613337854,32.28981075044264
2026,8.592349518307918,12.178329248227303
