date,optimized_annualized_return_pct,provided_annualized_return_pct
2016-11-30,11.626327292497685,7.547113337167222
2016-12-31,12.258806758309548,7.913476611456849
2017-01-31,11.489033024865414,7.3878011485302375
2017-02-28,11.48849131695755,7.323050988106861
2017-03-31,10.98365491169979,7.398421700131741
2017-04-30,11.607351104169418,7.657995657310823
2017-05-31,13.669145659201853,9.709974113457221
2017-06-30,12.576072780606085,9.13796109546141
2017-07-31,13.035934855907438,9.611508250822464
2017-08-31,12.513391761183911,9.616603018621372
2017-09-30,12.012876565576658,8.93080495470986
2017-10-31,13.522477327446115,10.22164179544447
2017-11-30,13.80653716515734,10.22268090980889
2017-12-31,14.142453364935115,10.462153952835918
2018-01-31,14.995485131701326,11.235637514904306
2018-02-28,14.57683902534399,10.607196004256236
2018-03-31,13.286694298917023,10.15965073568259
2018-04-30,13.235405013940404,10.122491873299634
2018-05-31,13.678806124637944,10.561809932825806
2018-06-30,14.551494916350482,11.270068759151375
2018-07-31,13.671046369215833,10.43158737027461
2018-08-31,14.493905906224613,10.568829280062486
2018-09-30,13.907935899779567,9.93519070606894
2018-10-31,11.638837095915333,7.653940268534187
2018-11-30,11.381208168711488,7.823584649849957
2018-12-31,9.627865395193647,6.542027732343758
2019-01-31,11.557846927467065,8.680824607690862
2019-02-28,10.963525975247723,8.27855281199823
2019-03-31,11.835613524142774,8.97041473781226
2019-04-30,12.662666100646124,9.448065820621675
2019-05-31,10.799635155994359,7.467383077680156
2019-06-30,11.66127137589157,8.293218369615985
2019-07-31,12.139743444290186,8.09693158368059
2019-08-31,11.302515242621602,7.460492409599273
2019-09-30,11.841920047044475,8.344204008586775
2019-10-31,12.250816306327806,8.688610062516089
2019-11-30,12.148094511151463,8.770311052059942
2019-12-31,13.147296273158226,9.721651341503312
2020-01-31,13.753556035404092,9.780281483464591
2020-02-29,11.504500953095809,8.380234330829971
2020-03-31,10.215305893693639,6.77068300624577
2020-04-30,12.629757844683255,8.208022037337459
2020-05-31,13.426663918309822,9.200459617483281
2020-06-30,14.866904999981179,10.978319022427673
2020-07-31,16.141758314812215,12.703908120748931
2020-08-31,18.98078257260478,15.16053580969674
2020-09-30,18.340788247487193,14.766324232152028
2020-10-31,15.801112849540155,12.908066821363784
2020-11-30,17.79993102089168,15.23317856934392
2020-12-31,19.278400162162356,16.535732479265985
2021-01-31,20.068747385713426,17.568687542807314
2021-02-28,19.690893784183316,17.55200180071308
2021-03-31,18.929287943905383,16.22001627825016
2021-04-30,20.284410639470508,17.350701394684485
2021-05-31,20.155522108218292,17.65977307886615
2021-06-30,20.59795769720669,17.521582984490756
2021-07-31,20.036846135644847,16.641086325244636
2021-08-31,20.76590813848682,16.92785243482151
2021-09-30,19.26380148973832,15.303875164600678
2021-10-31,21.19964082925254,16.978866395723657
2021-11-30,21.392796255342162,16.72871709682724
2021-12-31,21.822039970960084,17.240498600730668
2022-01-31,19.264605666234182,14.856227583432947
2022-02-28,17.84628984669936,13.781590381842923
2022-03-31,18.487661118600094,13.757493678901312
2022-04-30,15.575005841518763,11.35408125909041
2022-05-31,14.72768691703179,10.55306459433596
2022-06-30,13.30300689840065,9.054022775890314
2022-07-31,14.503478995829045,9.274990470444354
2022-08-31,13.050399337273433,7.9338148207869885
2022-09-30,11.040787058153834,5.843003048283868
2022-10-31,11.323333977341555,5.399313969721842
2022-11-30,12.201059122576009,7.225507498573136
2022-12-31,10.638442480304988,5.932044081950205
2023-01-31,10.971718606262538,6.777933904700917
2023-02-28,11.01848064905182,6.690931333388073
2023-03-31,13.248787180599408,8.210549454699589
2023-04-30,13.401632748429337,8.157170751449838
2023-05-31,13.502372672801076,7.897945563356568
2023-06-30,14.547324064627487,9.02111004385413
2023-07-31,14.823951588321794,9.808550114326952
2023-08-31,13.696053247952156,8.785690802456724
2023-09-30,12.573176686823784,7.65841328141128
2023-10-31,13.91443106820114,8.817112468448784
2023-11-30,15.722755633967434,10.135102129187533
2023-12-31,18.236012486829424,12.12729076834449
2024-01-31,16.791586346015208,10.20500245914333
2024-02-29,17.236428904314828,10.605300432646537
2024-03-31,17.474767065968933,10.887025733242428
2024-04-30,15.89404323350152,10.085335847618149
2024-05-31,18.426422385427223,12.281204462485062
2024-06-30,17.723674004521015,11.475392852100796
2024-07-31,17.466870199596052,11.525670040362602
2024-08-31,17.8585146750067,11.82227645563434
2024-09-30,18.434589062111904,12.690764897604367
2024-10-31,17.674715297714005,11.597295259622964
2024-11-30,17.992419211636147,11.49469739465765
2024-12-31,16.98949476196954,10.122723470866578
2025-01-31,17.18173669060643,10.939155224774622
2025-02-28,18.211792312459686,11.909566730371314
2025-03-31,19.17342653482761,13.371171340774456
2025-04-30,16.663952174678265,11.107252299405479
2025-05-31,16.94494509299467,11.33073300854277
2025-06-30,17.095413719587892,11.628324882867735
2025-07-31,15.82477349085063,10.205889003622604
2025-08-31,14.603543973163614,9.421834829506693
2025-09-30,17.101995824077363,11.40809341895519
2025-10-31,18.553953865569017,12.720164863257267
2025-11-30,16.803573016468953,10.793167938176262
2025-12-31,15.708974088533335,10.098595761060869
2026-01-31,16.661296024878204,11.16813694117409
2026-02-28,16.786672393041833,11.541329086102014
2026-03-31,14.872185995902543,9.898806745382105
2026-04-30,16.06433160243825,11.087725635364043
2026-05-31,17.3266846992004,12.360611903246799
2026-06-30,16.140730650819336,11.498878682825598
2026-07-31,14.801604266300949,10.665009826811955
