date,optimized_balance,provided_balance
2011-12-31,0.9803724015807329,0.980891002641898
2012-01-31,1.0566966713969783,1.0556285589915486
2012-02-29,1.0991351206710356,1.090025826022538
2012-03-31,1.1353031579920074,1.0990375819564324
2012-04-30,1.1259723503582393,1.100980769683441
2012-05-31,1.0518302451727957,1.0314536954645013
2012-06-30,1.0888845742143403,1.0580643857993501
2012-07-31,1.1000564309558416,1.0728101505810412
2012-08-31,1.1473381828651052,1.0974762431569811
2012-09-30,1.171536377020314,1.127679999985296
2012-10-31,1.127502241074144,1.0998710337676827
2012-11-30,1.1359026488654969,1.115088066753107
2012-12-31,1.1313080758103213,1.1247758418224512
2013-01-31,1.1635364742082175,1.142119296479645
2013-02-28,1.159186594622825,1.1349610415617268
2013-03-31,1.1925810504332912,1.1416602055412608
2013-04-30,1.1981253101186948,1.1421717844297574
2013-05-31,1.2146202978116079,1.1435423484822347
2013-06-30,1.1699945965305087,1.0915042121674217
2013-07-31,1.2420869621833033,1.1402848679881596
2013-08-31,1.23995975115112,1.1463381316799628
2013-09-30,1.2712021419724127,1.1820865203971447
2013-10-31,1.3203773414455073,1.2191897820543836
2013-11-30,1.342569208534344,1.23557996100703
2013-12-31,1.3636687597113677,1.24931931532688
2014-01-31,1.344151407337093,1.2155574500100392
2014-02-28,1.4136678204071296,1.2619759557190453
2014-03-31,1.3897639817654228,1.2450403511025536
2014-04-30,1.3918535434913422,1.2471783979054714
2014-05-31,1.4253101477856345,1.2834204182020283
2014-06-30,1.4735670193854014,1.3148811866606946
2014-07-31,1.4661027769992008,1.3263911629351637
2014-08-31,1.5220281802416917,1.363888259905158
2014-09-30,1.4921883644922862,1.3177577290222968
2014-10-31,1.5144523540359633,1.336456370525148
2014-11-30,1.5605651659673607,1.355080345791114
2014-12-31,1.5456460952586057,1.349740419869587
2015-01-31,1.5401641999241278,1.3430181394397331
2015-02-28,1.6060250621267562,1.3909527042763064
2015-03-31,1.5727320707190984,1.3852574763705172
2015-04-30,1.592215339330988,1.4271093594639512
2015-05-31,1.6181866561887523,1.4170961775840754
2015-06-30,1.5832041133273322,1.37239422254131
2015-07-31,1.611009601353185,1.3580840934987937
2015-08-31,1.5363219613230814,1.2893910189343953
2015-09-30,1.501911091556964,1.2750252871750651
2015-10-31,1.6337823204480268,1.3658382092524701
2015-11-30,1.62010744859872,1.3381728948480867
2015-12-31,1.5970379218566875,1.322569770429931
2016-01-31,1.5329712030011855,1.2695176434823545
2016-02-29,1.5517489084352798,1.279457049977474
2016-03-31,1.6352539748953943,1.3567581231837453
2016-04-30,1.6267638266290085,1.3535074212652125
2016-05-31,1.6524193309261905,1.3518789603372015
2016-06-30,1.6629759457092061,1.3784272948510128
2016-07-31,1.7476160897295443,1.4395362198902473
2016-08-31,1.7468613191315117,1.440047921511617
2016-09-30,1.7684668522973355,1.4667642495150486
2016-10-31,1.7362664870285027,1.432676229218954
2016-11-30,1.7331381397246455,1.4387780052603842
2016-12-31,1.7478058357501878,1.4354866976141212
2017-01-31,1.8201663576754148,1.5075991392521386
2017-02-28,1.8932208462196802,1.5520361745261149
2017-03-31,1.9116437460666593,1.5703701777673562
2017-04-30,1.9498074678749893,1.5922497281304224
2017-05-31,1.9959912536298774,1.6393825162768567
2017-06-30,1.968848578623551,1.63829187258264
2017-07-31,2.0300073791213302,1.6974759988172712
2017-08-31,2.068771531662256,1.7369080359142712
2017-09-30,2.065834519236168,1.729575172843808
2017-10-31,2.1258210990793476,1.789271083133809
2017-11-30,2.168588537003169,1.8141116749014206
2017-12-31,2.19188064786545,1.8498372361993853
2018-01-31,2.339828091186314,1.9450519713787715
2018-02-28,2.288956468804175,1.8788749132410423
2018-03-31,2.225268528075792,1.852036812514474
2018-04-30,2.230557543567508,1.849743790366736
2018-05-31,2.305887175692471,1.8892000591312976
2018-06-30,2.3077441669106915,1.8617321479604272
2018-07-31,2.3572263769843245,1.8727505592448073
2018-08-31,2.439604608939804,1.8944201095831439
2018-09-30,2.4377239651261093,1.8981605173968377
2018-10-31,2.289678903304517,1.7628727518476517
2018-11-30,2.301422235218991,1.800693042454333
2018-12-31,2.1593034605633856,1.715055762752149
2019-01-31,2.322463032674154,1.8430627176217835
2019-02-28,2.378201311515177,1.8782927988590632
2019-03-31,2.431317494201804,1.9130505504162667
2019-04-30,2.5263508365283,1.9587050149500171
2019-05-31,2.380131920970276,1.8397224672290107
2019-06-30,2.5578951291486116,1.9583612857353312
2019-07-31,2.599933304397745,1.957665338259131
2019-08-31,2.5998457817516485,1.9544426103346335
2019-09-30,2.6112395820396914,1.9672700862967294
2019-10-31,2.6990016766549583,2.0270990033190266
2019-11-30,2.768480082723498,2.0630839419879594
2019-12-31,2.866361516700064,2.1464062774223205
2020-01-31,2.933539457909719,2.141428500852827
2020-02-29,2.7683073755225265,2.0799973974239725
2020-03-31,2.557786522084346,1.9221647439299234
