roll_period_years,optimized_average_pct,optimized_high_pct,optimized_low_pct,provided_average_pct,provided_high_pct,provided_low_pct
1,16.587570857126707,52.11253787713852,-22.513749654262792,12.399477897889021,49.66370179794624,-25.838250492389946
3,15.242788809426921,30.079822923718268,8.130333016125979,10.666390215378865,25.487797580806728,1.659941455031655
5,15.10375985271137,21.822039970960084,9.627865395193647,10.714473154527271,17.65977307886615,5.399313969721842
7,15.364845354088457,21.30783278097359,11.492876013222064,10.966452135738884,16.811377108865244,7.726354503759025
