portfolio,market_type,portfolio_return,benchmark_return,active_return,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return,below_active_return
provided,up,0.034949522204878083,0.033799739031045974,0.0011497831738321062,91,46,45,91,50.54945054945055,0.019556726814023085,-0.017666203658363112
provided,down,-0.033708594634847,-0.039234763683209634,0.005526169048362621,38,20,18,38,52.63157894736842,0.021321385609046863,-0.01202407157461987
optimized,up,0.029102553016843547,0.033799739031045974,-0.00469718601420243,91,38,53,91,41.75824175824176,0.011074074529898448,-0.016004882253369095
optimized,down,-0.021974757828985496,-0.039234763683209634,0.01726000585422413,38,31,7,38,81.57894736842105,0.022840142341218898,-0.007452027159609849
