kind,label,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_EEM_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
provided,Provided Portfolio,0.5884287744406405,10.32016073051791,11.01353001993783,10.0,10.0,8.0,17.0,5.0,15.0,15.0,20.0
optimized,Optimized Portfolio,1.2909997210268835,15.933005767236514,9.36756438568122,17.04376522615551,32.38563930925719,0.0,0.0,13.996504341365624,0.0,0.0,36.57409112322169
benchmark,Benchmark,0.8909056649160687,16.58139756838932,14.302204275431379,,,,,,,,
