portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-04-30,2022-12-31,2023-04-30,13,-8.226375421437549
optimized,2,2026-06-30,2026-07-31,,3,-6.322840129631036
optimized,3,2026-03-31,2026-03-31,2026-05-31,3,-4.08206321366481
optimized,4,2022-01-31,2022-01-31,2022-03-31,3,-3.7011066471791754
optimized,5,2023-09-30,2023-10-31,2023-11-30,3,-2.9237313964288636
optimized,6,2025-04-30,2025-04-30,2025-07-31,4,-1.1991570090717607
optimized,7,2023-05-31,2023-05-31,2023-06-30,2,-0.3300540825718734
optimized,8,2025-02-28,2025-02-28,2025-03-31,2,-0.15891668974891138
provided,1,2022-01-31,2022-10-31,2024-03-31,27,-16.196296785677788
provided,2,2026-06-30,2026-07-31,,3,-9.136912470779723
provided,3,2026-03-31,2026-03-31,2026-05-31,3,-6.0315644702682025
provided,4,2025-04-30,2025-05-31,2025-06-30,3,-1.3775284967545876
provided,5,2024-08-31,2024-08-31,2024-09-30,2,-0.38670883534340783
provided,6,2024-04-30,2024-04-30,2024-05-31,2,-0.11088562086427611
benchmark,1,2022-01-31,2022-06-30,2023-04-30,16,-13.403053734062176
benchmark,2,2025-02-28,2025-04-30,2025-07-31,6,-8.727148613561187
benchmark,3,2026-07-31,2026-07-31,,2,-8.234183406494832
benchmark,4,2023-09-30,2023-10-31,2023-12-31,4,-5.163032616170682
benchmark,5,2025-12-31,2026-03-31,2026-04-30,5,-1.5483721436609588
benchmark,6,2024-04-30,2024-04-30,2024-05-31,2,-1.4966097781790255
benchmark,7,2023-05-31,2023-05-31,2023-06-30,2,-0.8622137598930046
benchmark,8,2024-07-31,2024-08-31,2024-09-30,3,-0.46211123581547664
benchmark,9,2023-07-31,2023-07-31,2023-08-31,2,-0.2501129608797892
