asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.7409211281821907,0.0,0.0
GLD,0.129615202798733,0.056034923022423445,0.0440066279300199
TLT,0.12946366901907622,0.0,0.0
QQQ,0.0,0.26868017824870327,0.42525631980161205
SLV,0.0,0.13829629765109114,0.12294753870487714
GDX,0.0,0.16138496688053966,0.0
AIA,0.0,0.20407487125799786,0.0
XLF,0.0,0.0747710714652055,0.0
XLE,0.0,0.09675769147403908,0.09916533897266844
EWY,0.0,0.0,0.16602436121509923
EWJ,0.0,0.0,0.07151167649038094
INDY,0.0,0.0,0.0710881368853424
