portfolio,start_balance,end_balance,cagr,annualized_return,annualized_volatility,best_year,worst_year,max_drawdown,sharpe_ex_post,sortino
Sample Portfolio,10000.0,21577.70364834662,0.12227886332855276,0.12352000089521942,0.12403022423300979,0.24216185686119363,-0.173065504295153,-0.2224544112947714,0.766617584409023,1.1983462374774563
Portfolio 2,10000.0,34856.317517654956,0.20598588683586838,0.20374800231807744,0.17456439873031324,0.5437907989363959,-0.09956658209224278,-0.22346462630973718,1.0042812486005168,1.7078273904742574
Portfolio 3,10000.0,33627.56332969093,0.19951120690136692,0.1976738180823313,0.17062338784486034,0.4254505915457989,-0.11600913506838173,-0.20051037870076904,0.9918779026718829,1.6547402759757186
benchmark,10000.0,26145.130070875155,0.1550708423285132,0.15921058928712306,0.16941593575081398,0.28728780803321574,-0.18175361295122916,-0.23927184023145587,0.7719128587730552,1.2321279669780825
