date,Sample Portfolio_balance,Portfolio 2_balance,Portfolio 3_balance,benchmark_balance
2020-01-01,10000.0,10000.0,10000.0,10000.0
2020-01-31,10241.39420960472,9881.403372056793,9939.139672454061,9995.962980499979
2020-02-29,9896.017137407052,9262.431008114254,9282.903534287983,9204.623942427796
2020-03-31,9348.205893391583,8162.804786241827,8155.386360323724,8055.231128468135
2020-04-30,10142.170114912062,9341.327072792817,9168.870147139443,9078.112634612391
2020-05-31,10415.641344830328,9837.789269242987,9742.446336445186,9510.642710979779
2020-06-30,10587.44047158342,10341.523293910444,10174.464144418378,9679.309198454512
2020-07-31,11290.326211967176,11417.5474018127,11052.6024673045,10249.342385022439
2020-08-31,11582.692400708705,12118.500461373771,11956.370003365377,10964.713474595383
2020-09-30,11247.143580268044,11318.21652066025,11267.893067971576,10554.155560788922
2020-10-31,10993.922542010623,11201.608151937595,11087.155195900092,10291.003469277877
2020-11-30,11571.349888213545,11911.852596313289,12066.643401669879,11410.424976137794
2020-12-31,11959.23484926554,12740.513555379433,12979.156893380788,11833.16156149959
2021-01-31,11722.11048471094,12892.63289596097,13018.426558272968,11712.575237727506
2021-02-28,11642.627235526581,13146.732316775106,13305.264912957351,12038.25276214934
2021-03-31,11835.257805053163,13201.311420440175,13390.159393846605,12584.778449701296
2021-04-30,12366.844005883231,13713.821386224705,13773.767439811427,13250.646380808379
2021-05-31,12590.227481125567,14176.729905445694,14144.630934555558,13337.652940731023
2021-06-30,12693.890824282733,14109.407512983023,14389.552853687685,13636.780378649753
2021-07-31,13033.848103204555,13878.46114780302,14328.360455969048,13969.687298981185
2021-08-31,13276.430317400274,13929.018327023092,14597.381848165125,14385.42333262045
2021-09-30,12730.316040762995,13405.1141590157,14220.818333667721,13714.984758977142
2021-10-31,13400.939853938888,14286.811973345157,14928.588357615825,14677.274565591322
2021-11-30,13376.809591966514,14019.100997396556,14730.92146729443,14559.34803539346
2021-12-31,13811.439110299432,14299.758707028672,15047.438846381174,15232.684608605708
2022-01-31,13219.892928487594,14073.16858428182,14574.78201611047,14429.292763281079
2022-02-28,13111.108637022624,14203.055238137023,14568.109467638567,14003.382525125015
2022-03-31,13292.011364396722,14619.028180289635,15003.598214232214,14529.778245821932
2022-04-30,12305.168458697566,13452.388366333993,13814.989116706654,13254.512807368952
2022-05-31,12177.830090900366,13519.085863644033,13929.174557421213,13284.430024024483
2022-06-30,11510.730342976633,12307.405403121751,12647.910368157998,12188.990347768273
2022-07-31,12103.377616091699,12779.715509999362,13561.301339726537,13311.44612050852
2022-08-31,11629.225250754927,12301.517440257514,13075.790415952493,12768.309407326848
2022-09-30,10739.02355388419,11352.192510969695,12030.271184816622,11587.932130639247
2022-10-31,11091.330295024401,11912.960552019818,12839.879769336347,12529.748704117788
2022-11-30,11808.876131296514,13176.135182602338,13805.961514747334,13226.295278902822
2022-12-31,11421.15543563366,12875.98060782604,13301.798480818128,12464.08914604504
2023-01-31,12158.254962809311,13994.240998633039,14237.65824048946,13247.920014379748
2023-02-28,11726.189314644773,13132.04399582869,13661.896222191861,12914.833139301214
2023-03-31,12283.65064753549,14057.658354534766,14636.585141257854,13393.68543993424
2023-04-30,12430.86205246132,14128.5262766358,14811.10974666078,13607.650594037914
2023-05-31,12357.795381812351,14059.443582732225,15155.790567326037,13670.465202785086
2023-06-30,12795.475245455176,14529.347138080342,15755.183484025723,14556.308568508886
2023-07-31,13051.517527204129,15258.91857886566,16448.63572566607,15032.786090600674
2023-08-31,12812.57454890602,14787.627090689377,16122.149949729448,14788.474116890295
2023-09-30,12131.973873566087,14090.907703852328,15469.23520019564,14086.99074886973
2023-10-31,12020.493630346815,13987.675223631542,15215.33588766529,13781.18106068866
2023-11-30,12970.325984009589,15134.417916261771,16486.49358026339,15040.003004100072
2023-12-31,13568.033096925552,15544.965298758747,17114.301399755095,15726.661429602133
2024-01-31,13598.154192102085,15234.85557498134,17038.832280605733,15977.13243254715
2024-02-29,13982.227542980383,15673.210612298108,17678.141060653135,16810.928308525254
2024-03-31,14520.038797311485,16713.038262754544,18413.483453170225,17360.680699114844
2024-04-30,14076.299217300959,16656.881304065504,18017.280996213765,16660.70146152382
2024-05-31,14631.776328347234,17545.98014885505,18811.195346630273,17503.395215575398
2024-06-30,14993.021403766808,17867.521350416668,19362.309886005838,18120.920852365558
2024-07-31,15363.369443419266,18189.94622245554,19487.24020149326,18340.344980531616
2024-08-31,15708.507133568944,18397.860977537406,19584.61090600428,18768.878605232145
2024-09-30,16133.83327115585,19044.022154871567,19990.16287409128,19163.112647094822
2024-10-31,16042.877293725694,19228.698921288822,19834.974645110804,18992.109868510313
2024-11-30,16568.650826102672,19403.76956267721,20162.31813245146,20124.674313113796
