date,optimized_annualized_return_pct,provided_annualized_return_pct,benchmark_annualized_return_pct
2014-11-30,15.351520238779148,10.659408076470456,20.826041734075808
2014-12-31,15.836035175677111,11.226896030113709,20.306242630127347
2015-01-31,12.878919382259912,8.356984794009058,17.319884239479745
2015-02-28,12.946430203885262,8.4655442058714,17.79763653216302
2015-03-31,10.981095001438423,8.020455646586333,15.947701063974474
2015-04-30,11.733698676385739,9.033303493064126,16.586549841897536
2015-05-31,14.915330132492821,11.168868277087896,19.52634109156981
2015-06-30,12.786420873608817,9.057513956566687,17.14782045039618
2015-07-31,13.002445138537988,8.176911585928991,17.561602892323336
2015-08-31,9.729629351922275,5.51880150547106,14.177292197202052
2015-09-30,8.140848801364031,4.178393074361275,12.257097207233269
2015-10-31,12.617084152236746,7.486148477917931,16.062080203831197
2015-11-30,11.98442660176433,6.267632960523439,15.984923656935447
2015-12-31,11.631046842560554,5.5482102250385745,14.971471776645817
2016-01-31,9.194879480292496,3.587914284800031,11.165493271417294
2016-02-29,9.885991786376103,4.07544315704933,10.666222087104105
2016-03-31,10.740714558906328,5.922577641918791,11.697679957724127
2016-04-30,10.468900011955995,5.822102103427795,11.137011924726647
2016-05-31,10.546311160371102,5.737378563395135,10.897714799054903
2016-06-30,12.293803016590976,8.090159844518684,11.52436747583514
2016-07-31,11.890386313694323,8.07777975293893,10.984253623661466
2016-08-31,11.862893969862643,7.8999911876892925,12.161256128514509
2016-09-30,11.448940268370379,7.457578171693968,11.004599479776743
2016-10-31,9.398386984697238,5.525860807391969,8.70666371336406
2016-11-30,8.703316673903249,5.206106240722153,8.959480227814986
2016-12-31,8.45896254436278,4.739029507884873,8.758938117083703
2017-01-31,10.442256790456428,7.441012048051765,10.72030556360657
2017-02-28,10.020351735028065,7.1396516060513004,10.500166877931449
2017-03-31,11.027841465123966,8.045383857148858,10.24219587769839
2017-04-30,11.711829540874398,8.482790965464183,10.35064390868341
2017-05-31,11.723379503522025,8.501840511021808,10.022772209035825
2017-06-30,9.942754996798907,7.605606070497073,9.507603076393266
2017-07-31,11.274224778370856,8.57021835376024,10.751109332741372
2017-08-31,10.636063558087393,8.392525916084814,9.437656154694807
2017-09-30,11.312720336468418,9.488366347126863,10.67915973115776
2017-10-31,11.841471221656441,10.214934184161573,10.67962917523031
2017-11-30,11.469670451244696,10.213043201368066,10.790613759244438
2017-12-31,12.221573646794127,11.077923547135127,11.330912769133604
2018-01-31,14.73475640085744,13.140068452707897,14.526797535870738
2018-02-28,12.40104559580162,10.542301339500426,11.078317021335128
2018-03-31,12.155421445593383,10.163997804693459,10.636255063843691
2018-04-30,11.782357662154762,9.031361047586618,10.465604173394727
2018-05-31,12.400642669051432,10.059158751908459,10.880401097765425
2018-06-30,13.221873241966975,10.699611360793448,11.855075090391832
2018-07-31,13.384716140782182,11.305792779477631,12.379746582791906
2018-08-31,16.41534289676494,13.683444956507685,15.968621036501851
2018-09-30,17.253780269896502,14.18385792475747,17.203446530093647
2018-10-31,11.753248106384007,8.878101006537097,11.366909603072184
2018-11-30,12.29505355181364,10.401711416342142,11.915093099476003
2018-12-31,10.54668051650216,9.048548189876037,9.161556869964404
2019-01-31,14.716267103631896,13.231466829544946,13.923359740054275
2019-02-28,15.060620903627587,13.65254946976222,15.172966426242862
2019-03-31,13.928855394714379,12.135042107214167,13.37656477698117
2019-04-30,15.532217733207698,13.110464712437953,14.74932633872199
2019-05-31,12.776698502419581,10.816600060827675,11.626914472202676
2019-06-30,15.221447021712265,12.418122617619588,14.026344169821513
2019-07-31,13.948612735977317,10.79120748626423,13.23791722378398
2019-08-31,14.049534242652228,10.717261241448961,12.557453221469572
2019-09-30,13.709256980344552,10.281134844462292,13.280600609094018
2019-10-31,15.686121059627789,12.264466893268322,14.776376953372171
2019-11-30,16.77725768298974,12.765010984726732,14.752743260181745
2019-12-31,17.837913682687745,14.35037485356685,15.08109752974427
2020-01-31,17.16287535385359,12.410248282573288,14.387337054443105
2020-02-29,13.478419909844996,10.252134840858584,9.864988074299784
2020-03-31,10.257859019992921,6.97020719499124,5.0434928159014625
2020-04-30,13.992424083798971,9.963307014613253,8.954488003103167
2020-05-31,15.058387728802881,10.309716909750621,10.142375925793923
