kind,label,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_277540_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct
provided,Provided Portfolio,1.14585315971463,19.799989483392917,13.928928492676256,30.0,20.0,15.0,15.0,15.0,5.0
optimized,Optimized Portfolio,1.3433303090814452,19.538106920118484,11.686347025276563,17.035924064696513,28.804139051077275,0.0,48.390339322815585,5.769597561410617,0.0
benchmark,Benchmark,0.9194011290209275,17.690017493693606,15.064735399903615,,,,,,
