point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_277540_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct
1,1.279558630353002,18.236163113662688,11.251286196295883,6.295503553254463,20.918194437315346,12.47956440639749,53.2779379964311,7.028799606601608,0.0
2,1.2835670186613195,18.281954974756307,11.25182558149415,6.681416485496762,21.16865099801292,11.986071673500955,53.16798360676456,6.995877236224807,0.0
3,1.2874516117396735,18.32774683584992,11.253443581970364,7.067329417739108,21.41910755871046,11.492578940604416,53.058029217098,6.962954865848005,0.0
4,1.2912113996097676,18.37353869694354,11.256139732591707,7.453242349981459,21.669564119408015,10.99908620770788,52.948074827431455,6.930032495471202,0.0
5,1.29484548097377,18.419330558037153,11.259913258879275,7.839155282223764,21.920020680105537,10.505593474811386,52.838120437764914,6.897110125094402,0.0
6,1.2983530642485623,18.46512241913077,11.264763078119163,8.225068214466088,22.170477240803088,10.012100741914862,52.72816604809836,6.864187754717599,0.0
7,1.3017334683350474,18.510914280224387,11.270687800912775,8.610981146708365,22.42093380150064,9.518608009018376,52.618211658431825,6.831265384340801,0.0
8,1.3049861231212028,18.556706141318,11.277685733161182,8.996894078950737,22.671390362198157,9.02511527612184,52.50825726876527,6.7983430139640015,0.0
9,1.3081105697187745,18.602498002411618,11.285754878476954,9.38280701119311,22.921846922895668,8.531622543225303,52.39830287909872,6.765420643587201,0.0
10,1.3111064604347764,18.648289863505234,11.29489294101548,9.768719943435421,23.172303483593247,8.038129810328773,52.28834848943216,6.732498273210395,0.0
11,1.313973558480163,18.69408172459885,11.305097328716466,10.154632875677718,23.422760044290776,7.544637077432292,52.178394099765626,6.6995759028335975,0.0
12,1.3167117374192552,18.739873585692465,11.316365156945,10.540545807920065,23.673216604988305,7.051144344535761,52.06843971009907,6.666653532456797,0.0
13,1.3193209803646297,18.785665446786084,11.32869325252041,10.926458740162381,23.92367316568586,6.557651611639241,51.95848532043252,6.633731162079997,0.0
14,1.3218013789233274,18.831457307879692,11.342078158119874,11.312371672404712,24.174129726383388,6.064158878742717,51.84853093076598,6.600808791703194,0.0
15,1.3241531319012736,18.87724916897331,11.356516137042833,11.698284604647037,24.424586287080906,5.570666145846223,51.73857654109945,6.567886421326399,0.0
16,1.3263765437738062,18.92304103006693,11.372003178321071,12.084197536889405,24.675042847778467,5.077173412949659,51.62862215143288,6.534964050949592,0.0
17,1.328472022931156,18.96883289116055,11.38853500215856,12.47011046913173,24.925499408476025,4.583680680053126,51.51866776176634,6.502041680572793,0.0
18,1.330440079708571,19.01462475225416,11.40610706568427,12.856023401374053,25.175955969173554,4.090187947156627,51.40871337209978,6.469119310195989,0.0
19,1.3322813242115694,19.060416613347783,11.424714569000422,13.241936333616389,25.42641252987112,3.5966952142600803,51.29875898243322,6.436196939819188,0.0
20,1.3339964639475144,19.106208474441388,11.444352461507998,13.627849265858677,25.676869090568644,3.1032024813635957,51.18880459276668,6.403274569442388,0.0
21,1.3355863012753217,19.15200033553501,11.46501544849085,14.01376219810101,25.92732565126617,2.6097097484670932,51.078850203100146,6.370352199065592,0.0
22,1.33705173068565,19.197792196628622,11.486697997939151,14.39967513034335,26.177782211963713,2.116217015570555,50.96889581343359,6.337429828688788,0.0
23,1.3383937359243718,19.24358405772224,11.509394347592783,14.785588062585648,26.428238772661278,1.6227242826740398,50.85894142376704,6.304507458311987,0.0
24,1.3396133869724884,19.28937591881586,11.533098512184745,15.171500994828008,26.6786953333588,1.1292315497775092,50.7489870341005,6.271585087935186,0.0
25,1.3407118368959194,19.335167779909472,11.557804290864727,15.557413927070348,26.929151894056318,0.6357388168809972,50.63903264443395,6.238662717558386,0.0
26,1.3416903185787918,19.38095964100309,11.583505274782766,15.94332685931267,27.179608454753897,0.1422460839844541,50.5290782547674,6.205740347181585,0.0
27,1.3425073941954406,19.42675150209671,11.610564538318545,16.276762893901406,27.603280591489092,0.0,50.02030842461214,6.099648089997368,0.0
28,1.3430465362390327,19.472543363190322,11.639999197903661,16.588947100995043,28.09710069249041,0.0,49.350028342849505,5.963923863665041,0.0
29,1.3433046454375783,19.518335224283938,11.671851592946659,16.901131308088733,28.590920793491737,0.0,48.67974826108682,5.828199637332709,0.0
30,1.343286120660665,19.564127085377557,11.706101987432918,17.213315515182416,29.084740894493077,0.0,48.00946817932414,5.692475411000368,0.0
31,1.3429957936336023,19.609918946471172,11.742729398416115,17.525499722276077,29.578560995494414,0.0,47.33918809756147,5.556751184668036,0.0
32,1.3424389010584212,19.655710807564788,11.781711656652742,17.837683929369746,30.07238109649572,0.0,46.66890801579883,5.42102695833571,0.0
33,1.3416210555568318,19.701502668658403,11.823025469329918,18.149868136463397,30.56620119749703,0.0,45.99862793403619,5.285302732003392,0.0
34,1.3405482156989579,19.747294529752022,11.86664648450339,18.46205234355716,31.060021298498352,0.0,45.328347852273446,5.149578505671037,0.0
35,1.339226655378348,19.793086390845637,11.912549356865854,18.774236550650777,31.553841399499703,0.0,44.6580677705108,5.013854279338717,0.0
36,1.3376629327872143,19.838878251939253,11.960707814472745,19.08642075774452,32.04766150050095,0.0,43.98778768874815,4.878130053006386,0.0
