date,Portfolio 1_annualized_return_pct,benchmark_annualized_return_pct
2009-11-30,8.43125290732969,0.6076010386517172
2009-12-31,8.10374806573635,0.39141666984090495
2010-01-31,8.19101155805182,0.10384277642709883
2010-02-28,8.62674191091748,0.3048457777890423
2010-03-31,9.815821451160222,1.872916944551517
2010-04-30,10.758180562466201,2.5734471958351657
2010-05-31,9.426034330323162,0.25110226033897565
2010-06-30,8.826783066599898,-0.8385137556820355
2010-07-31,8.828159974208072,-0.27124364870512174
2010-08-31,8.672688155132914,-0.9986894978048277
2010-09-30,9.782839906242891,0.5533373541624087
2010-10-31,11.008937601393542,1.7962443161916974
2010-11-30,10.048130381975628,0.9242631668191059
2010-12-31,10.642560782477606,2.2781577814501075
2011-01-31,9.527238788586079,2.26389206795945
2011-02-28,10.521370680975405,2.8471944215377354
2011-03-31,10.14204434805519,2.513505177753639
2011-04-30,10.296430657680734,2.842018250320577
2011-05-31,10.860573432756793,3.239877031589744
2011-06-30,10.730977975383293,2.8355927286359606
2011-07-31,11.341532240962815,2.329329858164342
2011-08-31,11.150353821826142,0.7427077198280285
2011-09-30,9.450140880285307,-1.2242952414554087
2011-10-31,10.538730314970435,0.21960413910677712
2011-11-30,9.63079184764819,-0.2555539567056786
2011-12-31,9.17798267652634,-0.3131707157352559
2012-01-31,10.35528014172684,0.2948323606625003
2012-02-29,10.869539210486835,1.5523722599735112
2012-03-31,11.258242884640147,1.9621552609343285
2012-04-30,10.380690078217715,0.9467853896758083
2012-05-31,8.887037686243172,-0.9588809361665285
2012-06-30,9.729321398773338,0.12673199714914318
2012-07-31,9.968436581558482,1.00307825254089
2012-08-31,10.394521725225548,1.2456303548473935
2012-09-30,9.653898305356833,0.983758916252131
2012-10-31,7.977108472594363,0.34271783579651327
2012-11-30,8.812832250888224,1.2528380916312365
2012-12-31,8.308366455573069,1.6631276838317222
2013-01-31,9.14428389702211,3.9720842855445193
2013-02-28,9.057399416783651,4.7833135081736256
2013-03-31,9.870549430984532,5.757063874202295
2013-04-30,9.193631576381488,5.176349573316319
2013-05-31,8.606745093507161,5.351757268191681
2013-06-30,8.432320326919696,6.919159968254074
2013-07-31,9.724713035204102,8.197207542066497
2013-08-31,10.197713383884,7.210935190581758
2013-09-30,11.891374790749376,10.036360481737194
2013-10-31,16.11032559937624,15.119847483281458
2013-11-30,16.38875901144139,17.477251799178738
2013-12-31,15.592234646627091,17.85018278263437
2014-01-31,15.961033844059447,19.02977942759978
2014-02-28,18.128547043095345,22.855640911929132
2014-03-31,16.57528943224471,21.104996673546083
2014-04-30,15.38410754093713,18.9972389191688
2014-05-31,14.435493777349384,18.193934662356014
2014-06-30,15.384837645914518,18.69352534659201
2014-07-31,13.875327838391893,16.681528147542934
2014-08-31,14.175655476441662,16.73828274156708
2014-09-30,12.554426385386265,15.605941755982844
2014-10-31,12.807748564783639,16.597232640894898
2014-11-30,11.606159514789027,15.837578150462651
2014-12-31,11.634283491803753,15.341458473605751
2015-01-31,12.696518208539542,15.501709680310638
2015-02-28,12.367622638534815,16.056616484790155
2015-03-31,11.120042271748321,14.330387900805697
2015-04-30,10.617656550665956,14.203192763391836
2015-05-31,11.646667349475969,16.406900723623053
2015-06-30,11.729079063255043,17.168509086857675
2015-07-31,11.162316208535362,16.148186168933965
2015-08-31,10.729639379140243,15.757122379211964
2015-09-30,8.626439411517062,13.201676875925127
2015-10-31,9.129205756479418,14.20556498775596
2015-11-30,8.632133385705899,14.288937033379057
2015-12-31,7.56540067905338,12.426581421337435
2016-01-31,7.296016302414521,10.772672114493954
2016-02-29,7.122640051534623,10.000542369463261
2016-03-31,7.855881229262196,11.439434925487891
2016-04-30,7.0352660883775675,10.892131160824924
2016-05-31,7.241798769416818,11.518144181403379
2016-06-30,8.168863871076294,11.975926220706912
2016-07-31,8.40319799874807,13.23777502901493
2016-08-31,8.034679836539361,14.553059514136235
2016-09-30,9.69807999083896,16.214687773585545
2016-10-31,7.583555444456769,13.434239946382021
2016-11-30,7.2964209436227945,14.351024478532404
2016-12-31,8.00121695364091,14.572500787093134
2017-01-31,7.247788496331076,13.94191915643308
2017-02-28,7.5178049772701705,13.851932065521023
2017-03-31,7.220764984130512,13.161616134691002
2017-04-30,7.666650970908062,13.53738868870309
2017-05-31,9.252643468940946,15.275159232086665
2017-06-30,8.352932186397144,14.507123308514757
2017-07-31,8.677160421786523,14.703913084468834
2017-08-31,8.326753130089482,14.204194515617207
2017-09-30,7.677348652887406,14.0880944511657
2017-10-31,8.743988753795296,15.04256422493151
2017-11-30,8.973960714044548,15.606830301345243
2017-12-31,9.385457640538753,15.67992728203398
2018-01-31,10.0247466417253,15.79346781641975
2018-02-28,9.741687535749065,14.647811213634721
2018-03-31,8.848039974599352,13.1656520815433
2018-04-30,8.994980347038762,12.852045173080029
2018-05-31,9.549450744471155,12.867456243906595
2018-06-30,10.485603902140795,13.301009272255527
2018-07-31,9.546614901961359,12.983994799125863
2018-08-31,9.926107233277893,14.39079222668509
2018-09-30,9.62596216614433,13.81508080955911
2018-10-31,8.11452046823209,11.185508672207556
2018-11-30,8.221779893394675,10.94499534909097
2018-12-31,7.392413128559472,8.362445640773863
2019-01-31,8.724453341285088,10.837254481695169
2019-02-28,8.053781381071424,10.558098261027116
2019-03-31,8.721019061871239,10.772295905614172
2019-04-30,9.212336491066031,11.508318606866897
2019-05-31,8.144316171751731,9.5446107167795
2019-06-30,8.857682729394023,10.57557919231067
2019-07-31,9.364022525596916,11.208440729588487
2019-08-31,9.08816147442797,9.978873643587981
2019-09-30,9.603130969961548,10.710761037611771
2019-10-31,10.041067630471257,10.679442600191136
2019-11-30,9.847607022551808,10.866823669695247
2019-12-31,10.58357007253825,11.560370650596807
2020-01-31,10.816174372040832,12.224403900763825
2020-02-29,9.4965834393401,9.187772038657949
2020-03-31,8.616152293217215,6.650614009894307
2020-04-30,10.641130513040697,9.01766703960105
2020-05-31,11.296750601539873,9.756493147065504
2020-06-30,12.456762066479431,10.59603773570279
2020-07-31,14.003293856416988,11.37037058313506
2020-08-31,15.806773048964295,14.312094515844521
2020-09-30,15.267389725244108,14.030877012549347
2020-10-31,13.35814685055945,11.61911322736393
2020-11-30,14.889969026200456,13.865063709515013
2020-12-31,16.216892779652326,15.097145026422254
2021-01-31,16.289186220367814,16.040782537970145
2021-02-28,15.312025156646847,16.69832307662398
2021-03-31,14.746953910715742,16.21616726619235
2021-04-30,15.611458062865392,17.32840902563886
2021-05-31,16.11876358667623,17.08639525350253
2021-06-30,15.68216052505802,17.525349659653333
2021-07-31,15.388663163402306,17.25060304026207
2021-08-31,16.037596971132405,17.9120784772137
2021-09-30,14.833786940833061,16.790583296142735
2021-10-31,16.396747285607116,18.800124184851374
2021-11-30,16.855822613539374,17.753541005283747
2021-12-31,17.388632812831695,18.347128738494376
2022-01-31,15.362513827689671,16.657025168080473
2022-02-28,14.470388677723744,15.06970352864645
2022-03-31,14.917468310243699,15.893124238314527
2022-04-30,12.68639726380998,13.558772151553367
2022-05-31,12.021610344592904,13.292012126378694
2022-06-30,10.98190273892936,11.217281338918994
2022-07-31,11.72528251143461,12.734417930013597
2022-08-31,10.346552534245257,11.73394776960739
2022-09-30,8.831862867304796,9.150786653859377
2022-10-31,9.06850921400597,10.354781381765509
2022-11-30,10.049678653022486,10.885610807478496
2022-12-31,8.963227700500042,9.313186355032222
2023-01-31,9.393708924912115,9.447964125394549
2023-02-28,9.2580676527221,9.701601297856467
2023-03-31,11.075306452164103,11.119254457890438
2023-04-30,11.314200602002966,11.35716352842211
2023-05-31,11.267582124329124,10.925664073216424
2023-06-30,12.059947676288152,12.198617235652808
2023-07-31,12.398092601173882,12.105132856128265
2023-08-31,11.607903129603514,11.038368941923181
2023-09-30,10.590809031436565,9.834090728232914
2023-10-31,11.674491053369419,10.93040000616905
2023-11-30,13.077898302844115,12.472547503917731
