date,Portfolio 1_balance,benchmark_balance
2004-12-01,10000.0,10000.0
2004-12-31,10104.941086111263,10301.20985215295
2005-01-31,9745.054251929276,10070.24972852453
2005-02-28,9869.471219500485,10280.754154955088
2005-03-31,9711.327489514755,10092.693371045516
2005-04-30,9590.572564137452,9903.601515155458
2005-05-31,9843.068466205073,10222.740456344753
2005-06-30,9880.987328407438,10238.230626518845
2005-07-31,10156.157160811099,10629.959925990233
2005-08-31,10142.99342758352,10530.309228123137
2005-09-30,10418.483199441585,10614.815694919871
2005-10-31,10264.838005617556,10363.767976426803
2005-11-30,10773.559883292834,10819.284013980565
2005-12-31,10887.930953924964,10798.576812308958
2006-01-31,11411.466849259901,11057.895269875382
2006-02-28,11318.488645944533,11121.207907570468
2006-03-31,11553.095099516173,11304.751247139377
2006-04-30,12000.001268744578,11447.549898343048
2006-05-31,11582.076637340608,11102.738228458378
2006-06-30,11429.369996440004,11131.699787685899
2006-07-31,11424.278927315881,11181.549708895618
2006-08-31,11635.520516263547,11425.562047454558
2006-09-30,11747.744432389307,11734.06263849007
2006-10-31,12078.109683798044,12103.885031041531
2006-11-30,12539.865105691937,12344.572885177415
2006-12-31,12434.555452944482,12509.643654778212
2007-01-31,12659.936965735917,12697.791164368387
2007-02-28,12644.336310289813,12448.68995559549
2007-03-31,12664.236394063375,12592.959088894691
2007-04-30,13130.316718704955,13150.771921192567
2007-05-31,13278.90172543656,13596.847386603524
2007-06-30,13156.344736139969,13398.050927054164
2007-07-31,13149.999763080097,12978.55206465419
2007-08-31,13385.379121468171,13145.102952537252
2007-09-30,14174.895031668915,13654.011173543968
2007-10-31,14842.894879799913,13839.24759112195
2007-11-30,14355.861813388867,13303.22024979116
2007-12-31,14591.314509738331,13153.4103091202
2008-01-31,14329.734238200175,12358.144490572871
2008-02-29,14253.56286203014,12038.779098995341
2008-03-31,14057.919591414367,11931.127475283423
2008-04-30,14386.209133296732,12499.78872660587
2008-05-31,14721.697971799864,12688.74085778829
2008-06-30,14144.29330719306,11628.27176243639
2008-07-31,14082.314526734974,11523.782735210403
2008-08-31,13837.888882483125,11701.868138613463
2008-09-30,12969.080683777765,10599.862260346832
2008-10-31,11085.285121084271,8848.904495656923
2008-11-30,10976.706862956411,8232.957512414541
2008-12-31,11395.194505263184,8313.614322611245
2009-01-31,11181.28236453303,7630.94638242614
2009-02-28,10684.526715823635,6811.014334887747
2009-03-31,11236.334972584587,7378.44311792698
2009-04-30,11868.246791211892,8111.460615603937
2009-05-31,12530.297191133002,8585.605329350892
2009-06-30,12435.696340632572,8579.981650773225
2009-07-31,13127.982065248149,9220.098117580563
2009-08-31,13343.497149941832,9560.681428726577
2009-09-30,13960.11327214125,9899.678623536256
2009-10-31,13905.712510323181,9709.353335744312
2009-11-30,14988.99035204708,10307.514809132683
2009-12-31,14918.925458718804,10504.39752199677
2010-01-31,14445.752440392072,10122.644566650572
2010-02-28,14927.176008341152,10438.414696957834
2010-03-31,15509.691970776481,11073.904830514419
2010-04-30,15985.403395460138,11245.218885499848
2010-05-31,15443.075971969467,10351.73430643402
2010-06-30,15082.707198985172,9816.124211988788
2010-07-31,15503.717433432645,10486.574431014496
2010-08-31,15373.338651193275,10014.882126791215
2010-09-30,16614.099275151755,10911.762498061928
2010-10-31,17303.813732636434,11328.605627398152
2010-11-30,17388.918555479846,11328.605627398152
2010-12-31,18053.293892286023,12085.955942005196
2011-01-31,17986.728057544497,12367.560972248848
2011-02-28,18664.645744343943,12797.177830718992
2011-03-31,18726.81905008845,12798.716729740332
2011-04-30,19587.931811542705,13169.385179486992
2011-05-31,19394.207491882305,13021.694236278725
2011-06-30,19026.897132412043,12802.027723501958
2011-07-31,19548.55975047439,12545.923897829827
