roll_period_years,Portfolio 1_average_pct,Portfolio 1_high_pct,Portfolio 1_low_pct,benchmark_average_pct,benchmark_high_pct,benchmark_low_pct
1,12.994407285543236,39.708350265381576,-25.315882037468796,12.154020573755142,56.23117676148066,-43.42437651791335
3,11.538077093377527,28.055042397299236,-1.9030247112017062,10.708176872248865,25.96882917485912,-15.078052573025037
5,11.412025001015195,18.128547043095345,7.0352660883775675,11.193146112090393,22.855640911929132,-1.2242952414554087
7,11.405328355942979,18.568390378085265,7.894131677450922,11.604941018069571,17.273269053718355,2.5836022573693107
