portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
benchmark,18,2012-10-31,2012-10-31,2013-01-31,4,-1.8197715924157198
benchmark,19,2016-10-31,2016-10-31,2016-11-30,2,-1.7337188587174146
benchmark,20,2019-08-31,2019-08-31,2019-09-30,2,-1.674333940396877
benchmark,21,2015-03-31,2015-03-31,2015-05-31,3,-1.570532013992909
benchmark,22,2014-09-30,2014-09-30,2014-10-31,2,-1.3796160178309425
benchmark,23,2014-07-31,2014-07-31,2014-08-31,2,-1.3437836490590271
benchmark,24,2013-06-30,2013-06-30,2013-07-31,2,-1.3344557567129711
benchmark,25,2026-06-30,2026-06-30,2026-08-31,3,-1.0292566443839024
benchmark,26,2021-01-31,2021-01-31,2021-02-28,2,-1.0190276870885362
benchmark,27,2024-10-31,2024-10-31,2024-11-30,2,-0.8923431171973806
benchmark,28,2021-11-30,2021-11-30,2021-12-31,2,-0.803470379710447
