year,optimized_return_pct,provided_return_pct,benchmark_return_pct
2011,-2.1667205431057712,-1.91088884944689,1.044823015692553
2012,15.23342423143783,14.668787647086523,15.990363018278252
2013,19.29656525462855,11.072734128075679,32.307749597210275
2014,13.06407789653392,8.038058162341333,13.463793484096742
2015,3.1341295209308395,-2.0130165502295183,1.2343014952343578
2016,9.413090457633878,8.537666118076736,11.997901624767104
2017,25.244127195176347,28.864825812928018,21.705367673502952
2018,-1.4150858173720526,-7.286111906913306,-4.568984697277667
2019,32.52179229815913,25.150789181408605,31.2238296970865
2020,34.68225523587905,32.434825620059925,18.33165063474109
2021,21.016061915422867,11.859629851323295,28.728778277901878
2022,-22.2222634657091,-22.396236111025047,-18.175373711459
2023,37.06254658252162,23.186926249931574,26.175780015766435
2024,25.944945420720146,14.356744268826116,24.88648456442084
2025,28.087814137391433,32.289801868340874,17.71905551191473
2026,13.644088137894306,16.986816465909648,13.081637433046645
