portfolio,market_type,portfolio_return_pct,benchmark_return_pct,active_return_pct,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return,below_active_return,above_active_return_pct,below_active_return_pct,overall_active_return_pct
provided,up,2.595161160110682,3.255773670861633,-0.660612510750952,124,39,85,124,31.451612903225808,0.015202644692032585,-0.01661250183906413,1.5202644692032585,-1.6612501839064129,-0.660612510750952
provided,down,-2.7927954666493187,-3.5313866255790876,0.738591158929769,52,34,18,52,65.38461538461539,0.01631891097097933,-0.009487531687212083,1.631891097097933,-0.9487531687212083,0.738591158929769
optimized,up,3.0907004577248904,3.255773670861633,-0.16507321313674378,124,58,66,124,46.774193548387096,0.009176928773271012,-0.011165949289989107,0.9176928773271013,-1.1165949289989108,-0.16507321313674378
optimized,down,-2.9341709111013636,-3.5313866255790876,0.5972157144777229,52,32,20,52,61.53846153846154,0.01404604634157552,-0.006946065570100035,1.404604634157552,-0.6946065570100035,0.5972157144777229
