portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-01-31,2022-09-30,2023-07-31,19,-25.63207162249531
optimized,2,2020-02-29,2020-03-31,2020-05-31,4,-12.80886993187128
optimized,3,2018-09-30,2018-12-31,2019-04-30,8,-11.489598784866239
optimized,4,2012-04-30,2012-05-31,2012-08-31,5,-7.352480289556651
optimized,5,2015-06-30,2015-09-30,2015-10-31,5,-7.185544565326318
optimized,6,2020-09-30,2020-10-31,2020-11-30,3,-7.126572795965225
optimized,7,2023-08-31,2023-10-31,2023-11-30,4,-6.652096750002445
optimized,8,2015-11-30,2016-01-31,2016-03-31,5,-6.170394804312451
optimized,9,2026-03-31,2026-03-31,2026-04-30,2,-6.025440725793829
optimized,10,2019-05-31,2019-05-31,2019-06-30,2,-5.787763331883955
optimized,11,2026-06-30,2026-07-31,,2,-5.607873244575479
optimized,12,2025-02-28,2025-03-31,2025-05-31,4,-5.142900119787641
optimized,13,2021-09-30,2021-09-30,2021-10-31,2,-4.904497781857941
optimized,14,2018-02-28,2018-03-31,2018-07-31,6,-4.896099114637565
optimized,15,2012-10-31,2012-10-31,2013-03-31,6,-3.758657294838963
optimized,16,2013-06-30,2013-06-30,2013-07-31,2,-3.674047141236214
optimized,17,2024-04-30,2024-04-30,2024-05-31,2,-2.896561674443865
optimized,18,2015-03-31,2015-03-31,2015-05-31,3,-2.0729746487257117
optimized,19,2016-10-31,2016-11-30,2017-01-31,4,-1.9976939880992362
optimized,20,2014-09-30,2014-09-30,2014-11-30,3,-1.960546009985109
optimized,21,2014-03-31,2014-03-31,2014-05-31,3,-1.690928579520179
optimized,22,2014-01-31,2014-01-31,2014-02-28,2,-1.4312205709458015
optimized,23,2017-06-30,2017-06-30,2017-07-31,2,-1.3598613020494699
optimized,24,2014-12-31,2015-01-31,2015-02-28,3,-1.3072992773319858
optimized,25,2021-01-31,2021-02-28,2021-03-31,3,-1.144058603103404
optimized,26,2024-12-31,2024-12-31,2025-01-31,2,-0.7904711006228249
optimized,27,2016-04-30,2016-04-30,2016-05-31,2,-0.5192222753232834
optimized,28,2014-07-31,2014-07-31,2014-08-31,2,-0.5065718805379538
optimized,29,2013-08-31,2013-08-31,2013-09-30,2,-0.17130291436077139
optimized,30,2017-09-30,2017-09-30,2017-10-31,2,-0.14197895197819443
optimized,31,2016-08-31,2016-08-31,2016-09-30,2,-0.04319223022167806
optimized,32,2019-08-31,2019-08-31,2019-09-30,2,-0.003385991522053544
provided,1,2022-01-31,2022-09-30,2024-03-31,27,-27.74585846856893
provided,2,2018-02-28,2018-12-31,2019-04-30,15,-11.824688398848227
provided,3,2015-05-31,2016-01-31,2016-07-31,15,-11.042728217051412
provided,4,2020-01-31,2020-03-31,2020-05-31,5,-10.447305002216822
provided,5,2026-03-31,2026-03-31,2026-04-30,2,-6.992701758936681
provided,6,2012-05-31,2012-05-31,2012-09-30,5,-6.314995234848908
provided,7,2019-05-31,2019-05-31,2019-09-30,5,-6.074554709786051
provided,8,2026-06-30,2026-07-31,,2,-5.510469674808949
provided,9,2021-09-30,2021-09-30,2021-12-31,4,-5.0241866849505605
provided,10,2013-06-30,2013-06-30,2013-08-31,3,-4.550609686782813
provided,11,2020-09-30,2020-10-31,2020-11-30,3,-4.033179271444476
provided,12,2014-09-30,2014-09-30,2015-02-28,6,-3.3822928152839826
provided,13,2024-10-31,2024-12-31,2025-01-31,4,-2.772066293782771
provided,14,2014-01-31,2014-01-31,2014-02-28,2,-2.702407051378064
provided,15,2012-10-31,2012-10-31,2013-01-31,4,-2.466022998464368
provided,16,2016-10-31,2016-10-31,2017-01-31,4,-2.32403460190993
provided,17,2025-03-31,2025-04-30,2025-05-31,3,-1.809896581710635
provided,18,2014-03-31,2014-03-31,2014-05-31,3,-1.3420033897011074
provided,19,2024-04-30,2024-04-30,2024-05-31,2,-1.261559227159137
provided,20,2013-02-28,2013-02-28,2013-04-30,3,-0.6267462815237157
provided,21,2025-11-30,2025-11-30,2025-12-31,2,-0.4748916828898997
provided,22,2017-09-30,2017-09-30,2017-10-31,2,-0.42218386675763053
provided,23,2015-03-31,2015-03-31,2015-04-30,2,-0.4094284365823597
provided,24,2017-06-30,2017-06-30,2017-07-31,2,-0.06653735837612862
