asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.7409212601956895,0.0,0.0
GLD,0.12961530012837225,0.05603493559899509,0.04400664345121463
TLT,0.12946343967593818,0.0,0.0
QQQ,0.0,0.26868005389981775,0.4252562146558889
SLV,0.0,0.13829637240727086,0.12294762993507113
GDX,0.0,0.1613849777409409,0.0
AIA,0.0,0.20407489525051972,0.0
XLF,0.0,0.07477109552613972,0.0
XLE,0.0,0.09675766957631586,0.09916528529007192
EWY,0.0,0.0,0.16602437297950323
EWJ,0.0,0.0,0.07151168095141378
INDY,0.0,0.0,0.0710881727368363
