date,asset_133690,asset_402970,asset_069500,asset_168580,asset_200250,asset_101280,asset_TLT,asset_132030,optimized,provided,benchmark
2021-11-30,0.06091326031929034,0.007658772239896416,-0.03594799014192229,-0.0006405534381705991,-0.04249737670514164,0.003087015242137836,0.04828896493415291,-0.0024824162184525767,0.012386408486137118,0.014459196981045601,0.011823873397030393
2021-12-31,0.01032328171692476,0.05881665107577172,0.06523272214386466,0.023363138159792296,0.01972602739726037,0.018529204334166938,-0.02786156444195842,0.0016590626296142386,0.02400785233764967,0.008694993533171968,0.045500809320687896
2022-01-31,-0.12817844909220566,-0.029044726670347853,-0.08929162528963919,-0.05236126769384941,0.009134873723804393,-0.03789500188845529,-0.016071801771719962,-0.001242236024844745,-0.037011066471791705,-0.03350462891778802,-0.03855498300654836
2022-02-28,-0.024365386936290645,-0.009895359417652405,0.009753142510979806,-0.011004626569729004,-0.024760383386581486,-0.010403035854488318,-0.02618862575579406,0.06227197346600333,0.013961892199455943,-0.0016081939070642804,-0.03764906611956442
2022-03-31,0.10111880807081208,0.0557151062607697,0.013048564657887729,-0.06388879607043807,0.028938028938028992,-0.01130578512396696,-0.04109291606384424,0.009679181953009097,0.037235803723232715,0.002799133714784628,0.0522410645625091
2022-04-30,-0.08333229313594548,0.004787812840043593,-0.028573966599549916,-0.062323755131179714,-0.0018572565667285268,-0.025812491641032498,-0.0511389915045698,-0.007653652879783479,-0.019064497094142267,-0.03375880396125564,-0.0443617633770752
2022-05-31,-0.06394596729169222,0.0010829542993284758,-0.0019508031822477179,0.0011420305302829448,-0.04837852206273263,-0.007413509060955503,-0.046004052983403154,-0.03529136802742283,-0.024493208082070915,-0.03168763228762771,-0.02180907581139624
2022-06-30,-0.048748199764332756,-0.04857204673301596,-0.12888250923861588,0.15430244495988443,-0.04469273743016755,-0.046611341632088465,0.023803232805496455,-0.02091577162238556,-0.038212608407288816,-0.010098551813230805,-0.04849247119530842
2022-07-31,0.11934546566753323,0.03888573052870958,0.05129193983802538,-0.07184504397667757,0.0888888888888888,0.07079646017699126,0.03022824786418621,-0.029940613658858473,0.031892875707997086,0.027995376260538,0.09839730982564698
2022-08-31,-0.005232669344481744,0.02177957754186277,-0.004802241045821387,-0.01735519591141399,0.04779806659505903,0.00047419048909369543,-0.010812963279884347,-0.02746365105008075,-0.003816599120774639,-0.00485475412534455,-0.005911908167756219
2022-09-30,-0.03649173888560797,-0.010711225364181676,-0.12277997453253808,-0.026113338389858076,-0.005125576627370565,-0.050104949556503464,-0.022250610751350264,-0.034359153698198974,-0.02926795473731241,-0.03325026360691649,-0.0330065356917969
2022-10-31,0.02098241012629365,0.09040710264183627,0.0636030254412101,-0.10918261385551109,0.04430705821741365,0.03770760567396114,-0.06524621528487728,-0.017564508827523806,0.03170879809350571,-0.01048861498439837,0.0748340067999913
2022-11-30,-0.07222237734900738,-0.027107536490914463,0.07039471321337509,0.03255620316403007,-0.013320177602368033,0.02651463113064989,-0.0010568931282241012,0.0650631278223206,0.006419007724966466,0.01135493702834848,-0.01589752281902579
2022-12-31,-0.10523226942350228,-0.06378852827107573,-0.07737476093010776,-0.008265462462704654,-0.07999999999999996,-0.06497591006423986,-0.05317579025576524,0.027602318940901593,-0.03759292242066681,-0.04427569374495756,-0.10392309729946136
2023-01-31,0.07822065253952237,-0.01875068134743263,0.08902789395206745,0.08350611863235358,-0.03423913043478266,0.05875617261862165,0.028693393077593665,0.055237453688110394,0.035685623245417866,0.03985023992399916,0.03863148062012689
2023-02-28,0.0915443527631763,0.05977113654038435,-0.007847720821506088,0.00731679861918888,0.017445132245357264,0.024874949303771876,0.01859753720521229,-0.05593680178742422,0.01798311575583837,0.012244143657389437,0.043608006353533346
2023-03-31,0.05580165761646194,-0.04486843484642,0.02463816896667792,-0.010914102659614122,-0.01880530973451322,0.013058963197467355,0.031017983609838318,0.08874989434536396,0.029267039623889483,0.02824654785273526,0.019889530620277318
2023-04-30,0.042660891926642686,0.02195148721325868,0.01179291767952173,0.005347794976085618,0.06736189402480264,0.05201822916666665,0.036576582134577595,-0.000776337240897429,0.02137694714896926,0.027003613543954502,0.0495846954612027
2023-05-31,0.07891013409141068,-0.035227150681989006,0.041232427518587134,-0.08466004869825805,0.012410879324003199,0.004270066216968793,-0.042933428077632896,-0.01623805454121674,-0.003300540825718783,-0.0143884228750673,-0.008622212685724273
