point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
1,0.6057113679370312,8.390226558339302,7.513056615096748,0.0,28.74522076694182,0.0,14.663709368910343,26.331708015457984,0.0,0.28325539697717345,8.435257034753327,21.54084941695934
2,0.6281987508401256,8.559803433757734,7.514056130841226,0.0,29.294952139537983,0.0,14.590169556340637,26.10765027012104,0.0,0.0,8.059872846491979,21.947355187508347
3,0.6504812899398095,8.729380309176166,7.517353114042604,0.0,29.81947019997766,0.0,14.4270703535738,25.792401557446876,0.0,0.0,7.5411953658498625,22.419862523151806
4,0.672559968429492,8.898957184594597,7.522711227949511,0.0,29.989729105492525,0.0,14.2594092185869,25.368514498987217,0.5916014923181926,0.0,7.086865674364681,22.703880010250497
5,0.6944560602078285,9.068534060013029,7.529707926844864,0.0,30.126352946537764,0.0,14.091314951859593,24.934312794558437,1.239372469765622,0.0,6.638645470825496,22.9700013664531
6,0.7161564862430048,9.238110935431463,7.538335937069096,0.0,30.262976787583007,0.0,13.923220685132282,24.500111090129664,1.8871434472130435,0.0,6.190425267286299,23.236122722655704
7,0.73765571837307,9.407687810849893,7.548514725148622,0.18907484564800997,30.37006423343381,0.0,13.755290380169042,24.079139600869148,2.3236347726216233,0.0,5.774799548345601,23.50799661891278
8,0.7589560433084759,9.577264686268327,7.5600978188871615,0.4174158201195437,30.471017706810848,0.0,13.587394125974031,23.66091569726115,2.7162485848352973,0.0,5.365942890761493,23.781065174237625
9,0.7800475198923087,9.746841561686757,7.573075552988903,0.6457567945910759,30.571971180187873,0.0,13.419497871779038,23.24269179365318,3.108862397048964,0.0,4.957086233177394,24.054133729562476
10,0.8009203447841772,9.91641843710519,7.587440771181862,0.8740977690626128,30.67292465356492,0.0,13.251601617584033,22.82446789004519,3.5014762092626253,0.0,4.548229575593289,24.327202284887328
11,0.8215651800550297,10.085995312523623,7.603185609064557,1.1024387435341487,30.773878126941963,0.0,13.083705363389035,22.406243986437214,3.8940900214762797,0.0,4.139372918009187,24.600270840212175
12,0.8419731708312258,10.255572187942056,7.620301515055609,1.3307797180056833,30.874831600319,0.0,12.915809109194033,21.98802008282923,4.286703833689947,0.0,3.730516260425079,24.873339395537027
13,0.8621359604054237,10.425149063360488,7.638779272868813,1.5591206924772114,30.975785073696038,0.0,12.747912854999033,21.56979617922125,4.6793176459036205,0.0,3.32165960284098,25.14640795086187
14,0.8820457027864227,10.594725938778918,7.658609025380551,1.7874616669487455,31.07673854707308,0.0,12.580016600804036,21.151572275613276,5.071931458117277,0.0,2.9128029452568858,25.419476506186715
15,0.9016950726833722,10.764302814197352,7.679780299751393,2.0158026414202856,31.177692020450117,0.0,12.412120346609036,20.7333483720053,5.464545270330924,0.0,2.503946287672775,25.692545061511574
16,0.92107727294221,10.933879689615782,7.702282033659741,2.2441436158918218,31.278645493827156,0.0,12.244224092414028,20.315124468397304,5.857159082544596,0.0,2.095089630088668,25.965613616836418
17,0.9401860394735349,11.103456565034215,7.726102602503063,2.4724845903633437,31.379598967204192,0.0,12.076327838219028,19.896900564789323,6.249772894758281,0.0,1.6862329725045728,26.238682172161266
18,0.9590156437310708,11.273033440452647,7.751229847421018,2.700825564834877,31.48055244058124,0.0,11.908431584024028,19.47867666118135,6.642386706971921,0.0,1.2773763149204649,26.511750727486117
19,0.97756089281827,11.44261031587108,7.777651103995037,2.9291665393064106,31.581505913958274,0.0,11.740535329829026,19.060452757573362,7.035000519185595,0.0,0.8685196573363627,26.784819282810968
20,0.9958171273172199,11.612187191289514,7.805353231480232,3.1575075137779502,31.682459387335314,0.0,11.572639075634026,18.64222885396538,7.427614331399258,0.0,0.4596629997522619,27.057887838135812
21,1.0137802169487498,11.781764066707941,7.834322642428089,3.3858484882494766,31.783412860712357,0.0,11.40474282143903,18.224004950357408,7.820228143612912,0.0,0.05080634216816218,27.33095639346066
22,1.0313682122457168,11.951340942126375,7.865142717403326,3.75714545180071,31.961118085796436,0.0,11.059799409338622,17.345471342847183,8.273432009818102,0.0,0.0,27.603033700398953
23,1.0484506365446844,12.120917817544811,7.898736259264191,4.148727471902532,32.14971417060426,0.0,10.689733498815073,16.401621070854713,8.735233435870441,0.0,0.0,27.87497035195299
24,1.0650191266652387,12.290494692963238,7.93507996499945,4.5403094920043525,32.338310255412075,0.0,10.319667588291532,15.457770798862274,9.197034861922752,0.0,0.0,28.146907003507017
25,1.0810686649375252,12.460071568381673,7.97413623144758,4.931891512106181,32.52690634021992,0.0,9.949601677767978,14.513920526869786,9.658836287975088,0.0,0.0,28.41884365506105
26,1.096595967718642,12.629648443800107,8.01586540890395,5.323473532208006,32.71550242502772,0.0,9.57953576724443,13.57007025487732,10.120637714027437,0.0,0.0,28.690780306615082
27,1.1115994240568552,12.799225319218536,8.0602259831142,5.7150555523098125,32.904098509835535,0.0,9.209469856720899,12.626219982884884,10.582439140079774,0.0,0.0,28.962716958169093
28,1.1260790235042273,12.96880219463697,8.107174759020817,6.106637572411641,33.092694594643355,0.0,8.839403946197354,11.682369710892427,11.044240566132107,0.0,0.0,29.234653609723132
29,1.1400362746884085,13.138379070055404,8.156667044630893,6.498219592513471,33.281290679451175,0.0,8.469338035673793,10.738519438899932,11.506041992184452,0.0,0.0,29.506590261277164
30,1.1534741162809123,13.307955945473834,8.208656833481326,6.889801612615284,33.469886764259,0.0,8.09927212515026,9.794669166907505,11.96784341823677,0.0,0.0,29.778526912831193
31,1.1663968219883805,13.477532820892266,8.26309698430196,7.281383632717113,33.65848284906681,0.0,7.729206214626714,8.850818894915042,12.429644844289108,0.0,0.0,30.050463564385222
32,1.1788099011492197,13.647109696310697,8.319939396613966,7.672965652818937,33.84707893387463,0.0,7.359140304103162,7.906968622922568,12.89144627034145,0.0,0.0,30.32240021593925
