portfolio,rank,start,bottom,recovery,duration_months,decline_months,recovery_months,underwater_months,maximum_drawdown_pct,annualized_recovery_rate_pct
optimized,1,2026-06-30,2026-07-31,,3,2,,3,-11.22113986263914,
optimized,2,2020-09-30,2020-10-31,2021-05-31,9,2,7.0,9,-10.715017196863396,21.445059672794862
optimized,3,2020-02-29,2020-03-31,2020-04-30,3,2,1.0,3,-7.80889583632145,165.29667191439648
optimized,4,2022-11-30,2022-12-31,2023-03-31,5,2,3.0,5,-6.214061994406473,29.255518584416286
optimized,5,2022-04-30,2022-06-30,2022-10-31,7,3,4.0,7,-6.02665697618483,20.499701090974632
optimized,6,2018-09-30,2018-12-31,2019-02-28,6,4,2.0,6,-5.389734908996124,39.43456429196313
optimized,7,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-4.469700687631761,20.07025864103351
optimized,8,2019-09-30,2019-10-31,2020-01-31,5,2,3.0,5,-2.84545936032059,12.23998220453717
optimized,9,2023-05-31,2023-05-31,2023-08-31,4,1,3.0,4,-2.824663453070808,12.143933837570152
optimized,10,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-2.7254834974526743,39.31921856597431
optimized,11,2022-01-31,2022-01-31,2022-03-31,3,1,2.0,3,-2.699648297745405,17.845645489796592
optimized,12,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-2.3810376720877047,15.556632879239562
optimized,13,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-1.4337261555332215,18.921377775869665
optimized,14,2025-04-30,2025-04-30,2025-06-30,3,1,2.0,3,-0.9484503938806954,5.884491345961784
optimized,15,2023-09-30,2023-09-30,2023-10-31,2,1,1.0,2,-0.8522279552692025,10.816514153496781
optimized,16,2024-08-31,2024-08-31,2024-09-30,2,1,1.0,2,-0.390051954801407,4.801485137736927
optimized,17,2020-06-30,2020-06-30,2020-07-31,2,1,1.0,2,-0.3777311019984686,4.6460541414516054
optimized,18,2025-12-31,2025-12-31,2026-01-31,2,1,1.0,2,-0.28782626300123404,3.5194108440240957
optimized,19,2018-07-31,2018-07-31,2018-08-31,2,1,1.0,2,-0.1128729964246622,1.3644659684098892
provided,1,2020-02-29,2020-03-31,2020-05-31,4,2,2.0,4,-15.671034057096778,178.0605325673324
