kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPY,weight_EWY,weight_EEM,weight_EWJ,weight_TLT,weight_GLD
provided,Provided Portfolio,0.09013214359522925,0.14427565653040358,0.35860045452726547,0.1,0.1,0.08,0.17,0.05,0.3,0.2
optimized,Optimized Portfolio,0.12140925965648043,0.11999999952771338,0.691786936641627,0.0,0.42246373093492645,0.0,0.0,0.0,0.18563167871381317,0.3919045838920462
benchmark,Benchmark,0.1327809638734477,0.15701846355876947,0.6011148889628104,,,,,,,
