point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
1,0.13006198908581879,0.08745717181310293,1.0481377295792935,0.1000331246949725,0.065967026632575,0.05396644919406722,0.3007923531728615,0.0,0.0,0.2093339081498696,0.26990713815565426
2,0.13089788707876057,0.08746543857997234,1.0575955599648115,0.10285441625031369,0.06790153298006331,0.054115828767910816,0.3022861898692476,0.0,0.0,0.2076799135128313,0.2651621186196333
3,0.1317337850717023,0.08749023419392496,1.0668500129809524,0.1056757078056549,0.06983603932755157,0.054265208341754446,0.3037800265656336,0.0,0.0,0.2060259188757928,0.26041709908361266
4,0.1325696830646441,0.08753154460826898,1.0758961914804441,0.10849699936099635,0.07177054567503963,0.05441458791559807,0.30527386326201955,0.0,0.0,0.20437192423875444,0.25567207954759197
5,0.13340558105758582,0.08758934645601336,1.0847295626197249,0.11131829091633769,0.0737050520225275,0.05456396748944165,0.3067676999584055,0.0,0.0,0.20271792960171625,0.2509270600115714
6,0.13424147905052758,0.08766360711580558,1.093345968957279,0.11413958247167866,0.07563955837001611,0.05471334706328534,0.3082615366547916,0.0,0.0,0.20106393496467773,0.24618204047555062
7,0.13507737704346937,0.08775428480363628,1.1017416377286255,0.11696087402701993,0.07757406471750435,0.05486272663712894,0.3097553733511776,0.0,0.0,0.19940994032763934,0.24143702093952973
8,0.1359132750364111,0.08786132868971265,1.1099131882536881,0.11978216558236127,0.07950857106499237,0.055012106210972564,0.3112492100475636,0.0,0.0,0.19775594569060098,0.23669200140350916
9,0.13674917302935286,0.08798467903974165,1.1178576374498161,0.12260345713770253,0.08144307741248051,0.055161485784816174,0.31274304674394965,0.0,0.0,0.1961019510535626,0.23194698186748858
10,0.1375850710222946,0.08812426737971556,1.125572403441272,0.1254247486930438,0.08337758375996883,0.0553108653586598,0.3142368834403357,0.0,0.0,0.1944479564165242,0.2272019623314677
11,0.13842096901523637,0.08828001668315125,1.1330553072734075,0.12824604024838523,0.08531209010745686,0.05546024493250337,0.31573072013672165,0.0,0.0,0.19279396177948577,0.22245694279544717
