portfolio,start_balance,end_balance,annualized_return,best_year,worst_year,sharpe_ex_post,sortino,cagr_pct,annualized_volatility_pct,max_drawdown_pct,expected_return_pct
optimized,1.0,3.777297031150259,0.19915088583907214,0.4714725635582824,-0.13965763438364198,1.417676971110097,2.76612181831608,20.907835977980493,12.636932777344189,-18.77909254371437,19.91508858390721
provided,1.0,3.881313217948627,0.20379930542119046,0.42647214187400473,-0.17311514595773925,1.3951810564306777,2.5989651054772915,21.377954134244415,13.17386761911807,-21.18333957444012,20.379930542119048
benchmark,1.0,3.056617526518034,0.17429517119446186,0.3122383908497526,-0.1817536936501497,0.9311416768650657,1.488018485434294,17.305981336253517,16.570536474528485,-23.927178828328323,17.429517119446185
