portfolio,return_3m_pct,return_1y_pct,annualized_3y_pct,annualized_5y_pct,annualized_10y_pct,ytd_pct,full_period_cagr_pct,volatility_3y_pct,volatility_5y_pct
optimized,8.669238826527037,47.14726754441136,33.781852595896275,17.2999818930333,,47.14726754441136,20.907834151020133,10.070840037832916,12.190722616818096
provided,7.742679147588016,42.64721009033596,33.846991148196295,17.102501870602225,,42.64721009033596,21.377953752368374,10.071211350837316,12.645801667154977
benchmark,3.4315167774918276,18.597751800685415,23.17500948491038,14.505271959903187,,18.597751800685415,17.305982479979765,11.925038179803,15.129162323092801
