roll_period_years,optimized_average_pct,optimized_high_pct,optimized_low_pct,provided_average_pct,provided_high_pct,provided_low_pct,benchmark_average_pct,benchmark_high_pct,benchmark_low_pct
1,19.527303230646666,47.147279493981856,-16.05570829196695,20.153224313849183,43.43239521842661,-18.004337445663264,16.481845580517618,56.23114810874803,-18.17536688271669
3,14.00163459806896,34.18429467703567,3.705296149770154,14.575947390314436,33.99044317294442,4.8184069805776275,13.474340884758828,25.96882344490168,7.618467577845833
5,15.750536267640653,18.297279699954228,13.507109190934452,16.527064282371864,18.346099274653515,13.886334010057233,15.484195643632159,18.47514547773055,13.095241315138795
7,20.907833202469362,20.907833202469362,20.907833202469362,21.377954123939745,21.377954123939745,21.377954123939745,17.305981336253517,17.305981336253517,17.305981336253517
