date,asset_QQQ,asset_GLD,optimized,provided,benchmark
2019-01-31,0.09010783360305452,0.028865979381443196,0.05312221017038973,0.05948690649224886,0.08006528208299879
2019-02-28,0.02991210690257895,-0.006092201492829408,0.008168124634383867,0.011909952704874771,0.03241614608974741
2019-03-31,0.03924583695246864,-0.01596899557748621,0.005900096040366825,0.011638420687491213,0.018100498560920775
2019-04-30,0.05499244698035932,-0.006638842503124187,0.017771632988393623,0.024176802238617567,0.040852343345424647
2019-05-31,-0.0822515813986332,0.017574298155486723,-0.021964014391552995,-0.03233864162157324,-0.06377131358264565
2019-06-30,0.07590038111088337,0.08002914919848991,0.07839385658888631,0.07796476515468664,0.06958659630907671
2019-07-31,0.02334810109265284,7.514839229982861e-05,0.009292931214440291,0.011711624742476334,0.015119503324096728
2019-08-31,-0.01899548484504965,0.0791231345612986,0.04026102126863265,0.030063824858124477,-0.016743454946437586
2019-09-30,0.009178931038174687,-0.0339478600543478,-0.016866512482122287,-0.012384464508086557,0.019457956111362806
2019-10-31,0.04380055291660989,0.02563546974700759,0.03283016453968738,0.03471801133180874,0.022104565401813048
2019-11-30,0.040694300391176386,-0.03208588289288572,-0.003259634160902254,0.004304208749145333,0.036198486734749125
2019-12-31,0.03886363201587528,0.03655877893383952,0.03747166847650698,0.0377112054748574,0.02905516237690664
2020-01-31,0.030384139022124668,0.04499655849690343,0.03920897705166278,0.03769034875951405,-0.0004038059700871566
2020-02-29,-0.06057449225448419,-0.006361728631845698,-0.027833928042706808,-0.033468110443164945,-0.07916555927242275
2020-03-31,-0.0728580114183115,-0.002224031676743232,-0.03020022762850871,-0.037541021547527365,-0.12487149522544794
2020-04-30,0.14973742162045545,0.07261060302877431,0.10315843564349698,0.11117401232461488,0.12698370986213248
2020-05-31,0.06600868669970228,0.02588161543682088,0.041774855669470166,0.04594515106826158,0.047645025305737
2020-06-30,0.06286672294589568,0.02737702630176453,0.04143352872761641,0.045121874623830105,0.017734612654093374
2020-07-31,0.07346547383485547,0.10790463097013703,0.09426421863664831,0.09068505240249625,0.058892042432051595
2020-08-31,0.10944720773777039,-0.0032356731296194763,0.041394947530429875,0.05310576730407546,0.06979677941272877
2020-09-30,-0.0577859771247643,-0.0417140433776253,-0.048079698682321995,-0.0497500102511948,-0.03744346576468671
2020-10-31,-0.030449498441341816,-0.0051942084141127776,-0.015197141070682652,-0.017821853427727297,-0.024933502643533556
2020-11-30,0.1122577332518988,-0.05408625961608993,0.011798066269277603,0.02908573681790444,0.10877649751558782
2020-12-31,0.049024501553019295,0.07013861264675048,0.061775888197883766,0.059581557099884885,0.03704837155359675
2021-01-31,0.0026136546425223894,-0.03223816988295236,-0.018434311233495218,-0.014812257620214986,-0.010190277766667477
2021-02-28,-0.0013350867265242705,-0.06256881416817583,-0.03831580217547217,-0.03195195044735005,0.027805526149386584
2021-03-31,0.017167506003529676,-0.011433105943016053,-0.00010518237019086375,0.0028672000302568112,0.04539917366340718
2021-04-30,0.05909819301616315,0.035633887903232075,0.04492746020530434,0.04736604045969761,0.0529104106464211
2021-05-31,-0.01201214907203485,0.07678377966625938,0.04161413028234421,0.032385815297112264,0.006566213017263678
2021-06-30,0.0626211817439084,-0.07147662098325525,-0.01836413292124495,-0.00442771961967342,0.0224274497903596
2021-07-31,0.028609401373852483,0.025297363508325565,0.02660917151722809,0.026953382441089024,0.02441242622480133
2021-08-31,0.04218666225967094,-0.0007655451490135023,0.016246654580107253,0.020710558555328717,0.029759790150247323
2021-09-30,-0.05683134197433093,-0.03223525924924131,-0.04197709784421417,-0.04453330061178612,-0.046605411473920166
2021-10-31,0.078639756422062,0.014797178527087285,0.04008348514311611,0.04671846747457464,0.07016338869675476
2021-11-30,0.019968609599527065,-0.006900653696985448,0.003741529821670758,0.0065339779512708085,-0.008034846679020546
2021-12-31,0.011523356697168863,0.032990977123064535,0.02448823725408988,0.0222571669101167,0.04624786743872655
2022-01-31,-0.0874700269589812,-0.016787612677039987,-0.044782992231333106,-0.0521288198180106,-0.05274104729567086
2022-02-28,-0.04475968241363559,0.061217257237826006,0.01924267728487308,0.008228787412095206,-0.02951704931297261
2022-03-31,0.04667860404173174,0.0127255799503041,0.026173448222942135,0.02970209199601792,0.03759015803813259
2022-04-30,-0.1359573718408258,-0.020702963524693363,-0.06635209618229093,-0.07833016768275958,-0.08776903890540255
2022-05-31,-0.01586600956131501,-0.03261547766106776,-0.025981469449142477,-0.024240743611191384,0.002257291700429098
2022-06-30,-0.08907891860313732,-0.01565965107712486,-0.04473902367453264,-0.05236928484013109,-0.08246034147300951
2022-07-31,0.12551751977445202,-0.0258815174913124,0.03408351844397735,0.04981800114156981,0.09208741038619395
2022-08-31,-0.0513219247602793,-0.02943328245830701,-0.038102777627608705,-0.040377603609293156,-0.040801847683917036
2022-09-30,-0.10535532130862013,-0.028881810636775418,-0.059170885774586054,-0.06711856597269777,-0.09244607654364578
2022-10-31,0.03999865914667544,-0.017844407703562548,0.0050656559594791685,0.011077125721556447,0.08127563769452162
2022-11-30,0.055441445462232286,0.0849186596373046,0.0732435377923908,0.07018005254976845,0.05559150717499772
2022-12-31,-0.09013656239116508,0.02930648566594085,-0.01800165313280248,-0.030415038362612112,-0.057628321267792826
2023-01-31,0.10642913871441073,0.05759257431981046,0.07693540761496319,0.0820108565171106,0.06288748024704605
2023-02-28,-0.0035975857827502677,-0.05367596391642193,-0.033841282014876566,-0.0286367748495861,-0.025142732052405803
2023-03-31,0.09492695947374452,0.07916128247166143,0.0854056378192754,0.08704412097270298,0.03707786046244155
2023-04-30,0.005078957673834816,0.008623522653246951,0.007219616986447299,0.006851240163540884,0.015974996697359023
2023-05-31,0.07883793268748329,-0.013419890078922081,0.023120921259183348,0.032709021304280606,0.004616047664556255
2023-06-30,0.06303864867936593,-0.02221370606110007,0.011552430156835554,0.02041247130913293,0.0647999488667752
2023-07-31,0.038601064533497986,0.02288664235862692,0.02911069706489513,0.030743853446062452,0.032733184457347075
2023-08-31,-0.014830207909557469,-0.012777635059315506,-0.013590603271976602,-0.013803921484436488,-0.01625208191915062
2023-09-30,-0.05079862937437707,-0.047605861131121974,-0.048870429690456775,-0.04920224525274952,-0.04743433501644301
2023-10-31,-0.02065490808934567,0.07372411557093361,0.03634315432088498,0.02653460374079397,-0.021708661289990272
2023-11-30,0.10818842952829888,0.02531372564947043,0.058138139106584316,0.06675107758888466,0.0913438546150167
2023-12-31,0.05586948116035706,0.012821182352028115,0.029871441267896807,0.03434533175619259,0.04565525434007034
2024-01-31,0.018192100063913585,-0.014228180398366375,-0.0013873901393096745,0.0019819598327736054,0.015926587106046997
2024-02-29,0.0528335765184631,0.004563548019519192,0.023681991873660945,0.028698562268991146,0.0521867603597006
2024-03-31,0.012749730599804332,0.08668323846462611,0.05740018927222158,0.04971648453221522,0.03270189842569571
2024-04-30,-0.043738042131764465,0.02989497307015121,0.000730940838850766,-0.006921534530806628,-0.04031951134517642
2024-05-31,0.06151847019182832,0.016189210429127243,0.03414289586649897,0.03885384031047778,0.05057959716582827
2024-06-30,0.06470117240529549,-0.0013469974027457976,0.02481288410988859,0.03167708750127485,0.035280096711594267
2024-07-31,-0.01678115055096896,0.053671963349382734,0.025767403432191107,0.018445406399206887,0.012109001564470256
2024-08-31,0.011038754193065214,0.02092249026936499,0.017007811552155888,0.015980622231215103,0.023365741166114784
2024-09-30,0.026215964783193213,0.050888514912532656,0.04111638966100946,0.038552239847862935,0.02100466682931046
2024-10-31,-0.008646293361835089,0.04299348742370923,0.02254037645009094,0.01717359703093707,-0.00892343020322095
2024-11-30,0.0535082808070646,-0.031241364603207922,0.002325662138244436,0.01113345810192834,0.05963319334082584
2024-12-31,0.004540255004595872,-0.014088486936242095,-0.006710149530101998,-0.004774115965823111,-0.02406006954082074
2025-01-31,0.021634224771307053,0.06785607873643396,0.0495488610415873,0.044745151753870505,0.026856345883270905
2025-02-28,-0.027034903844659564,0.018216241876358952,0.0002934952837853142,-0.004409330984150306,-0.012694736490296177
2025-03-31,-0.07586186201047984,0.09446585889998316,0.027003686817324058,0.009301998444751658,-0.055719310915217646
2025-04-30,0.01396833182256274,0.05424437277239913,0.038292129703319355,0.034106352297480935,-0.008670167189502642
2025-05-31,0.09178287448406452,-0.0005595776946504261,0.03601475304913932,0.04561164839470705,0.06284505165897136
2025-06-30,0.06385823878094876,0.004051318985581975,0.027739211322788598,0.03395477888326537,0.051386230006752465
2025-07-31,0.024236921367891684,-0.0061345510598058706,0.005894762127553322,0.009051185154042907,0.023031446515753284
2025-08-31,0.009539710876868224,0.049874624687468394,0.0338990636813986,0.02970716778216831,0.02051948404438786
2025-09-30,0.053762214213215476,0.11758415768627128,0.09230602380287152,0.08567318594974338,0.03562043418529992
2025-10-31,0.04780390877637575,0.035586670754335525,0.04042558604899238,0.041695289765355636,0.02383739357630099
2025-11-30,-0.015610312534417359,0.05367817567023114,0.026234892277350652,0.019033931567906892,0.0019500049129079766
2025-12-31,0.0015793064070082075,0.02838509236626252,0.017768050492351934,0.014982199386635364,0.008267699482226387
