kind,label,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_EWY,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
provided,Provided Portfolio,0.08733516790889818,0.09999463156108983,0.48942967796018244,0.1,0.1,0.08,0.085,0.085,0.05,0.15,0.15,0.2
optimized,Optimized Portfolio,0.15933005767236505,0.09367564385681217,1.290999721026883,0.17043765226155475,0.32385639309257175,0.0,0.0,0.0,0.13996504341365673,0.0,0.0,0.3657409112322167
benchmark,Benchmark,0.16581398023299104,0.14302217884753252,0.8909048489788299,,,,,,,,,
