point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_EWY,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
1,0.08390229943698714,0.0751305663548262,0.6057118168903163,0.0,0.2874523560391178,0.0,0.14663722834449647,0.263317185914776,0.0,0.0028320288010395094,0.08435273275736453,0.21540846814320574
2,0.08557023782307878,0.07514021788256497,0.6278316934161852,0.0,0.29286354402472836,0.0,0.14592843027793176,0.2611281772906312,0.0,0.0,0.08068374846587913,0.21939609994082954
3,0.08723817620917038,0.07517207461182522,0.6497538996386831,0.0,0.29802264254595606,0.0,0.14432420552520828,0.2580274276882001,0.0,0.0,0.07558209720694666,0.2240436270336889
4,0.08890611459526199,0.07522409088276716,0.6714775335440651,0.0,0.29983005163844584,0.0,0.14267681977076047,0.25389883733680635,0.005597214469303777,0.0,0.07108924829421114,0.22690782849047256
5,0.0905740529813536,0.0752919868600276,0.6930249495494264,0.0,0.3011738678184076,0.0,0.1410234641509887,0.24962807996888023,0.011968614319752973,0.0,0.06668060660258841,0.2295253671393822
6,0.0922419913674452,0.07537566812318934,0.7143839002957004,0.0,0.30251768399836915,0.0,0.13937010853121692,0.24535732260095405,0.018340014170202337,0.0,0.062271964910965705,0.23214290578829183
7,0.0939099297535368,0.07547450029397527,0.735547793640197,0.0016659468733373395,0.303601253686762,0.0,0.13771819758583986,0.24120313724723527,0.02284981961073624,0.0,0.058150514672647056,0.2348111303234422
8,0.09557786813962846,0.07558696342701518,0.7565198806886326,0.003911882090028113,0.3045942202869506,0.0,0.13606678959426174,0.2370895356663146,0.02671152331700569,0.0,0.05412904823206694,0.23749700081337224
9,0.09724580652572005,0.07571292647711698,0.7772910344087667,0.006157817306718767,0.30558718688713915,0.0,0.13441538160268374,0.23297593408539416,0.03057322702327513,0.0,0.05010758179148703,0.24018287130330215
10,0.09891374491181167,0.07585232218899066,0.7978518729435629,0.00840375252340958,0.3065801534873277,0.0,0.13276397361110565,0.2288623325044735,0.034434930729544386,0.0,0.04608611535090698,0.2428687417932321
11,0.10058168329790328,0.07600507665489394,0.818193447709551,0.010649687740100337,0.3075731200875162,0.0,0.13111256561952758,0.22474873092355294,0.03829663443581381,0.0,0.04206464891032702,0.24555461228316205
12,0.10224962168399487,0.07617110950544764,0.8383072599621406,0.012895622956791008,0.30856608668770485,0.0,0.12946115762794957,0.22063512934263255,0.042158338142082995,0.0,0.03804318246974714,0.24824048277309202
13,0.10391756007008651,0.0763503341144374,0.8581852750725508,0.015141558173481808,0.3095590532878935,0.0,0.12780974963637146,0.2165215277617119,0.04602004184835231,0.0,0.03402171602916703,0.25092635326302204
14,0.10558549845617814,0.0765426578164247,0.87781993448826,0.017387493390172558,0.310552019888082,0.0,0.1261583416447934,0.21240792618079138,0.0498817455546217,0.0,0.030000249588586998,0.253612223752952
15,0.10725343684226973,0.07674798213594332,0.8972041653693764,0.01963342860686328,0.31154498648827056,0.0,0.1245069336532153,0.2082943245998708,0.053743449260891106,0.0,0.025978783148007036,0.2562980942428819
