point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_EWY,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
16,0.10892137522836133,0.07696620302702091,0.9163313879131381,0.021879363823553984,0.3125379530884592,0.0,0.12285552566163728,0.20418072301895032,0.05760515296716032,0.0,0.02195731670742709,0.2589839647328119
17,0.11058931361445294,0.07719721112174235,0.9351955203976623,0.024125299040244776,0.3135309196886477,0.0,0.12120411767005916,0.20006712143802974,0.061466856673429625,0.0,0.01793585026684705,0.26166983522274184
18,0.11225725200054455,0.07744089198655875,0.9537909819938257,0.026371234256935522,0.3145238862888364,0.0,0.11955270967848113,0.19595351985710913,0.06532856037969893,0.0,0.013914383826267095,0.2643557057126718
19,0.11392519038663615,0.07769712638504454,0.9721126934105976,0.028617169473626265,0.3155168528890248,0.0,0.11790130168690306,0.1918399182761886,0.06919026408596834,0.0,0.009892917385687067,0.2670415762026017
20,0.11559312877272779,0.07796579054581598,0.9901560754540919,0.030863104690316997,0.3165098194892134,0.0,0.11624989369532499,0.187726316695268,0.07305196779223778,0.0,0.005871450945107017,0.26972744669253174
21,0.11726106715881938,0.07824675643434202,1.007917045593964,0.03310903990700776,0.3175027860894021,0.0,0.11459848570374694,0.18361271511434746,0.07691367149850697,0.0,0.0018499845045271495,0.27241331718246165
22,0.118929005544911,0.0785420922785249,1.0253632876638286,0.03622196597546328,0.31896123207954347,0.0,0.11187333279792555,0.17670745503187693,0.08114283810616837,0.0,0.0,0.27509317600902233
23,0.1205969439310026,0.07886288650640229,1.0423422218779976,0.04007352109475365,0.32081624119291086,0.0,0.10823340762520907,0.16742385374193297,0.08568506311983208,0.0,0.0,0.27776791322536143
24,0.12226488231709425,0.07921041328744623,1.0588261220975048,0.04392507621404408,0.32267125030627825,0.0,0.10459348245249246,0.15814025245198887,0.09022728813349569,0.0,0.0,0.2804426504417007
25,0.12393282070318584,0.07958432241734152,1.0748095921256484,0.04777663133333434,0.3245262594196456,0.0,0.100953557279776,0.14885665116204486,0.0947695131471595,0.0,0.0,0.28311738765803973
26,0.12560075908927743,0.07998424390153151,1.0902888775247987,0.05162818645262476,0.32638126853301275,0.0,0.09731363210705948,0.13957304987210098,0.09931173816082313,0.0,0.0,0.28579212487437883
27,0.12726869747536904,0.08040978962032534,1.1052618133787198,0.05547974157191505,0.3282362776463802,0.0,0.09367370693434293,0.13028944858215682,0.10385396317448703,0.0,0.0,0.2884668620907179
28,0.12893663586146067,0.08086055501592393,1.1197277616685084,0.05933129669120556,0.3300912867597474,0.0,0.09003378176162641,0.12100584729221289,0.10839618818815056,0.0,0.0,0.29114159930705713
29,0.1306045742475523,0.08133612078649022,1.1336875396774675,0.0631828518104959,0.3319462958731149,0.0,0.08639385658890979,0.11172224600226865,0.11293841320181433,0.0,0.0,0.29381633652339634
30,0.1322725126336439,0.08183605457326723,1.1471433408778156,0.06703440692978625,0.3338013049864821,0.0,0.08275393141619333,0.1024386447123248,0.11748063821547805,0.0,0.0,0.29649107373973543
31,0.13394045101973556,0.08235991262778272,1.1600986497561918,0.07088596204907655,0.33565631409984953,0.0,0.07911400624347681,0.09315504342238067,0.12202286322914199,0.0,0.0,0.2991658109560746
32,0.13560838940582712,0.08290724144733205,1.1725581520086692,0.07473751716836698,0.3375113232132169,0.0,0.07547408107076034,0.08387144213243684,0.12656508824280527,0.0,0.0,0.3018405481724137
33,0.13727632779191873,0.08347757936817173,1.1845276414832568,0.07858907228765724,0.3393663323265843,0.0,0.0718341558980438,0.07458784084249276,0.13110731325646913,0.0,0.0,0.3045152853887528
34,0.13894426617801028,0.08407045810714715,1.1960139251727866,0.08244062740694759,0.3412213414399517,0.0,0.06819423072532735,0.06530423955254905,0.1356495382701325,0.0,0.0,0.3071900226050919
35,0.14061220456410198,0.08468540424379369,1.2070247274681487,0.08629218252623799,0.343076350553319,0.0,0.06455430555261073,0.056020638262604665,0.14019176328379662,0.0,0.0,0.309864759821431
36,0.1422801429501936,0.08532194063625657,1.217568594775279,0.09014373764552835,0.34493135966668625,0.0,0.060914380379894224,0.046737036972660746,0.14473398829746026,0.0,0.0,0.3125394970377702
37,0.1439480813362852,0.08597958776565529,1.2276548014834954,0.09399529276481872,0.34678636878005376,0.0,0.05727445520717766,0.03745343568271659,0.14927621331112395,0.0,0.0,0.3152142342541093
38,0.1456160197223768,0.08665786500474225,1.2372932581514946,0.09784684788410916,0.34864137789342103,0.0,0.05363453003446114,0.028169834392772566,0.15381843832478764,0.0,0.0,0.3178889714704485
39,0.14728395810846842,0.08735629180786708,1.2464944226542278,0.10169840300339952,0.3504963870067884,0.0,0.04999460486174457,0.018886233102828463,0.15836066333845142,0.0,0.0,0.32056370868678763
40,0.14895189649455998,0.08807438882033355,1.2552692149119857,0.10554995812268972,0.3523513961201556,0.0,0.0463546796890282,0.009602631812884834,0.16290288835211506,0.0,0.0,0.3232384459031266
41,0.15061983488065164,0.0888116789062247,1.2636289357049757,0.10940151324198018,0.354206405233523,0.0,0.04271475451631155,0.00031903052294047623,0.16744511336577889,0.0,0.0,0.3259131831194659
42,0.15228777326674323,0.08958894005107257,1.2712835492373122,0.11716640725911227,0.3519530239533479,0.0,0.032483355327424725,0.0,0.16617848273537372,0.0,0.0,0.3322187307247414
43,0.15395571165283486,0.09042921994074897,1.2779153037297653,0.12507056890962837,0.3495534335606831,0.0,0.02201737921823859,0.0,0.1647051269530362,0.0,0.0,0.3386534913584137
44,0.15562365003892645,0.09133080559760276,1.2835627769366413,0.13297473056014428,0.34715384316801806,0.0,0.01155140310905251,0.0,0.1632317711706991,0.0,0.0,0.345088251992086
45,0.15729158842501806,0.09229190037873826,1.2882686384275819,0.14087889221066027,0.34475425277535343,0.0,0.0010854269998665466,0.0,0.1617584153883615,0.0,0.0,0.35152301262575825
46,0.1589595268111097,0.09339503843571492,1.290911179482935,0.16472938842680263,0.3279577832170426,0.0,0.0,0.0,0.14426338373253036,0.0,0.0,0.3630494446236245
47,0.16062746519720128,0.09475803905929676,1.2899447775033086,0.19042504124142504,0.30949544514953403,0.0,0.0,0.0,0.12491447770606992,0.0,0.0,0.3751650359029711
48,0.16229540358329292,0.09636742819950159,1.2857101025938433,0.2121232979033622,0.2942340080115507,0.0018903894206402025,0.0,0.0,0.10636023630653553,0.0,0.0,0.3853920683579115
49,0.16396334196938456,0.09810797135064848,1.2799012420140892,0.21897608306570984,0.290860030036291,0.010801279486026426,0.0,0.0,0.09075720880228877,0.0,0.0,0.388605398609684
50,0.16563128035547614,0.09992570404863511,1.273310545876581,0.2258288682280573,0.2874860520610319,0.019712169551412265,0.0,0.0,0.07515418129804227,0.0,0.0,0.3918187288614563
51,0.16729921874156775,0.10181649217594056,1.2660462799348062,0.2326816533904048,0.2841120740857723,0.028623059616798254,0.0,0.0,0.05955115379379585,0.0,0.0,0.39503205911322875
52,0.16896715712765936,0.10377634263517632,1.2582090120527463,0.23953443855275222,0.28073809611051287,0.037533949682184174,0.0,0.0,0.043948126289549715,0.0,0.0,0.39824538936500103
53,0.17063509551375097,0.10580141759341347,1.2498912673905092,0.24638722371509966,0.27736411813525336,0.04644483974757012,0.0,0.0,0.02834509878530345,0.0,0.0,0.4014587196167735
54,0.17230303389984258,0.10788804429194371,1.241177437152181,0.2532400088774475,0.2739901401599942,0.05535572981295612,0.0,0.0,0.012742071281056155,0.0,0.0,0.404672049868546
55,0.17397097228593422,0.11003312523296552,1.2321393617847476,0.25951159123304385,0.2688009186727355,0.06433501630127518,0.0,0.0,0.0,0.0,0.0,0.4073524737929456
56,0.1756389106720258,0.11224862399446374,1.2226794253850988,0.2631946238120493,0.2555270008748921,0.07361892545013055,0.0,0.0,0.0,0.0,0.0,0.407659449862928
57,0.17730684905811742,0.11453815662212884,1.2128012670065325,0.26687765639105465,0.2422530830770492,0.08290283459898568,0.0,0.0,0.0,0.0,0.0,0.4079664259329105
58,0.17897478744420908,0.11689737315170069,1.2025929759393996,0.27056068897006025,0.22897916527920567,0.09218674374784105,0.0,0.0,0.0,0.0,0.0,0.4082734020028931
59,0.1806427258303006,0.11932214032093275,1.1921333112320909,0.2742437215490659,0.2157052474813626,0.10147065289669589,0.0,0.0,0.0,0.0,0.0,0.4085803780728755
60,0.1823106642163923,0.12180854356487734,1.1814921385504733,0.27792675412807144,0.20243132968351882,0.11075456204555152,0.0,0.0,0.0,0.0,0.0,0.40888735414285815
61,0.1839786026024839,0.12435288574718578,1.1707309737246825,0.28160978670707676,0.1891574118856763,0.1200384711944065,0.0,0.0,0.0,0.0,0.0,0.4091943302128405
62,0.18564654098857553,0.12695168331115772,1.1599035913644067,0.28529281928608247,0.17588349408783274,0.12932238034326177,0.0,0.0,0.0,0.0,0.0,0.40950130628282305
63,0.1873144793746671,0.12960166044865362,1.149056665423358,0.288975851865088,0.16260957628998968,0.1386062894921167,0.0,0.0,0.0,0.0,0.0,0.40980828235280564
64,0.18898241776075872,0.13229974179939868,1.1382304162232026,0.29265888444409355,0.14933565849214625,0.14789019864097203,0.0,0.0,0.0,0.0,0.0,0.4101152584227881
65,0.19065035614685033,0.13504304411170087,1.12745924502935,0.2963419170230989,0.13606174069430338,0.15717410778982713,0.0,0.0,0.0,0.0,0.0,0.4104222344927706
66,0.19231829453294197,0.13782886722073084,1.116772342764952,0.30002494960210463,0.12278782289645968,0.16645801693868248,0.0,0.0,0.0,0.0,0.0,0.41072921056275324
67,0.19398623291903352,0.14065468463358297,1.1061942639035098,0.30370798218110984,0.10951390509861704,0.1757419260875375,0.0,0.0,0.0,0.0,0.0,0.4110361866327356
68,0.1956541713051252,0.14351813395185767,1.0957454600940537,0.30739101476011577,0.09623998730077327,0.18502583523639282,0.0,0.0,0.0,0.0,0.0,0.4113431627027182
69,0.19732210969121672,0.1464170073123398,1.0854427707703576,0.311074047339121,0.08296606950293074,0.19430974438524762,0.0,0.0,0.0,0.0,0.0,0.41165013877270074
70,0.1989900480773084,0.14934924198404242,1.075299870007112,0.314757079918127,0.06969215170508675,0.203593653534103,0.0,0.0,0.0,0.0,0.0,0.41195711484268327
71,0.2006579864634,0.1523129112246959,1.0653276703366161,0.31844011249713233,0.056418233907244104,0.21287756268295807,0.0,0.0,0.0,0.0,0.0,0.4122640909126656
72,0.2023259248494916,0.15530621547093337,1.0555346852423013,0.32212314507613793,0.043144316109400366,0.22216147183181345,0.0,0.0,0.0,0.0,0.0,0.4125710669826482
73,0.20399386323558322,0.15832747391306926,1.0459273526987463,0.3258061776551433,0.029870398311557612,0.23144538098066847,0.0,0.0,0.0,0.0,0.0,0.41287804305263065
74,0.20566180162167483,0.1613751164867468,1.036510322514345,0.3294892102341488,0.01659648051371422,0.2407292901295237,0.0,0.0,0.0,0.0,0.0,0.41318501912261324
75,0.20732974000776647,0.16444767629904772,1.027286710420595,0.33317224281315433,0.0033225627158709934,0.25001319927837906,0.0,0.0,0.0,0.0,0.0,0.41349199519259566
76,0.20899767839385802,0.16755741460738538,1.0181754785808896,0.3286354349585469,0.0,0.26400556613966475,0.0,0.0,0.0,0.0,0.0,0.40735899890178834
77,0.21066561677994963,0.17073503826704828,1.008994937080767,0.32135418324376513,0.0,0.2795699948875693,0.0,0.0,0.0,0.0,0.0,0.3990758218686656
78,0.2123335551660413,0.17397829113102162,0.9997725948971564,0.31407293152898336,0.0,0.29513442363547443,0.0,0.0,0.0,0.0,0.0,0.39079264483554216
79,0.21400149355213288,0.1772835713436848,0.9905411123825573,0.30679167981420175,0.0,0.31069885238337874,0.0,0.0,0.0,0.0,0.0,0.38250946780241957
80,0.2156694319382245,0.1806474742213495,0.9813289951389019,0.2995104280994201,0.0,0.3262632811312836,0.0,0.0,0.0,0.0,0.0,0.37422629076929637
81,0.2173373703243161,0.1840667857257678,0.9721609579509204,0.29222917638463825,0.0,0.3418277098791885,0.0,0.0,0.0,0.0,0.0,0.3659431137361733
82,0.21900530871040771,0.1875384751536578,0.9630582789809898,0.28494792466985647,0.0,0.35739213862709307,0.0,0.0,0.0,0.0,0.0,0.35765993670305046
83,0.22067324709649935,0.19105968729479117,0.9540391387171598,0.2776666729550748,0.0,0.3729565673749978,0.0,0.0,0.0,0.0,0.0,0.34937675966992743
84,0.22234118548259094,0.19462773426746885,0.9451189399533068,0.27038542124029313,0.0,0.38852099612290236,0.0,0.0,0.0,0.0,0.0,0.34109358263680456
85,0.2240091238686826,0.19824008720154068,0.9363106065110385,0.263104169525511,0.0,0.40408542487080756,0.0,0.0,0.0,0.0,0.0,0.3328104056036814
86,0.22567706225477416,0.20189436790544996,0.9276248595318628,0.2558229178107295,0.0,0.4196498536187117,0.0,0.0,0.0,0.0,0.0,0.3245272285705588
87,0.2273450006408658,0.2055883406248731,0.9190704710216371,0.24854166609594777,0.0,0.4352142823666169,0.0,0.0,0.0,0.0,0.0,0.3162440515374354
88,0.22901293902695738,0.2093199039759891,0.9106544949620086,0.2412604143811661,0.0,0.4507787111145214,0.0,0.0,0.0,0.0,0.0,0.3079608745043125
89,0.23068087741304905,0.2130870831158628,0.9023824767561796,0.23397916266638422,0.0,0.4663431398624263,0.0,0.0,0.0,0.0,0.0,0.2996776974711895
90,0.2323488157991406,0.2168880221953641,0.8942586420850279,0.22669791095160247,0.0,0.48190756861033085,0.0,0.0,0.0,0.0,0.0,0.2913945204380667
91,0.2340167541852322,0.2207209771260714,0.8862860664452841,0.21941665923682083,0.0,0.49747199735823544,0.0,0.0,0.0,0.0,0.0,0.2831113434049438
92,0.23568469257132385,0.22458430868126023,0.8784668267502129,0.2121354075220391,0.0,0.5130364261061403,0.0,0.0,0.0,0.0,0.0,0.27482816637182067
93,0.23735263095741546,0.2284764759419933,0.8708021364165338,0.2048541558072573,0.0,0.5286008548540451,0.0,0.0,0.0,0.0,0.0,0.26654498933869764
94,0.23902056934350704,0.2323960300921376,0.8632924653564797,0.19757290409247574,0.0,0.5441652836019495,0.0,0.0,0.0,0.0,0.0,0.25826181230557477
95,0.24068850772959866,0.23634160856053274,0.8559376462548681,0.19029165237769408,0.0,0.5597297123498542,0.0,0.0,0.0,0.0,0.0,0.24997863527245168
96,0.24235644611569027,0.2403119295042493,0.8487369684486546,0.18301040066291227,0.0,0.5752941410977588,0.0,0.0,0.0,0.0,0.0,0.24169545823932906
97,0.2440243845017819,0.24430578662367236,0.8416892606490977,0.17572914894813066,0.0,0.5908585698456637,0.0,0.0,0.0,0.0,0.0,0.23341228120620572
98,0.2456923228878735,0.2485754944939657,0.8339417999496279,0.21054418480448275,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1894558151955172
99,0.24736026127396513,0.25526692282599184,0.8186153982441507,0.30527208954635665,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.09472791045364343
100,0.24902819867337825,0.264678473850435,0.7958084691322364,0.39999999428822963,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
