year,optimized,provided,benchmark
1993,,,0.08709071925203493
1994,,,0.003973710295912758
1995,,,0.3804884917957674
1996,,,0.22497508386228016
1997,,,0.3347518844180728
1998,,,0.28692375392651526
1999,,,0.20389425227430236
2000,,,-0.0974154229066061
2001,,,-0.11758509037652276
2002,,,-0.21584671157537094
2003,,,0.2818160671236034
2004,,,0.10697993357375268
2005,,,0.04828246306360651
2006,,,0.15845240347376688
2007,,,0.05146179208010615
2008,,,-0.3679498983737456
2009,,,0.26351800418522453
2010,,,0.1505614075193511
2011,,,0.01894969033897631
2012,,,0.15990363018278275
2013,,,0.3230777658140358
2014,,,0.134637601456286
2015,-0.034032619384612994,-0.04668100289829713,0.012343105936252874
2016,0.10450561508587985,0.17955655537643644,0.11997892746889094
2017,0.22798565768241819,0.2389439223341845,0.21705393174527243
2018,-0.012842517631962869,-0.06186940972954802,-0.04568997128362606
2019,0.2657285592824734,0.2925305144188106,0.3122387064683678
2020,0.2944141515947023,0.28836035030466833,0.1833161370813985
2021,0.15456341305630672,0.16610108842697802,0.28728769487345285
2022,-0.10191836523098585,-0.1097795414593058,-0.18175361295122938
2023,0.23154633895461774,0.2420112511583674,0.2617578617682774
2024,0.3348348380695052,0.22555343102673953,0.24886468043810983
2025,0.38600291949832677,0.44460348048947695,0.17719055511914772
2026,0.2017816909307295,0.265877428049613,0.13678703150406868
