metric,Native Bond 50/50,TLT Proxy,EDV Proxy,ZROZ Proxy,benchmark
alpha,-0.13623869432143548,-0.13283455342416067,-0.18977166412922453,-0.21248276762223892,2.0816681711721685e-17
beta,0.26359730375567103,0.432584807005585,0.5488004852072711,0.5688952435032631,0.9999999999999999
calmar_ratio,-0.11868622020873908,0.03346971367926676,-0.18427333193965298,-0.2962668397921015,2.6027715136148677
excess_kurtosis,0.06727902120176577,0.5390730642166441,0.34174274991320663,0.26104480631777927,0.11713659033949719
historical_var_95,0.06081549615781824,0.06324959426595496,0.0870347236053661,0.09740381006726988,0.04498167609470315
modigliani_modigliani,-0.06295547402501298,-0.04194329777219631,-0.05289363411020541,-0.060026379544972266,0.1658139834894617
r_squared,0.06709694778349715,0.19806331764131838,0.17388986928219163,0.15931512253873933,1.0
skewness,0.6207742241352472,-0.23391949907981172,0.0376516575776621,0.08766431949566905,-0.44202974021130204
treynor_ratio,-0.3912673987989624,-0.1805176490166103,-0.21891662714352336,-0.24658132751951364,0.12741915590325484
