date,Native Bond 50/50_drawdown_pct,TLT Proxy_drawdown_pct,EDV Proxy_drawdown_pct,ZROZ Proxy_drawdown_pct,benchmark_drawdown_pct
2021-11-30,0.0,0.0,0.0,0.0,0.0
2021-12-31,-1.4524964767128279,-2.786156444195842,-3.4102653684564332,-3.8156865998155265,0.0
2022-01-31,-5.671726495597751,-4.348533857701864,-5.545436728192965,-5.817151168468571,-3.855511797126465
2022-02-28,-7.319518181531914,-6.853537883069494,-9.136954306823043,-9.4266776790077,-7.47524844751074
2022-03-31,-11.212637355707056,-10.681209848323824,-13.736215497396099,-13.907227121772125,-2.6416502200514502
2022-04-30,-17.790340164967013,-15.248883905065714,-21.00920077340672,-21.92104289430826,-6.96067352223052
2022-05-31,-17.625558156142773,-19.147785266650175,-26.01618235265456,-26.835747666634912,-8.989746693340816
2022-06-30,-22.149804765453297,-17.223234948031863,-24.364986713437464,-25.095022587283356,-13.40305817089914
2022-07-31,-15.497468056310137,-14.721025032913825,-22.11003885285068,-23.03297374668566,-4.88215274025805
2022-08-31,-22.828634020070147,-15.643170459561784,-23.431979422256923,-24.255406622749653,-5.444495810446492
2022-09-30,-28.14362428699314,-17.520135036907558,-26.739391329586837,-28.08941591647729,-8.56543798540087
2022-10-31,-31.70607556645657,-22.901619763534953,-33.793911831011805,-35.9364764046878,-1.7230233498461311
2022-11-30,-26.51409912493946,-22.983078803095157,-32.05887150202271,-34.324262014956396,-3.285376222468539
2022-12-31,-26.780330594334888,-27.078539499636424,-35.82748501127402,-38.106606241176266,-13.336266295374111
2023-01-31,-22.0926144531997,-24.986182361598097,-32.55158560285655,-34.92097118439198,-9.988310878754781
2023-02-28,-25.75520256238234,-23.591109775562423,-32.391765693252495,-34.596777230885,-6.063087943405843
2023-03-31,-22.06151560740003,-21.221086467721694,-29.55179599618929,-32.01835241323747,-4.194726854681918
2023-04-30,-22.127968922004946,-18.33960279003023,-27.10466216952089,-29.72509892031131,0.0
2023-05-31,-25.081843300170824,-21.84553699144689,-31.11015341075317,-33.84479912471804,-0.8622213033953274
2023-06-30,-26.31265274101332,-21.59706831199624,-30.344848888570407,-32.82939728405635,0.0
2023-07-31,-26.816894875737695,-26.19870336669998,-35.389266299646614,-37.766003794152404,-0.25010628457037276
2023-08-31,-27.88004462091903,-25.904814781367403,-36.15334949064094,-38.81511937273967,0.0
2023-09-30,-31.138971724153574,-30.565200390843138,-42.466265501558595,-45.476713948452726,-3.074396502196819
2023-10-31,-34.13173635489941,-34.38186176748707,-47.05102436784648,-50.449620196952296,-5.163025457894388
2023-11-30,-27.381677962626448,-31.064849167166862,-42.29875431823182,-45.058184200813976,-1.0845715795313016
2023-12-31,-20.891975048052892,-24.01979258526026,-33.96587689587592,-36.73045213254931,0.0
2024-01-31,-23.261553549333303,-24.584420278922824,-35.82209615087899,-39.37752724344706,0.0
