date,Native Bond 50/50_balance,TLT Proxy_balance,EDV Proxy_balance,ZROZ Proxy_balance,benchmark_balance
2021-11-01,10000.0,10000.0,10000.0,10000.0,10000.0
2021-11-30,10458.316488757502,10482.885133234742,10567.770380552804,10604.892818540711,10118.236576877278
2021-12-31,10306.409810234822,10190.815553557475,10207.381367046815,10200.243344338855,10578.626008206404
2022-01-31,9865.149381471174,10027.033323952035,9981.741360518532,9987.990172032132,10170.765834486117
2022-02-28,9692.818111880746,9764.43662938984,9602.198029631714,9605.203754332644,9787.847431759987
2022-03-31,9285.663387361008,9363.1861739952,9116.158667810074,9130.046288245754,10299.175710982201
2022-04-30,8597.746409878708,8884.362149366383,8347.566284029857,8280.189714892986,9842.28238863739
2022-05-31,8614.979833878078,8475.64479817336,7818.43996773837,7758.990541440039,9627.634326432779
2022-06-30,8141.819804744505,8677.39319740542,7992.934531424533,7943.59257037073,9160.766610644634
2022-07-31,8837.542231684492,8939.696988599655,8231.232243532533,8162.270639782077,10062.161328665105
2022-08-31,8070.8256928784,8843.029542762772,8091.532599590309,8032.632943496886,10002.673158386804
2022-09-30,7514.967189416938,8646.269502128109,7742.012903684621,7626.04036724418,9672.520357765998
2022-10-31,7142.394759852861,8082.134639773188,6996.507375645009,6793.8680130633975,10396.353811992112
2022-11-30,7685.388088128449,8073.595382225455,7179.862453622564,6964.841621099504,10231.078344668918
2022-12-31,7657.544758466407,7644.272941730259,6781.604031434393,6563.7280698806235,9167.832273360293
2023-01-31,8147.800948600895,7863.612337087854,7127.793558813839,6901.561253242456,9521.99995580594
2023-02-28,7764.755892462976,8009.856193807221,7144.682959883202,6935.94167453606,9937.234610124846
2023-03-31,8151.053364318976,8258.303014799056,7444.804436346122,7209.380862854235,10134.881542183804
2023-04-30,8144.103466360323,8560.36563886436,7703.411920053273,7452.577937836495,10637.41737013758
2023-05-31,7835.177935211418,8192.842583683061,7280.120803066692,7015.688146713958,10545.69929144118
2023-06-30,7706.455988514604,8218.889269941938,7360.996427682953,7123.37042359362,11240.357216705308
2023-07-31,7653.720750195461,7736.5051529066795,6827.913978643794,6599.848594324831,11212.244376898168
2023-08-31,7542.533185094979,7767.3131557267825,6747.167421503112,6488.591011673038,11433.183342936212
2023-09-30,7201.704274500812,7278.77028551964,6080.03295315218,5782.136046912946,11081.681954151232
2023-10-31,6888.711477653818,6878.674057481521,5595.526163660841,5254.764669293054,10842.885176292675
2023-11-30,7594.65394749366,7226.3926782280105,6097.735150367901,5826.5206780637445,11309.18228576302
2023-12-31,8273.367617479884,7964.917867280674,6978.3345024554,6709.667738118456,11728.94629270272
2024-01-31,8025.549598366421,7905.728594723594,6782.173513827068,6428.948259781482,12370.617978146482
2024-02-29,7847.432984250256,7767.053293617297,6637.990692889762,6290.164638132785,13082.527447790018
2024-03-31,8001.669359403431,7924.256297504812,6794.2410215390955,6430.920609450823,13676.727136968531
2024-04-30,7672.145532746951,7608.544618811167,6335.411836809302,5920.379843390443,13472.037479686951
2024-05-31,7736.573557060334,7772.601563924441,6539.696107447004,6117.174358207986,14052.924745531653
2024-06-30,8077.355937786255,7979.021752011418,6758.352006697624,6322.481013839271,14668.541935006722
2024-07-31,8398.676496160913,8155.205804837103,6935.057795739141,6525.201021084405,14642.46542158702
2024-08-31,8512.605007724227,8114.068055114575,6948.770221178918,6592.691600102036,14600.755336200798
2024-09-30,8629.353264504882,8167.32887334317,7031.110545621732,6649.493039483575,14711.152918158548
2024-10-31,8345.001142894647,8093.068930721082,6840.592082952616,6449.449691144684,15280.86595862241
2024-11-30,8738.924364795146,8342.091659202326,7089.240015193188,6672.759349241895,16365.130074146324
2024-12-31,8340.795436615148,8299.825983828634,6868.289420997695,6385.166215594592,16820.674629119647
2025-01-31,8461.358256223384,8120.638703092569,6687.478314143847,6133.633837739867,16969.554739431675
2025-02-28,8846.188358017302,8632.097946212303,7248.52308566023,6696.342308259114,16849.425755845827
2025-03-31,8801.897349254526,8658.102016248975,7178.315985514267,6606.571172600005,16153.109810988557
2025-04-30,8902.54485295111,8260.598133859503,6741.1822578142255,6190.8641159057,15488.596347241768
2025-05-31,8600.866686020234,7695.8384903594915,6165.479753801482,5600.384320198911,15845.239552468862
2025-06-30,8558.052871865642,7774.539538808918,6294.170999455216,5729.537072498521,16393.114476150702
2025-07-31,8601.233713905876,7931.078318517977,6382.3936254972205,5786.504757571331,17305.57065824989
2025-08-31,8598.8094667783,7891.614717135321,6273.055151307689,5642.4968149251345,17570.56101782339
2025-09-30,8588.455253453567,8285.660530740288,6742.107138315633,6112.847120497798,18442.74526645952
2025-10-31,8457.269568681866,8525.032305444713,6990.862389877863,6343.126061743634,19163.2224807399
2025-11-30,8206.779650891449,8772.636752276816,7144.268864277536,6474.5867257056725,19704.599348919917
2025-12-31,8143.052354072296,8450.77806165659,6787.098294538339,6122.950800962821,19403.33697324955
2026-01-31,7837.421137967608,8345.807777134993,6662.379949793852,5977.427979079297,19564.008568145764
2026-02-28,8083.937447802992,8754.289943306827,7120.812215039083,6430.761091271465,19443.260439572376
2026-03-31,7603.802818109064,8799.631122938827,7020.912699039435,6321.002790161145,19399.49882158124
2026-04-30,7569.2879403220895,8555.564583121612,6770.7254393252015,6090.813497572908,21019.36619171147
2026-05-31,7347.912619524643,8725.370686536946,6932.664786417142,6225.509068113354,22444.948586325667
2026-06-30,7114.996222471594,9141.866212216531,7333.1169433218765,6605.160234997626,23006.050147728663
2026-07-31,6883.324232190983,8011.010078088476,6229.027697839927,5562.2963586058895,21111.68978397451
2026-08-31,6949.655819903591,7875.823015685357,6175.137488642006,5514.867114546426,21127.968605097874
