portfolio,date,portfolio_return_pct,benchmark_return_pct,active_return_pct,cumulative_active_return_pct,annual_active_return_pct,rolling_active_return_pct,rolling_tracking_error_pct
optimized,2017-09-30,1.241932827967759,4.048793550322749,-2.80686072235499,-2.806860722354987,-3.4674513832279485,,
optimized,2017-10-31,0.627663760482335,0.34757929483324457,0.28008446564909045,-2.5330538624866783,-3.4674513832279485,,
optimized,2017-11-30,-2.4335078789151936,-0.8686336308563747,-1.5648742480588187,-4.1053039728507486,-3.4674513832279485,,
optimized,2017-12-31,0.8152202220415363,0.16662394374207246,0.6485962782994639,-3.4674513832279485,-3.4674513832279485,,
optimized,2018-01-31,5.459464731747993,5.937179363070877,-0.4777146313228835,-4.1520309129271515,2.663827069846658,,
optimized,2018-02-28,-1.4092605162892353,-3.0205897714066565,1.6113292551174212,-2.3237726483665178,2.663827069846658,,
optimized,2018-03-31,-3.047538478850884,-4.308003241383296,1.260464762532412,-0.9103854240265941,2.663827069846658,,
optimized,2018-04-30,1.1691931696169804,1.2219624788455619,-0.05276930922858136,-0.9748148204424156,2.663827069846658,,
optimized,2018-05-31,2.6692683276517153,3.436587522834378,-0.7673191951826623,-1.7924838556705902,2.663827069846658,,
optimized,2018-06-30,2.2080573183038896,4.355253059189601,-2.1471957408857114,-4.123469809941471,2.663827069846658,,
optimized,2018-07-31,-0.16600056165287286,2.932776414914273,-3.0987769765671462,-7.567547377330852,2.663827069846658,,
optimized,2018-08-31,1.3685442854490992,3.493516691633869,-2.12497240618477,-10.106970091692347,2.663827069846658,,
optimized,2018-09-30,-0.10580486238605379,0.31138593571309325,-0.417190798099147,-10.591209463035312,2.663827069846658,,
optimized,2018-10-31,-1.6846570811396615,-4.785541037668228,3.100883956528567,-6.722604602282556,2.663827069846658,,
optimized,2018-11-30,-1.2511776146575715,0.003481533586824348,-1.2546591482443958,-8.060136090900262,2.663827069846658,,
optimized,2018-12-31,-2.6298068352901875,-8.863594695190057,6.233787859899871,-0.7844741338413508,2.663827069846658,,
optimized,2019-01-31,5.728092956978688,7.300225846648334,-1.5721328896696467,-2.4529425628845747,-7.080069105672626,,
optimized,2019-02-28,2.088375759917267,3.8094621425943,-1.7210863826770328,-4.411276735278058,-7.080069105672626,,
optimized,2019-03-31,2.560051641199517,3.564845578344533,-1.004793937145016,-5.680017719233721,-7.080069105672626,,
optimized,2019-04-30,3.542686668713367,6.740795234088615,-3.1981085653752475,-9.691155561202592,-7.080069105672626,,
optimized,2019-05-31,0.1482101089968898,-4.355371335962799,4.503581444959689,-3.9787419009792657,-7.080069105672626,,
optimized,2019-06-30,4.130967764816717,4.000199904759283,0.130767860057434,-3.9840597067904104,-7.080069105672626,,
optimized,2019-07-31,3.2782899202545996,4.21774553476566,-0.9394556145110602,-5.302961003272144,-7.080069105672626,,
optimized,2019-08-31,4.720316352955361,0.05378682609269436,4.666529526862667,0.598246104322131,-7.080069105672626,,
