point,ex_ante_sharpe,ex_post_sharpe,cagr_pct,monthly_gain_to_pain_ratio,pain_ratio,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_cagr_pct,delta_sharpe,delta_monthly_gain_to_pain_ratio,delta_pain_ratio,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
1,1.2381163957388446,1.2381163957388448,17.6453472181316,2.290081329768456,10.060009005353544,16.90521309081729,10.552909546440212,-9.236309553599275,9.236309553599275,51.85185185185185,148.2139191757889,1.3723511034795268,12,108,,,,,,,,,,,gmv_to_max_sharpe
2,1.2436538869303064,1.2436538869303064,17.713892585741764,2.297599831916372,10.187660336870412,16.964448932164792,10.55355216710678,-9.284466518297197,9.284466518297197,50.92592592592593,147.08345309727778,1.3618838249747942,12,108,0.06854536761016305,0.00553749119146163,0.007518502147916273,0.12765133151686747,0.04815696469792208,-0.9259259259259167,-0.010467278504732613,0.8696531160568939,-16.72103654726568,-0.18902564614228776,gmv_to_max_sharpe
3,1.2490386293880331,1.2490386293880333,17.782318893011695,2.305115024321753,10.314820166613671,17.023684773512297,10.555479794368896,-9.332684116682977,9.332684116682977,50.0,145.98667530706817,1.351728475065446,11,108,0.06842630726993093,0.00538474245772691,0.007515192405380677,0.12715982974325968,0.048217598385779326,-0.9259259259259309,-0.010155349909348299,0.8954485523553467,-17.195361397410213,-0.1885949047530721,gmv_to_max_sharpe
4,1.254268824383033,1.2542688243830327,17.850625893314167,2.3126269091696057,10.437352134296274,17.0829206148598,10.558691724442305,-9.380962348756594,9.380962348756594,49.074074074074076,144.97963076043342,1.3424039885225316,11,108,0.06830700030247172,0.0052301949949993265,0.007511884847852812,0.12253196768260288,0.04827823207361703,-0.9259259259259238,-0.00932448654291429,0.9230675361009796,-17.703468547754273,-0.17828181457535677,gmv_to_max_sharpe
5,1.2593428448595358,1.2593428448595365,17.91881334008356,2.320135488643015,10.552298465660158,17.1421564562073,10.563186785779816,-9.429301214518059,9.429301214518059,49.074074074074076,144.09824624903297,1.3342430208243794,11,108,0.06818744676939303,0.005074020476503849,0.007508579473409327,0.11494633136388366,0.0483388657614654,0.0,-0.008160967698152222,0.9526738408981021,0.0,-0.16083828861044272,gmv_to_max_sharpe
6,1.264259237880084,1.2642592378800839,17.986880986816157,2.3276407649231423,10.661078165943191,17.2013922975548,10.56896334120479,-9.477700713967396,9.477700713967396,49.074074074074076,143.31749424050253,1.3270138355602086,11,108,0.06806764673259735,0.0049163930205473605,0.007505276280127315,0.10877970028303352,0.04839949944933686,0.0,-0.007229185264170823,0.9844513904209464,0.0,-0.14704246047778277,gmv_to_max_sharpe
7,1.2690167265341774,1.269016726534177,18.054828587070794,2.3351427401892337,10.771014864509597,17.260628138902305,10.576019290885332,-9.526160847104547,9.526160847104547,49.074074074074076,142.53599765526934,1.3197777560673087,11,108,0.06794760025463731,0.004757488654093089,0.007501975266091421,0.10993669856640587,0.04846013313715147,0.0,-0.007236079492899838,1.0186074347325866,0.0,-0.15209872306630312,gmv_to_max_sharpe
8,1.2736142113055628,1.273614211305563,18.122655894469354,2.3418899662455863,10.876597387853222,17.319863980249806,10.584352076136604,-9.57468161392956,9.57468161392956,48.148148148148145,141.8258526691797,1.3132023395294417,11,108,0.06782730739855936,0.004597484771386107,0.006747226056352584,0.1055825233436245,0.048520766825012274,-0.9259259259259309,-0.006575416537867085,1.0553763468015498,-20.139836714386146,-0.14302204063385396,gmv_to_max_sharpe
9,1.2780507708964688,1.278050770896469,18.1903626626972,2.347655013394755,10.969755629174596,17.379099821597304,10.59395868403527,-9.623263014442418,9.623263014442418,48.148148148148145,141.28801789515188,1.308222387918073,11,108,0.06770676822784694,0.004436559590905942,0.0057650471491688116,0.09315824132137429,0.04858140051285886,0.0,-0.00497995161136866,1.095024185236709,0.0,-0.11224804962783692,gmv_to_max_sharpe
10,1.2823256625103163,1.282325662510317,18.25794864550381,2.3534090582409006,11.06293901815831,17.43833566294481,10.604835652826775,-9.671905048643115,9.671905048643115,49.074074074074076,140.75774197321834,1.3033124256779476,11,108,0.06758598280660877,0.004274891613847975,0.005754044846145501,0.09318338898371437,0.04864203420069657,0.9259259259259309,-0.0049099622401254095,1.1378542099904196,21.659635133824448,-0.11485582989332883,gmv_to_max_sharpe
