point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_EWJ,weight_TLT,weight_385560,weight_132030
1,0.0839022571850414,0.07513056610053424,0.60571125656021,0.0,0.2874521700264369,0.0,0.14663706122266063,0.26331705207475314,0.0,0.002832684959532013,0.08435252940344563,0.21540850231317163
2,0.08559802602431568,0.07514056120475168,0.6281986410706204,0.0,0.2929494956816386,0.0,0.1459017035591095,0.26107651815582383,0.0,0.0,0.08059875389233495,0.21947352871109305
3,0.08729379486358993,0.07517353092310035,0.6504811823646386,0.0,0.29819467654922704,0.0,0.14427071144960152,0.2579240308708972,0.0,0.0,0.07541197882565293,0.22419860230462138
4,0.08898956370286418,0.07523012563139717,0.6725329207152309,0.0,0.30343985741681534,0.0,0.14263971934009353,0.25477154358597065,0.0,0.0,0.0702252037589707,0.22892367589814974
5,0.09068533254213845,0.07530904624780313,0.6943456007113746,0.0019808105948902325,0.30705016946297076,0.0,0.14099337679881196,0.251351197658563,0.0,0.0,0.0656206520290357,0.23300379345572836
6,0.0923811013814127,0.07540452708335918,0.7159553395981697,0.00545269817289565,0.30942981600464015,0.0,0.13933547905101173,0.24772921818902766,0.0,0.0,0.06145437532584773,0.23659841325657704
7,0.09407687022068698,0.07551580131063816,0.7373561780193408,0.008924585750901,0.31180946254630976,0.0,0.13767758130321148,0.2441072387194923,0.0,0.0,0.057288098622659704,0.2401930330574257
8,0.09577263905996122,0.07564279923113598,0.7585363320364347,0.012396473328906364,0.31418910908797926,0.0,0.13601968355541125,0.240485259249957,0.0,0.0,0.05312182191947175,0.2437876528582744
9,0.09746840789923547,0.07578498210117822,0.7794892691821348,0.015027564023757599,0.31557365605855836,0.0,0.1341437339158141,0.23638865997326353,0.0031451080907400272,0.0,0.04898607250264492,0.24673520543522146
10,0.09916417673850975,0.07594034851470344,0.8002247861759128,0.017087790637631422,0.3162825742137682,0.0,0.13211973663794657,0.23196981473508332,0.008425606161828083,0.0,0.04487104976977992,0.24924342784396256
11,0.100859945577784,0.07610860672347672,0.8207365852659723,0.019148017251505327,0.3169914923689783,0.0,0.1300957393600791,0.22755096949690315,0.01370610423291558,0.0,0.04075602703691504,0.2517516502527036
12,0.10255571441705827,0.07628967142830397,0.8410166884930018,0.021208243865379128,0.31770041052418807,0.0,0.12807174208221153,0.2231321242587229,0.018986602304003793,0.0,0.03664100430405004,0.2542598726614446
13,0.10425148325633252,0.07648345167605747,0.8610575781681349,0.023268470479252946,0.3184093286793979,0.0,0.12604774480434405,0.21871327902054283,0.024267100375091603,0.0,0.03252598157118512,0.2567680950701857
14,0.10594725209560676,0.07668985107773103,0.8808522061273834,0.02532869709312681,0.31911824683460777,0.0,0.12402374752647645,0.21429443378236257,0.0295475984461795,0.0,0.028410958838320115,0.2592763174789267
