kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPY,weight_EWY,weight_EEM,weight_EWJ,weight_TLT,weight_GLD
provided,Provided Portfolio,0.0901321287571924,0.14427564317902358,0.3586003848673721,0.1,0.1,0.08,0.17,0.05,0.3,0.2
optimized,Optimized Portfolio,0.1770680875986545,0.1310316268311393,1.0583189979863112,0.13421600830693695,0.2657839916930631,0.0,0.0,0.0,0.0,0.6
benchmark,Benchmark,0.13278096881708318,0.1570183966677964,0.6011151765265372,,,,,,,
