excluded_year,removed_observations,remaining_observations,removed_start,removed_end,feasible,status,solver,expected_return,volatility,sharpe,delta_expected_return,delta_volatility,delta_sharpe,allocation_turnover,max_abs_weight_change,most_changed_asset,message,weight_QQQ,delta_weight_QQQ,weight_SPMO,delta_weight_SPMO,weight_AIA,delta_weight_AIA,weight_GLD,delta_weight_GLD,weight_XLE,delta_weight_XLE,weight_144600,delta_weight_144600,weight_SCHD,delta_weight_SCHD,weight_138920,delta_weight_138920
2015,2,128,2015-11-30,2015-12-31,True,optimal,CLARABEL,0.18534629225883037,0.11499999952212124,1.277838828550222,0.003482358567370003,-1.0037401881879404e-09,0.030281389861429364,0.03692870402521706,0.023937657705376685,SCHD,,0.2976373171223039,-0.012991029311484326,0.2000005708661493,0.0018287776900027253,0.048820542737151196,0.0037363933750938147,0.408541904427263,0.013696973960123315,0.04499965771937563,0.017666576008353245,0.0,0.0,0.0,-0.023937657705376685,0.0,0.0
2016,12,118,2016-01-31,2016-12-31,True,optimal,CLARABEL,0.18605611311709103,0.11499999898992874,1.2840111898071909,0.00419217942563066,-1.535932686591579e-09,0.036453751118398214,0.08224269459996822,0.03866567637054669,GLD,,0.2796494391201792,-0.030978907313609028,0.21897003971049456,0.020798246534347975,0.021153447544749248,-0.023930701817308133,0.4335106068376864,0.03866567637054669,0.0,-0.027333081711022382,0.0,0.0,0.0467164331584789,0.022778775453102213,0.0,0.0
2017,12,118,2017-01-31,2017-12-31,True,optimal,CLARABEL,0.1889211811007582,0.11499994074738608,1.308925487580938,0.007057247409297834,-5.977847535032499e-08,0.06136804889214531,0.10859644086010317,0.04508414936205738,AIA,,0.27105340098488806,-0.03957494544890017,0.20209684580443843,0.003925052628291847,0.0,-0.04508414936205738,0.43840288471038996,0.04355795424325026,0.06349993129307091,0.03616684958204853,0.0,0.0,0.0,-0.023937657705376685,0.024946272750281485,0.024946272750281485
2018,12,118,2018-01-31,2018-12-31,True,optimal,CLARABEL,0.19777297365958676,0.11499999996055398,1.385896922852591,0.0159090399681264,-5.653074536260405e-10,0.13833948416379838,0.08481741185439948,0.05795664442576876,AIA,,0.2938066568756086,-0.016821689558179642,0.18532769712611266,-0.01284409605003392,0.10304079378782614,0.05795664442576876,0.34262459571284715,-0.05222033475429255,0.05419386838664165,0.026860786675619266,0.0,0.0,0.02100638546047188,-0.002931272244904807,0.0,0.0
2019,12,118,2019-01-31,2019-12-31,True,optimal,CLARABEL,0.16969140575143885,0.11499998000692575,1.1417095738392715,-0.012172527940021521,-2.0518935675561956e-08,-0.10584786484952113,0.12384585025186104,0.09990829093144163,QQQ,,0.2107200555023466,-0.09990829093144163,0.2599777822745551,0.06180598909840851,0.06810110358089333,0.02301695421883595,0.40604869195577764,0.011203761488637942,0.04721004299373674,0.019876961282714357,0.0,0.0,0.0,-0.023937657705376685,0.007942085778307004,0.007942085778307004
2020,12,118,2020-01-31,2020-12-31,True,optimal,CLARABEL,0.18987371524160426,0.11499999823229967,1.3172077389897905,0.008009781550143896,-2.2935617571828715e-09,0.06965030030099784,0.32922744976849927,0.18679783155227547,XLE,,0.22848992602685478,-0.08213842040693345,0.3406014147080003,0.14242962153185373,0.0,-0.04508414936205738,0.2167777114886379,-0.1780672189785018,0.21413091326329786,0.18679783155227547,0.0,0.0,0.0,-0.023937657705376685,0.0,0.0
2021,12,118,2021-01-31,2021-12-31,True,optimal,CLARABEL,0.17844638550573375,0.11499998226858626,1.2178398218569442,-0.003417548185726621,-1.8257275163913178e-08,-0.02971761683184848,0.19076573333986013,0.13949508896187549,QQQ,,0.17113325747191274,-0.13949508896187549,0.2331128388347378,0.03494104565859121,0.15404985544902328,0.1089657060869659,0.4370465442913097,0.04220161382416998,0.0,-0.027333081711022382,0.0,0.0,0.0,-0.023937657705376685,0.004657272731718665,0.004657272731718665
2022,12,118,2022-01-31,2022-12-31,True,optimal,CLARABEL,0.21795212796731578,0.11499999682470907,1.5613678725122273,0.03608819427585541,-3.7011523568164506e-09,0.31381043382343465,0.3034321817880585,0.2587122149934453,QQQ,,0.5693405614272335,0.2587122149934453,0.0,-0.19817179317614658,0.012910503614388434,-0.03217364574766895,0.34909127456700445,-0.04575365590013525,0.0,-0.027333081711022382,0.0,0.0,0.05628064027558405,0.03234298257020736,0.012376989477491112,0.012376989477491112
2023,12,118,2023-01-31,2023-12-31,True,optimal,CLARABEL,0.1785203377119851,0.1149999924961072,1.2184827762534118,-0.0033435959794752557,-8.029754222649288e-09,-0.029074662435380816,0.3936358815952223,0.3106283464337882,QQQ,,0.0,-0.3106283464337882,0.4292178921401688,0.23104609896402223,0.11287745111006041,0.06779330174800302,0.3353409599819416,-0.05950397048519812,0.003829500373510196,-0.023503581337512187,0.0,0.0,0.11873412192729757,0.09479646422192088,0.0,0.0
2024,12,118,2024-01-31,2024-12-31,True,optimal,CLARABEL,0.16121877617073255,0.11499998603777674,1.068034465188359,-0.02064515752072782,-1.4488084690289504e-08,-0.17952297350043356,0.27297756186514965,0.19817179317614658,SPMO,,0.49369950757325765,0.18307116113946942,0.0,-0.19817179317614658,0.010458326204209226,-0.03462582315784815,0.3546649506690674,-0.04017997979807231,0.04622882438552387,0.01889574267450149,0.0,0.0,0.04332385189534746,0.019386194189970774,0.051624429594290526,0.051624429594290526
