date,Portfolio 1_drawdown_pct,benchmark_drawdown_pct
2004-12-31,0.0,0.0
2005-01-31,-3.5614936407361464,-2.2420679409821953
2005-02-28,-2.3302448238359252,-0.19857567694913092
2005-03-31,-3.8952586981185866,-2.024194090792697
2005-04-30,-5.090267400774695,-3.859821736515656
2005-05-31,-2.59153039760045,-0.7617493181327428
2005-06-30,-2.2162796971833654,-0.6113769793840595
2005-07-31,0.0,0.0
2005-08-31,-0.12961332735548226,-0.9374513033059695
2005-09-30,0.0,-0.1424674333280973
2005-10-31,-1.474736685588407,-2.5041670092527
2005-11-30,0.0,0.0
2005-12-31,0.0,-0.19139160821409762
2006-01-31,0.0,0.0
2006-02-28,-0.8147787181399746,0.0
2006-03-31,0.0,0.0
2006-04-30,0.0,0.0
2006-05-31,-3.4827048934778393,-3.012100169439569
2006-06-30,-4.755260099770576,-2.7591066513094398
2006-07-31,-4.797685671319341,-2.323642978712259
2006-08-31,-3.037339282874618,-0.19207473287949917
2006-09-30,-2.102140080704029,0.0
2006-10-31,0.0,0.0
2006-11-30,0.0,0.0
2006-12-31,-0.8397989281372142,0.0
2007-01-31,0.0,0.0
2007-02-28,-0.12322853967067227,-1.9617680394044323
2007-03-31,0.0,-0.8255930036703552
2007-04-30,0.0,0.0
2007-05-31,0.0,0.0
2007-06-30,-0.9229452241658387,-1.4620775970849431
2007-07-31,-0.9707275874294874,-4.547343250748826
2007-08-31,0.0,-3.3224204201288465
2007-09-30,0.0,0.0
2007-10-31,0.0,0.0
2007-11-30,-3.281253895248315,-3.8732404908678575
2007-12-31,-1.6949548730144537,-4.955741108654809
2008-01-31,-3.457281384496702,-10.702193820849226
2008-02-29,-3.9704654822544705,-13.009872684708911
2008-03-31,-5.2885592382240665,-13.787744624661602
2008-04-30,-3.0767970143391388,-9.678697166855809
2008-05-31,-0.8165314716672256,-8.31336187721452
2008-06-30,-4.706639629696474,-15.976127416810781
2008-07-31,-5.1242049426627245,-16.731146983720024
2008-08-31,-6.770956780705406,-15.444332782077286
2008-09-30,-12.624317636125493,-23.40723590242886
2008-10-31,-25.315882037468796,-36.05935266788921
2008-11-30,-26.0473987598275,-40.510078613695114
2008-12-31,-23.2279511675906,-39.927266508733226
2009-01-31,-24.66912650745825,-44.860106503756114
2009-02-28,-28.015883678025045,-50.784793103513096
2009-03-31,-24.298224412567848,-46.684651247511866
2009-04-30,-20.04088900903218,-41.387994092919186
2009-05-31,-15.580503044686967,-37.96190672346476
2009-06-30,-16.21785075392106,-38.002542448352536
2009-07-31,-11.553762446203352,-33.377172011176604
2009-08-31,-10.1017877038168,-30.916176144865904
2009-09-30,-5.947502928556503,-28.46664127978299
2009-10-31,-6.314013385301065,-29.84189876064517
2009-11-30,0.0,-25.519687820708683
2009-12-31,-0.4674423805917538,-24.097047524928506
2010-01-31,-3.6242461893426725,-26.855528091394408
2010-02-28,-0.41239831539077176,-24.573827961180438
2010-03-31,0.0,-19.981886604742392
2010-04-30,0.0,-18.74400099096575
2010-05-31,-3.3926414621772594,-25.200165411631293
2010-06-30,-5.647002919746969,-29.07039094895625
2010-07-31,-3.0132862469038013,-24.225834085505017
2010-08-31,-3.8288977082723386,-27.634200769586002
2010-09-30,0.0,-21.153498944104744
2010-10-31,0.0,-18.14146287356263
2010-11-30,0.0,-18.14146287356263
2010-12-31,0.0,-12.668981009065217
2011-01-31,-0.36871850166894093,-10.634151959368133
2011-02-28,0.0,-7.529815140177543
2011-03-31,0.0,-7.5186953230689575
2011-04-30,0.0,-4.84030946931453
2011-05-31,-0.9889983359358201,-5.907498579385894
2011-06-30,-2.8641853796941397,-7.494770657079519
2011-07-31,-0.20100162409751876,-9.345332430657615
2011-08-31,0.0,-14.329127229438022
2011-09-30,-6.5248758225084575,-20.276453832531637
2011-10-31,0.0,-11.574866205343938
2011-11-30,-0.3713395160694688,-11.934216638129037
2011-12-31,-3.231443609359197,-11.01406395753941
2012-01-31,0.0,-6.88739329553707
2012-02-29,0.0,-2.845809775092112
2012-03-31,0.0,0.0
2012-04-30,-0.34462363578635635,-0.6676096951025889
2012-05-31,-5.853738662288544,-6.633067691129202
2012-06-30,-3.058726827515823,-2.844138952360764
2012-07-31,-2.0451359569243044,-1.6948056871669337
2012-08-31,0.0,0.0
2012-09-30,0.0,0.0
2012-10-31,-3.0524480287277056,-1.8198111803262473
2012-11-30,-2.54825704811924,-1.2641449268447125
2012-12-31,-3.224769112153414,-0.3820075287283342
2013-01-31,-1.2350418891151294,0.0
2013-02-28,-2.150436896360841,0.0
2013-03-31,0.0,0.0
2013-04-30,-0.7785925397688187,0.0
2013-05-31,-1.1641826078143236,0.0
2013-06-30,-5.80074380344926,-1.3344786947561138
2013-07-31,-0.4895312330574164,0.0
2013-08-31,-0.09086078989506419,-2.9992038350360684
2013-09-30,0.0,0.0
2013-10-31,0.0,0.0
2013-11-30,0.0,0.0
2013-12-31,0.0,0.0
2014-01-31,-0.30188038574555653,-3.5248703947801774
2014-02-28,0.0,0.0
2014-03-31,-1.5699764457184462,0.0
2014-04-30,-1.238666711223424,0.0
2014-05-31,0.0,0.0
2014-06-30,0.0,0.0
2014-07-31,-1.1600878230239364,-1.3437554289031373
2014-08-31,0.0,0.0
2014-09-30,-2.5987338932945137,-1.3796529524536139
2014-10-31,-1.8815521406550517,0.0
2014-11-30,0.0,0.0
2014-12-31,-0.34197159500820584,-0.25364612949400067
2015-01-31,0.0,-3.209052945379842
2015-02-28,0.0,0.0
2015-03-31,-1.738917176951893,-1.5705405075737588
2015-04-30,-0.9938319451902933,-0.6025896147952903
2015-05-31,0.0,0.0
2015-06-30,-1.972535887544502,-2.031194036922901
2015-07-31,-1.7661527262882504,0.0
2015-08-31,-4.473251826212577,-6.095014790036435
2015-09-30,-6.202363472847439,-8.491085896977324
2015-10-31,-0.026665906124279104,-0.7073760296555376
2015-11-30,-1.8022609165215253,-0.34441978907047144
2015-12-31,-2.958651907628107,-2.0667360943139923
2016-01-31,-4.521073005773523,-6.9424923111111925
2016-02-29,-1.720381775015467,-7.019359463006292
2016-03-31,0.0,-0.7649416232192952
2016-04-30,0.0,-0.37385031832789517
2016-05-31,-0.03005851048534236,0.0
2016-06-30,0.0,0.0
2016-07-31,0.0,0.0
2016-08-31,-0.7270856930796765,0.0
2016-09-30,0.0,0.0
2016-10-31,-1.9901902288501416,-1.7336452695063898
2016-11-30,-3.6502590919511357,0.0
2016-12-31,-3.301978125513705,0.0
2017-01-31,0.0,0.0
2017-02-28,0.0,0.0
2017-03-31,0.0,0.0
2017-04-30,0.0,0.0
2017-05-31,0.0,0.0
2017-06-30,-1.2017587755792647,0.0
2017-07-31,0.0,0.0
2017-08-31,0.0,0.0
2017-09-30,-0.6392002276097375,0.0
2017-10-31,0.0,0.0
2017-11-30,0.0,0.0
2017-12-31,0.0,0.0
2018-01-31,0.0,0.0
2018-02-28,-2.1947219208888757,-3.636048180006002
2018-03-31,-3.8972973521413934,-6.277418968591453
2018-04-30,-4.00018281324197,-5.7930404397282365
2018-05-31,-1.9160569947946904,-3.502999921018213
