date,year,month,series::Portfolio 1::return,series::Portfolio 1::balance,series::benchmark::return,series::benchmark::balance,asset::QQQ::return,asset::SPY::return,asset::GLD::return,asset::IEF::return
2026-08-31,2026,8,0.05048042972331676,118821.89657722395,0.0267994025821654,96881.0419493081,0.041817497259588166,0.0267994025821654,0.0992625397928133,0.0011659783294670767
2026-07-31,2026,7,-0.01843248747657676,113111.95641076352,0.00034817917005858234,94352.45258779316,-0.06573877318676935,0.00034817917005858234,0.00857810852984442,-0.013887418305168597
2026-06-30,2026,6,-0.03833842346604122,115236.0433364122,-0.010292566443839024,94319.6124634054,-0.00149083123068805,-0.010292566443839024,-0.11684884638695336,0.002512497524029156
2026-05-31,2026,5,0.042843093658800714,119830.14206697163,0.05262575303750272,95300.49918338138,0.10568488508947738,0.05262575303750272,-0.015436926989543909,-0.00019019682430132523
2026-04-30,2026,4,0.0738132396336744,114907.16369089545,0.10505268686597247,90535.97530592246,0.15690076873760872,0.10505268686597247,-0.015408224107347213,-0.0015032981519580435
2026-03-31,2026,3,-0.06480230340728842,107008.51828768232,-0.04937956664344334,81929.10291245073,-0.048382495164410066,-0.04937956664344334,-0.11051161024305556,-0.023202017920157303
2026-02-28,2026,2,0.019003982434220402,114423.41943051819,-0.008641958340223965,86184.87467512804,-0.023445512550915093,-0.008641958340223965,0.08720077925273872,0.02469989925740501
2026-01-31,2026,1,0.04470416495561929,112289.47227191486,0.014737728839574471,86936.17346446644,0.012306564639789519,0.014737728839574471,0.12273224230545976,-0.002287957798278284
2025-12-31,2025,12,0.003988317887664728,107484.46884643663,0.0007975029584423865,85673.5400623018,-0.006699365349315034,0.0007975029584423865,0.02173350667644791,-0.007611753980078517
2025-11-30,2025,11,0.012993492445103793,107057.48954587233,0.0019500049129079766,85605.26960653234,-0.015610312534417359,0.0019500049129079766,0.05367817567023114,0.009881320304872654
2025-10-31,2025,10,0.032879613763406264,105684.28163093457,0.02383739357630099,85438.6637923849,0.047803801864853224,0.02383739357630099,0.035586670754335525,0.007112539047593458
2025-09-30,2025,9,0.06274118252732601,102320.03829164823,0.03562043418529992,83449.44649261596,0.053762321732697904,0.03562043418529992,0.11758415768627128,0.006511084460452787
2025-08-31,2025,8,0.02562830127168898,96279.35754622673,0.02051948404438786,80579.18107637942,0.009539710876868224,0.02051948404438786,0.049874624687468394,0.01648155389071637
2025-07-31,2025,7,0.011746174036568769,93873.53822710311,0.023031446515753284,78958.98347480704,0.02423669362683789,0.023031446515753284,-0.0061345510598058706,-0.00593902688266823
2025-06-30,2025,6,0.037390796642636046,92783.68491632184,0.051386230006752465,77181.38454465503,0.06385860116032993,0.051386230006752465,0.004051318985581975,0.01601951596836737
2025-05-31,2025,5,0.04498083420670274,89439.4718139034,0.06284505165897136,73409.16434121391,0.0917826748613293,0.06284505165897136,-0.0005595776946504261,-0.012396104409923225
2025-04-30,2025,4,0.01891886037856951,85589.58105849028,-0.008670167189502642,69068.54788158553,0.013968330908091797,-0.008670167189502642,0.05424437277239913,0.010560994312730276
2025-03-31,2025,3,-0.01079259353490647,84000.38941932068,-0.055719310915217646,69672.6211555349,-0.07586174559825176,-0.055719310915217646,0.09446585889998316,0.003419657491394057
2025-02-28,2025,2,-0.0036542633105459345,84916.86260163969,-0.012694736490296177,73783.80386351344,-0.02703473361430153,-0.012694736490296177,0.018216241876358952,0.027997051579256915
2025-01-31,2025,1,0.03552046797969673,85228.30928528075,0.026856345883270905,74732.51342874893,0.021633984215960966,0.026856345883270905,0.06785607873643396,0.006165453289969758
2024-12-31,2024,12,-0.012340871901576077,82304.8041257566,-0.02406006954082074,72777.9632743724,0.004540315690767072,-0.02406006954082074,-0.014088486936242095,-0.022583996656873495
2024-11-30,2024,11,0.025590986043317686,83333.20857796457,0.059633309413379854,74572.17499045296,0.05350821716264664,0.059633309413379854,-0.031241364603207922,0.010209374514721148
2024-10-31,2024,10,0.004239748444130198,81253.84262537272,-0.008923431171973806,70375.45378007852,-0.008646293361835089,-0.008923431171973806,0.04299348742370923,-0.03387380422839903
2024-09-30,2024,9,0.03081522621709631,80910.80118194825,0.02100455598615647,71009.09858387565,0.026216031228837533,0.02100455598615647,0.050888514912532656,0.013824955788383164
2024-08-31,2024,8,0.01794374784963302,78492.05087790187,0.023365508999098505,69548.2680929765,0.01103855635900386,0.023365508999098505,0.02092249026936499,0.013457811613928117
2024-07-31,2024,7,0.017597303405369434,77108.43653562716,0.012109347374647195,67960.34015353724,-0.01678102182217034,0.012109347374647195,0.053671963349382734,0.028972167348115585
2024-06-30,2024,6,0.03080724365973684,75775.00085503892,0.035279854804260324,67147.2310080155,0.06470131833081227,0.035279854804260324,-0.0013469974027457976,0.01216990940038798
2024-05-31,2024,5,0.040286247680752174,73510.34960329768,0.050579787626914285,64859.014397330255,0.061518015823555317,0.050579787626914285,0.016189210429127243,0.018001435168731206
2024-04-30,2024,4,-0.019378446557816953,70663.57915158836,-0.040319571262241616,61736.400377391634,-0.04373769735962041,-0.040319571262241616,0.02989497307015121,-0.031297578923037084
2024-03-31,2024,3,0.04037365800585413,72059.98981313911,0.03270183452575459,64330.16505149724,0.012749731498020944,0.03270183452575459,0.08668323846462611,0.007332166593336353
