date,year,month,series::Sample Portfolio::return,series::Sample Portfolio::balance,series::Portfolio 2::return,series::Portfolio 2::balance,series::Portfolio 3::return,series::Portfolio 3::balance,series::benchmark::return,series::benchmark::balance,asset::SPY::return,asset::GLD::return,asset::TLT::return,asset::QQQ::return,asset::SLV::return,asset::GDX::return,asset::AIA::return,asset::XLF::return,asset::XLE::return,asset::EWY::return,asset::EWJ::return,asset::INDY::return
2026-08-31,2026,8,0.03623751425484825,21577.70268359029,0.07729129253994751,34856.31556431411,0.06997958810709796,33627.563758620345,0.0267994025821654,26145.127351256764,0.0267994025821654,0.0992625397928133,0.007324219389085895,0.041817497259588166,0.14839572893793185,0.3294197593085566,0.03888795835103109,0.013523015039246689,0.07405541400355853,0.1512412067710558,0.037774628063917515,-0.0025142996651785765
2026-07-31,2026,7,-0.006880863748543408,20823.124415744278,-0.01968153945218778,32355.515918199606,-0.054226909605359926,31428.229222681624,0.00034817917005858234,25462.741101628766,0.00034817917005858234,0.00857810852984442,-0.04473763223412919,-0.06573877318676935,-0.020759315223688124,-0.01789262463518959,-0.057885053905554096,0.062115239292021895,0.12125773964788422,-0.22189197200242627,-0.009434944624106878,0.00690447023688967
2026-06-30,2026,6,-0.027038287686311623,20967.398226099514,-0.04605858221500736,33005.10723843658,-0.035433116108454975,33230.200289974055,-0.010292566443839024,25453.878591306075,-0.010292566443839024,-0.11684884638695336,0.011659398478035099,-0.00149083123068805,-0.21747402622778766,-0.15688905185695068,-0.001057710310039317,0.0429971735588075,-0.04968884533158102,-0.01909346499348552,0.008786156893088926,0.0199290859080965
2026-05-31,2026,5,0.02974309056651749,21550.07536343785,0.05786432390406428,34598.67306639531,0.0773134786513524,34450.90314101062,0.05262575303750272,25718.588876155685,0.05262575303750272,-0.015436926989543909,0.005333890422903664,0.10568488508947738,0.025052476405646562,0.013591538518504587,0.14431583041072082,-0.010550553302632437,-0.05632857041269368,0.2803558650426692,0.04332212264660584,-0.023106789967728525
2026-04-30,2026,4,0.05573517268890382,20927.62317208847,0.07152286522510083,32706.15360078349,0.09473238469305864,31978.53161935595,0.10505268686597247,24432.79465844437,0.10505268686597247,-0.015408224107347213,-0.008396601009508786,0.15690076873760872,-0.021719925752800906,-0.03792084401042628,0.17173813305863472,0.055904408448808285,-0.02628136791889235,0.30688555170333465,0.05518703775857192,0.034801114119390464
2026-03-31,2026,3,-0.062098851483938865,19822.79620256174,-0.08447387315567667,30523.057101457867,-0.08328589870104539,29211.27762957529,-0.04937956664344334,22110.072170167692,-0.04937956664344334,-0.11051161024305556,-0.042300398922681004,-0.04838259103173448,-0.19825860569063614,-0.20778660614434996,-0.10057615197954917,-0.03511997639435782,0.1026512734916567,-0.1873554462296264,-0.08585037239358739,-0.1048950833640282
2026-02-28,2026,2,0.02282280952853321,21135.272340720763,0.06275484782551198,33339.3621508827,0.059718159450648504,31865.199398791665,-0.008642046247570145,23258.570291929223,-0.008642046247570145,0.08720077925273872,0.046337420465722534,-0.023445318098410217,0.12659060330466843,0.22972399247038666,0.07918797137364386,-0.03761221368769385,0.09539662599183685,0.2365819017130082,0.07757819933034904,0.0023363685225019637
2026-01-31,2026,1,0.03332028144589514,20663.66935096314,0.07895739035692623,31370.698726143575,0.07607717660924815,30069.503966328553,0.014737818820090842,23461.324140177876,0.014737818820090842,0.12273224230545976,-0.00034429153625659126,0.012306465049553683,0.17106495786541798,0.09828612143075399,0.12152595197663985,-0.024283391331581416,0.1418026741972711,0.25910308707177854,0.06167954515311491,-0.0448366006987756
2025-12-31,2025,12,0.0014766866559617871,19997.351955628965,0.05125888931194643,29075.011679345316,0.049460386784034534,27943.631386252866,0.0007975029584423865,23120.577261482234,0.0007975029584423865,0.02173350667644791,-0.026586133974990545,-0.006699365349315034,0.2579574169232519,0.03800215761762371,0.04102318389624471,0.030591044482189966,-0.0029601582568700158,0.0939099269242738,0.009046999705594638,-0.007473483404573655
2025-11-30,2025,11,0.01495601383636781,19967.865674838893,0.04002093456494083,27657.32777620082,0.014502117041623757,26626.66617830455,0.001949914509092654,23102.15322593816,0.001949914509092654,0.05367817567023114,0.002723456448958439,-0.015610216675696953,0.16359920557907937,0.15500974411071589,-0.03708197982365968,0.018331233286564608,0.026324596409974088,-0.0631958352660974,-0.005272501752970893,0.014911355552132965
