date,Sample Portfolio_annualized_return_pct,Portfolio 2_annualized_return_pct,Portfolio 3_annualized_return_pct,benchmark_annualized_return_pct
2024-12-31,9.991433005610805,13.497498886207815,14.41056711589972,14.453843348922746
2025-01-31,10.131345454628594,14.912034172050825,15.279905669441973,15.071393674517243
2025-02-28,11.050894844717751,16.64125600329911,16.65822386576361,16.686711177634894
2025-03-31,11.976548532977294,19.91244416105731,19.700036359412977,18.475136736338982
2025-04-30,10.274908329341415,16.498778639360225,17.0152860241104,15.474833018085565
2025-05-31,10.301997694178166,16.38982305393286,16.718971730624975,15.80797941985168
2025-06-30,10.710460941626243,16.528517352633454,17.13487476803852,16.563892624160246
2025-07-31,9.510636270074091,14.569660066418312,15.394982939200297,15.763460910208305
2025-08-31,9.457646173240919,14.4441242917551,14.170812568800173,14.676786240372873
2025-09-30,11.282569602448733,18.224970709840683,17.072963607523196,16.367151654466827
2025-10-31,12.34309095970545,18.87692030596344,18.808832468349678,17.508634589442007
2025-11-30,11.529442956269321,18.34943242584046,17.151014006080345,15.151646708877209
2025-12-31,10.829104581566739,17.941486505319904,16.575496637915577,14.335100330631324
2026-01-31,12.005751011757715,19.46385355242097,18.226151530577518,14.905288851640087
2026-02-28,12.66561153377841,20.455849564670704,19.085427479875406,14.078533075926657
2026-03-31,10.865761383799487,18.25028278921197,16.88343027986352,11.930624332559736
2026-04-30,11.094412716434277,18.98554458251873,18.348061413624727,13.017899656165998
2026-05-31,11.34816232449074,19.53543919106395,19.48731409926765,14.033790490636534
2026-06-30,10.557945769634669,18.52623353707472,18.221683983577286,13.294395582099972
2026-07-31,9.823340021863846,18.446276128572702,17.010459527912978,12.757051101264128
2026-08-31,10.200808117826977,20.135734328138778,18.163702956160833,12.69213826311355
