portfolio,date,portfolio_return,benchmark_return,active_return,cumulative_active_return,annual_active_return,rolling_active_return,rolling_tracking_error_pct
Sample Portfolio,2020-01-31,0.02413945902157144,-0.00040359788793475904,0.0245430569095062,0.02454305690950609,0.012607275019101971,,
Sample Portfolio,2020-02-29,-0.03372361652081822,-0.07916605486839323,0.04544243834757501,0.06913947414547661,0.012607275019101971,,
Sample Portfolio,2020-03-31,-0.055356593345090244,-0.12487112791874144,0.0695145345736512,0.12929765666366955,0.012607275019101971,,
Sample Portfolio,2020-04-30,0.08493199639338436,0.12698349156499544,-0.04205149517161108,0.10640571263192178,0.012607275019101971,,
Sample Portfolio,2020-05-31,0.026963924391818148,0.047645139889106236,-0.02068121549728809,0.0905001876533571,0.012607275019101971,,
Sample Portfolio,2020-06-30,0.016494204673814256,0.017734501342107523,-0.0012402966682932663,0.09081331467647269,0.012607275019101971,,
Sample Portfolio,2020-07-31,0.06638859150732113,0.058892042432051595,0.007496549075269532,0.10409842283547133,0.012607275019101971,,
Sample Portfolio,2020-08-31,0.025895204674973825,0.06979677941272877,-0.043901574737754946,0.061797850408758404,0.012607275019101971,,
Sample Portfolio,2020-09-30,-0.028969884220399582,-0.037443750368799544,0.008473866148399962,0.0692989243047879,0.012607275019101971,,
Sample Portfolio,2020-10-31,-0.022514288151839795,-0.02493360857418958,0.002419320422349786,0.07029209599434538,0.012607275019101971,,
Sample Portfolio,2020-11-30,0.05252252582733871,0.10877684473160687,-0.05625431890426816,0.016092698897694158,0.012607275019101971,,
Sample Portfolio,2020-12-31,0.03352119388457766,0.03704855725569267,-0.0035273633711150124,0.012607275019101971,0.012607275019101971,,
Sample Portfolio,2021-01-31,-0.019827612184355203,-0.010190452682016349,-0.009637159502338854,0.0009534965045767674,-0.13241116491290317,,
Sample Portfolio,2021-02-28,-0.006780757906634928,0.02780552861881147,-0.034586286525446396,-0.03956242021821499,-0.13241116491290317,,
Sample Portfolio,2021-03-31,0.016545307127286395,0.045399177586257444,-0.02885387045897105,-0.07495200457204398,-0.13241116491290317,,
