asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.0921186359055,0.0,0.0
GLD,12.961525826679999,5.603489201490337,4.400660540159225
TLT,12.946355537414503,0.0,0.0
QQQ,0.0,26.868026209333117,42.52564466127657
SLV,0.0,13.829626147033503,12.294752351339405
GDX,0.0,16.138493038575678,0.0
AIA,0.0,20.407490654026166,0.0
XLF,0.0,7.4771128063943415,0.0
XLE,0.0,9.675761943146856,9.916528370680284
EWY,0.0,0.0,16.6024328246707
EWJ,0.0,0.0,7.151168447349954
INDY,0.0,0.0,7.108812804523865
