excluded_year,removed_observations,remaining_observations,removed_start,removed_end,feasible,status,solver,sharpe,delta_sharpe,allocation_turnover,most_changed_asset,message,expected_return_pct,volatility_pct,delta_expected_return_pct,delta_volatility_pct,max_abs_weight_change_pct,weight_QQQ_pct,delta_weight_QQQ_pct,weight_SPMO_pct,delta_weight_SPMO_pct,weight_AIA_pct,delta_weight_AIA_pct,weight_GLD_pct,delta_weight_GLD_pct,weight_XLE_pct,delta_weight_XLE_pct,weight_144600_pct,delta_weight_144600_pct,weight_SCHD_pct,delta_weight_SCHD_pct,weight_138920_pct,delta_weight_138920_pct
2015,2,128,2015-11-30,2015-12-31,True,optimal,CLARABEL,1.277838828550222,0.030281389861429364,0.03692870402521706,SCHD,,18.534629225883037,11.499999952212123,0.3482358567370003,-1.0037401881879404e-07,2.3937657705376685,29.76373171223039,-1.2991029311484326,20.00005708661493,0.18287776900027253,4.88205427371512,0.3736393375093815,40.8541904427263,1.3696973960123315,4.499965771937562,1.7666576008353245,0.0,0.0,0.0,-2.3937657705376685,0.0,0.0
2016,12,118,2016-01-31,2016-12-31,True,optimal,CLARABEL,1.2840111898071909,0.036453751118398214,0.08224269459996822,GLD,,18.605611311709104,11.499999898992874,0.419217942563066,-1.535932686591579e-07,3.8665676370546684,27.96494391201792,-3.097890731360903,21.897003971049458,2.0798246534347973,2.1153447544749246,-2.3930701817308133,43.35106068376864,3.8665676370546684,0.0,-2.7333081711022382,0.0,0.0,4.67164331584789,2.277877545310221,0.0,0.0
2017,12,118,2017-01-31,2017-12-31,True,optimal,CLARABEL,1.308925487580938,0.06136804889214531,0.10859644086010317,AIA,,18.89211811007582,11.499994074738607,0.7057247409297834,-5.977847535032499e-06,4.508414936205738,27.105340098488806,-3.9574945448900167,20.20968458044384,0.39250526282918474,0.0,-4.508414936205738,43.840288471038996,4.355795424325026,6.349993129307091,3.616684958204853,0.0,0.0,0.0,-2.3937657705376685,2.4946272750281486,2.4946272750281486
2018,12,118,2018-01-31,2018-12-31,True,optimal,CLARABEL,1.385896922852591,0.13833948416379838,0.08481741185439948,AIA,,19.777297365958677,11.499999996055397,1.59090399681264,-5.653074536260405e-08,5.795664442576876,29.380665687560857,-1.6821689558179642,18.532769712611266,-1.284409605003392,10.304079378782614,5.795664442576876,34.262459571284715,-5.222033475429255,5.419386838664165,2.686078667561927,0.0,0.0,2.100638546047188,-0.2931272244904807,0.0,0.0
2019,12,118,2019-01-31,2019-12-31,True,optimal,CLARABEL,1.1417095738392715,-0.10584786484952113,0.12384585025186104,QQQ,,16.969140575143886,11.499998000692575,-1.2172527940021522,-2.0518935675561956e-06,9.990829093144162,21.07200555023466,-9.990829093144162,25.99777822745551,6.180598909840851,6.810110358089333,2.3016954218835948,40.60486919557776,1.1203761488637942,4.721004299373674,1.9876961282714358,0.0,0.0,0.0,-2.3937657705376685,0.7942085778307004,0.7942085778307004
2020,12,118,2020-01-31,2020-12-31,True,optimal,CLARABEL,1.3172077389897905,0.06965030030099784,0.32922744976849927,XLE,,18.987371524160427,11.499999823229967,0.8009781550143896,-2.2935617571828715e-07,18.679783155227547,22.848992602685477,-8.213842040693345,34.06014147080003,14.242962153185374,0.0,-4.508414936205738,21.67777114886379,-17.80672189785018,21.413091326329788,18.679783155227547,0.0,0.0,0.0,-2.3937657705376685,0.0,0.0
2021,12,118,2021-01-31,2021-12-31,True,optimal,CLARABEL,1.2178398218569442,-0.02971761683184848,0.19076573333986013,QQQ,,17.844638550573375,11.499998226858626,-0.3417548185726621,-1.8257275163913178e-06,13.949508896187549,17.113325747191276,-13.949508896187549,23.31128388347378,3.4941045658591214,15.404985544902328,10.89657060869659,43.70465442913097,4.220161382416999,0.0,-2.7333081711022382,0.0,0.0,0.0,-2.3937657705376685,0.4657272731718665,0.4657272731718665
2022,12,118,2022-01-31,2022-12-31,True,optimal,CLARABEL,1.5613678725122273,0.31381043382343465,0.3034321817880585,QQQ,,21.795212796731576,11.499999682470907,3.608819427585541,-3.7011523568164506e-07,25.871221499344532,56.93405614272336,25.871221499344532,0.0,-19.81717931761466,1.2910503614388436,-3.217364574766895,34.909127456700446,-4.575365590013525,0.0,-2.7333081711022382,0.0,0.0,5.628064027558405,3.234298257020736,1.2376989477491112,1.2376989477491112
2023,12,118,2023-01-31,2023-12-31,True,optimal,CLARABEL,1.2184827762534118,-0.029074662435380816,0.3936358815952223,QQQ,,17.85203377119851,11.49999924961072,-0.33435959794752557,-8.029754222649288e-07,31.06283464337882,0.0,-31.06283464337882,42.92178921401688,23.104609896402224,11.287745111006041,6.779330174800302,33.53409599819416,-5.950397048519812,0.38295003735101957,-2.350358133751219,0.0,0.0,11.873412192729758,9.479646422192088,0.0,0.0
2024,12,118,2024-01-31,2024-12-31,True,optimal,CLARABEL,1.068034465188359,-0.17952297350043356,0.27297756186514965,SPMO,,16.121877617073256,11.499998603777675,-2.064515752072782,-1.4488084690289504e-06,19.81717931761466,49.36995075732577,18.307116113946943,0.0,-19.81717931761466,1.0458326204209227,-3.462582315784815,35.46649506690674,-4.01799797980723,4.622882438552387,1.889574267450149,0.0,0.0,4.332385189534746,1.9386194189970773,5.162442959429052,5.162442959429052
