year,ticker,asset_annual_return_pct,baseline_weight_pct,excluded_year_weight_pct,delta_weight_pct,status
2015,138920,-2.24346468981663,0.0,0.0,0.0,optimal
2015,144600,-10.56447436561367,0.0,0.0,0.0,optimal
2015,AIA,-2.44089015298092,4.508414936205738,4.88205427371511,0.37363933750938,optimal
2015,GLD,-4.80074355999352,39.48449304671397,40.8541904427263,1.36969739601233,optimal
2015,QQQ,2.85476594588018,31.06283464337882,29.76373171223039,-1.29910293114843,optimal
2015,SCHD,3.06882053114525,2.3937657705376685,0.0,-2.39376577053766,optimal
2015,SPMO,1.4608718195741899,19.81717931761466,20.00005708661493,0.18287776900027,optimal
2015,XLE,-8.61838975406835,2.7333081711022382,4.49996577193756,1.76665760083532,optimal
2016,138920,14.03911394931154,0.0,0.0,0.0,optimal
2016,144600,12.39143022582514,0.0,0.0,0.0,optimal
2016,AIA,15.78677799957724,4.508414936205738,2.1153447544749198,-2.3930701817308098,optimal
2016,GLD,12.54812802924219,39.48449304671397,43.35106068376864,3.8665676370546604,optimal
2016,QQQ,10.5992022721542,31.06283464337882,27.96494391201792,-3.0978907313609,optimal
2016,SCHD,19.57068328601574,2.3937657705376685,4.67164331584789,2.27787754531022,optimal
2016,SPMO,11.1266122535766,19.81717931761466,21.89700397104945,2.0798246534347897,optimal
2016,XLE,33.4862923092394,2.7333081711022382,0.0,-2.73330817110223,optimal
2017,138920,-10.99833756234139,0.0,2.49462727502814,2.49462727502814,optimal
2017,144600,0.90159711488924,0.0,0.0,0.0,optimal
2017,AIA,27.967044131577488,4.508414936205738,0.0,-4.50841493620573,optimal
2017,GLD,-1.20068419934654,39.48449304671397,43.84028847103899,4.35579542432502,optimal
2017,QQQ,17.18642967180903,31.06283464337882,27.1053400984888,-3.9574945448900096,optimal
2017,SCHD,7.09281115292366,2.3937657705376685,0.0,-2.39376577053766,optimal
2017,SPMO,12.99145848988174,19.81717931761466,20.20968458044384,0.39250526282917997,optimal
2017,XLE,-12.09022836770548,2.7333081711022382,6.34999312930709,3.61668495820485,optimal
2018,138920,-15.306724341329131,0.0,0.0,0.0,optimal
2018,144600,-11.18202706152665,0.0,0.0,0.0,optimal
2018,AIA,-10.25228525988066,4.508414936205738,10.30407937878261,5.79566444257687,optimal
2018,GLD,2.76993685822213,39.48449304671397,34.26245957128471,-5.2220334754292494,optimal
2018,QQQ,2.64761416027932,31.06283464337882,29.380665687560857,-1.68216895581796,optimal
2018,SCHD,-2.5728196936909,2.3937657705376685,2.10063854604718,-0.29312722449048,optimal
2018,SPMO,2.43297410207155,19.81717931761466,18.53276971261126,-1.28440960500339,optimal
2018,XLE,-15.40154921342823,2.7333081711022382,5.41938683866416,2.68607866756192,optimal
