portfolio,rank,start,bottom,recovery,duration_months,decline_months,recovery_months,underwater_months,maximum_drawdown_pct,annualized_recovery_rate_pct
optimized,1,2026-07-31,2026-07-31,,2,1,,2,-11.635146648359218,
optimized,2,2020-09-30,2020-10-31,2021-05-31,9,2,7.0,9,-10.729666909478897,21.479226957064277
optimized,3,2022-04-30,2022-06-30,2023-03-31,12,3,9.0,12,-8.088730102970022,11.902978067333137
optimized,4,2020-02-29,2020-03-31,2020-04-30,3,2,1.0,3,-7.6597526005640955,160.20018114865047
optimized,5,2018-09-30,2018-12-31,2019-02-28,6,4,2.0,6,-7.304471362492071,57.63305291327801
optimized,6,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-4.688521200399832,21.17671320443617
optimized,7,2016-03-31,2016-03-31,2016-07-31,5,1,4.0,5,-4.59350472600234,15.150591340135211
optimized,8,2022-01-31,2022-01-31,2022-03-31,3,1,2.0,3,-4.203609108147067,29.391311654048202
optimized,9,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-2.672797641070024,38.4169008929792
optimized,10,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-2.3794529295844025,15.54537786697674
optimized,11,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-2.0020651232199427,27.466750308356126
optimized,12,2019-09-30,2019-10-31,2019-12-31,4,2,2.0,4,-1.827029013525261,11.698771108028417
optimized,13,2016-08-31,2016-08-31,2016-10-31,3,1,2.0,3,-1.6022042281068183,10.1761978839342
optimized,14,2023-09-30,2023-09-30,2023-11-30,3,1,2.0,3,-1.5795188851590924,10.023915858032485
optimized,15,2017-03-31,2017-03-31,2017-04-30,2,1,1.0,2,-1.293123220344039,16.90445848573008
optimized,16,2016-11-30,2016-11-30,2016-12-31,2,1,1.0,2,-1.2498743159462533,16.2915383147898
optimized,17,2019-05-31,2019-05-31,2019-06-30,2,1,1.0,2,-1.1860080195852163,15.39278729040121
optimized,18,2025-04-30,2025-04-30,2025-05-31,2,1,1.0,2,-1.0434859191238322,13.414176274736288
optimized,19,2023-05-31,2023-05-31,2023-06-30,2,1,1.0,2,-0.9322011034389122,11.894781729317971
optimized,20,2024-08-31,2024-08-31,2024-09-30,2,1,1.0,2,-0.6547100384680871,8.201335134243859
optimized,21,2023-07-31,2023-07-31,2023-08-31,2,1,1.0,2,-0.4687542336897943,5.80025671110318
optimized,22,2025-12-31,2025-12-31,2026-01-31,2,1,1.0,2,-0.3557198673206363,4.368997503524885
optimized,23,2017-01-31,2017-01-31,2017-02-28,2,1,1.0,2,-0.006747030936526954,0.08099988991383533
provided,1,2020-02-29,2020-03-31,2020-05-31,4,2,2.0,4,-14.86143183147821,162.5680915111158
provided,2,2018-10-31,2018-12-31,2019-03-31,6,3,3.0,6,-10.850523825083657,58.31600319350474
provided,3,2020-09-30,2020-10-31,2020-12-31,4,2,2.0,4,-10.640301952136399,96.40378108602587
provided,4,2026-07-31,2026-07-31,,2,1,,2,-9.203618504634148,
