year,Portfolio 1,benchmark
2004,0.010493839412088812,0.03012089175593302
2005,0.07748596459087387,0.048283046911781646
2006,0.1420489821981643,0.15845167544879568
2007,0.17344944983695143,0.05146282122041135
2008,-0.2190427258520088,-0.367950176197518
2009,0.3092298041973438,0.2635175405511727
2010,0.21009332678666115,0.1505616462358006
2011,0.06843734150372272,0.018949852821592783
2012,0.12745395336319998,0.15990308244916718
2013,0.0813357797191765,0.32307825568155835
2014,0.09991851728880152,0.13463771716106265
2015,0.005064452765246585,0.012343016061667322
2016,0.09025849785070683,0.11997884934168712
2017,0.2015824930797323,0.21705420396106678
2018,-0.013650879703386631,-0.045689707782749056
2019,0.2733428787085641,0.3122381221706716
2020,0.28850833586769253,0.18331615614995878
2021,0.146339787572914,0.28728780803321574
2022,-0.1720137699604397,-0.18175374952608536
2023,0.2767806252191103,0.2617580723704003
2024,0.23227240352763623,0.2488645481531
2025,0.30593188033562746,0.17719067981214542
2026,0.10547969188635498,0.13081637433046645
