date,Portfolio 1_drawdown,benchmark_drawdown
2004-12-31,0.0,0.0
2005-01-31,-0.035615186784524244,-0.022420964237194863
2005-02-28,-0.023302271655877727,-0.001985382964040938
2005-03-31,-0.0389524697553858,-0.020242038239201787
2005-04-30,-0.05090252456697897,-0.038598037497957205
2005-05-31,-0.02591504881515494,-0.007617213973750814
2005-06-30,-0.02216270154714739,-0.006113490304934688
2005-07-31,0.0,0.0
2005-08-31,-0.0012960302619070552,-0.009374513033059584
2005-09-30,0.0,-0.0014242210772571484
2005-10-31,-0.014747341196998165,-0.02504148879011736
2005-11-30,0.0,0.0
2005-12-31,0.0,-0.0019134707575371168
2006-01-31,0.0,0.0
2006-02-28,-0.008147876840546742,0.0
2006-03-31,0.0,0.0
2006-04-30,0.0,0.0
2006-05-31,-0.034827251752218014,-0.030120914982063596
2006-06-30,-0.047552843382408505,-0.02759131672108972
2006-07-31,-0.047976873454838365,-0.023236259477470433
2006-08-31,-0.03037367925349943,-0.0019208313439539326
2006-09-30,-0.021021492436298694,0.0
2006-10-31,0.0,0.0
2006-11-30,0.0,0.0
2006-12-31,-0.00839846860414728,0.0
2007-01-31,0.0,0.0
2007-02-28,-0.0012321340287253513,-0.019617161083014145
2007-03-31,0.0,-0.008255859160228862
2007-04-30,0.0,0.0
2007-05-31,0.0,0.0
2007-06-30,-0.009229425468604058,-0.014620848913973195
2007-07-31,-0.009707076308943074,-0.04547301372844448
2007-08-31,0.0,-0.0332236419445151
2007-09-30,0.0,0.0
2007-10-31,0.0,0.0
2007-11-30,-0.03281270749301757,-0.038732819988207434
2007-12-31,-0.016949474867810954,-0.04955705948885869
2008-01-31,-0.034572796730634514,-0.107022209274247
2008-02-29,-0.03970467359132579,-0.13009885704720614
2008-03-31,-0.05288543963903558,-0.13787750627569828
2008-04-30,-0.03076797259942221,-0.09678696492933836
2008-05-31,-0.008165440503936638,-0.08313361298360022
2008-06-30,-0.047066490213299006,-0.15976154156165356
2008-07-31,-0.05124190645979021,-0.16731124929917973
2008-08-31,-0.06770955019132874,-0.15444345632578949
2008-09-30,-0.1262434054580166,-0.234072760502412
2008-10-31,-0.2531588713600371,-0.36059364082979284
2008-11-30,-0.26047391214570637,-0.4051004097829871
2008-12-31,-0.2322795415430141,-0.3992727069156202
2009-01-31,-0.24669113006335075,-0.44860092935762375
2009-02-28,-0.2801588992103481,-0.5078481741916092
2009-03-31,-0.2429824646099995,-0.46684679330120504
2009-04-30,-0.20040887212388891,-0.4138798424815694
2009-05-31,-0.15580507332062532,-0.37961897117258936
2009-06-30,-0.1621786945822048,-0.3800256069108018
2009-07-31,-0.1155377755384499,-0.33377197538906767
2009-08-31,-0.10101776607188628,-0.3091614614042799
2009-09-30,-0.0594749750033563,-0.2846666018648979
2009-10-31,-0.06314013535111618,-0.2984189668277144
2009-11-30,0.0,-0.2551965819202505
2009-12-31,-0.0046743730344182,-0.24097052810006092
2010-01-31,-0.036242681373662156,-0.2685556103616352
2010-02-28,-0.0041240175347083685,-0.24573819287178644
2010-03-31,0.0,-0.19981906102237657
2010-04-30,0.0,-0.18744013611713506
2010-05-31,-0.033926111950451254,-0.2520017061989942
2010-06-30,-0.056469673980363955,-0.2907038892480214
2010-07-31,-0.030132474331503567,-0.2422583239867453
