date,year,month,series::TLT Local USD::return,series::TLT Local USD::balance,series::EDV Local USD::return,series::EDV Local USD::balance,series::ZROZ Local USD::return,series::ZROZ Local USD::balance,series::benchmark::return,series::benchmark::balance,asset::TLT::return,asset::EDV::return,asset::ZROZ::return
2026-08-31,2026,8,0.011718769720364675,6660.148958485789,0.02018164785429377,5221.973498254337,0.020309816457247942,4663.617668662936,0.029878245068770015,17866.750502939678,0.011718769720364675,0.02018164785429377,0.020309816457247942
2026-07-31,2026,7,-0.04473763223412919,6583.004247639519,-0.07401936689563282,5118.670296841254,-0.08200351345125279,4570.785847044084,0.00034817917005858234,17348.410444136167,-0.04473763223412919,-0.07401936689563282,-0.08200351345125279
2026-06-30,2026,6,0.011659489879361162,6891.304912424829,0.02134341814446894,5527.837315215565,0.02445260851411568,4979.088606567741,-0.010292566443839024,17342.372191379724,0.011659489879361162,0.02134341814446894,0.02445260851411568
2026-05-31,2026,5,0.005333708278801419,6811.881844993722,0.009345824727311047,5412.319908281479,0.0075684525600041574,4860.242987510667,0.05262575303750272,17522.72601314723,0.005333708278801419,0.009345824727311047,0.0075684525600041574
2026-04-30,2026,4,-0.008396600253250841,6775.74201372012,-0.01645211484983844,5362.205673901403,-0.017249610193672438,4823.734779668703,0.10505268686597247,16646.681845454463,-0.008396600253250841,-0.01645211484983844,-0.017249610193672438
2026-03-31,2026,3,-0.0423003952739639,6833.116965361971,-0.06060170363303652,5451.900974890244,-0.06349670783514161,4908.402814899238,-0.04937956664344334,15064.152183246511,-0.0423003952739639,-0.06060170363303652,-0.06349670783514161
2026-02-28,2026,2,0.046337510719945296,7134.927206445577,0.0661526302349198,5803.60960412103,0.07316690091855049,5241.201879336461,-0.008642046247570145,15846.653043272301,0.046337510719945296,0.0661526302349198,0.07316690091855049
2026-01-31,2026,1,-0.00034429153625659126,6818.953858909544,-0.0024611314308093934,5443.507279855646,-0.008715906511108873,4883.864639181831,0.014737818820090842,15984.794375523474,-0.00034429153625659126,-0.0024611314308093934,-0.008715906511108873
2025-12-31,2025,12,-0.026585962995858137,6821.302375583703,-0.04379369336657801,5456.937520302827,-0.04739252203802036,4926.806221607713,0.0007975029584423865,15752.634896480111,-0.026585962995858137,-0.04379369336657801,-0.04739252203802036
2025-11-30,2025,11,0.0027231920181931546,7007.606338385563,-0.004195758835148888,5706.862088700736,-0.005383419911601073,5171.91638275629,0.001949914509092654,15740.082134411792,0.0027231920181931546,-0.004195758835148888,-0.005383419911601073
2025-10-31,2025,10,0.013810883074427682,6988.575106437169,0.021699467261112382,5730.907594875356,0.022463518733840004,5199.9096800664865,0.023837580535737146,15709.450049829762,0.013810883074427682,0.021699467261112382,0.022463518733840004
2025-09-30,2025,9,0.03590977778505344,6893.371557862938,0.060418202691450595,5609.191135469905,0.06888957669057882,5085.667688668009,0.03562033851605517,15343.693519835027,0.03590977778505344,0.060418202691450595,0.06888957669057882
2025-08-31,2025,8,0.00012690675784954308,6654.41306346399,-0.012090480748896848,5289.602838986732,-0.019885912975012854,4757.898102453106,0.02051948404438786,14815.944559201174,0.00012690675784954308,-0.012090480748896848,-0.019885912975012854
2025-07-31,2025,7,-0.011396419895726928,6653.5686806346,-0.01732543524229313,5354.339376136976,-0.021273390219366584,4854.432933307903,0.023031446515753284,14518.04183148428,-0.011396419895726928,-0.01732543524229313,-0.021273390219366584
2025-06-30,2025,6,0.0266401087651027,6730.269659687875,0.03745939734146653,5448.741188754762,0.039683748894881354,4959.947839158016,0.051386230006752465,14191.198013443198,0.0266401087651027,0.03745939734146653,0.039683748894881354
2025-05-31,2025,5,-0.032106037809844445,6555.627042258656,-0.049802154789814757,5252.004273822563,-0.060168887780023717,4770.631304403988,0.06284493303163585,13497.606881680442,-0.032106037809844445,-0.049802154789814757,-0.060168887780023717
2025-04-30,2025,4,-0.013604558688307788,6773.083931037805,-0.02909730427802315,5527.274451628346,-0.031192679257698197,5076.051688835107,-0.008670056544183735,12699.507202033848,-0.013604558688307788,-0.02909730427802315,-0.031192679257698197
2025-03-31,2025,3,-0.012046896534136375,6866.499628213074,-0.024554265984535584,5692.923169317381,-0.02821870018645478,5239.485272412917,-0.055719310915217646,12810.575616996752,-0.012046896534136375,-0.024554265984535584,-0.02821870018645478
2025-02-28,2025,2,0.05697102339913074,6950.22830954681,0.07776477109906432,5836.227450482783,0.08556685052760948,5391.630064725687,-0.012694736490296177,13566.491155731506,0.05697102339913074,0.07776477109906432,0.08556685052760948
2025-01-31,2025,1,0.004924163332411524,6575.609128049183,-0.0011812720826011036,5415.121747328238,-0.010492413453000005,4966.649508600262,0.02685623711431928,13740.928623741876,0.004924163332411524,-0.0011812720826011036,-0.010492413453000005
2024-12-31,2024,12,-0.06381056535590324,6543.388414747556,-0.08723742898431719,5421.526044689925,-0.10220946519804863,5019.3142287387145,-0.0240599661651395,13381.550529757467,-0.06381056535590324,-0.08723742898431719,-0.10220946519804863
2024-11-30,2024,11,0.019872385961521744,6989.385024661276,0.02539239373358293,5939.689265147107,0.02368668041164601,5590.74086233929,0.059633309413379854,13711.447492502155,0.019872385961521744,0.02539239373358293,0.02368668041164601
2024-10-31,2024,10,-0.054548832205064346,6853.195675135157,-0.07172709205991956,5792.601253379645,-0.07457738235748501,5461.378925132772,-0.008923538766048789,12939.804147996163,-0.054548832205064346,-0.07172709205991956,-0.07457738235748501
2024-09-30,2024,9,0.019994550987326054,7248.598244496099,0.025350646805449406,6240.19208557313,0.022073164811626356,5901.497133326461,0.021004553657945513,13056.312660160762,0.019994550987326054,0.025350646805449406,0.022073164811626356
2024-08-31,2024,8,0.021112096031376648,7106.506831315579,0.0283182126489947,6085.910322497848,0.03690372151157595,5774.045671587649,0.023365738515666923,12787.712467475298,0.021112096031376648,0.0283182126489947,0.03690372151157595
2024-07-31,2024,7,0.03629937799882299,6959.575602850572,0.04042158807689589,5918.31424128944,0.0464209738331256,5568.545614987638,0.012108883977461682,12495.740267817779,0.03629937799882299,0.04042158807689589,0.0464209738331256
2024-06-30,2024,6,0.01817130346701945,6715.796371787917,0.02499307674282636,5688.380853600692,0.02511930839000298,5321.515675082084,0.035280334425669135,12346.241067177552,0.01817130346701945,0.02499307674282636,0.02511930839000298
