date,TLT Local USD_drawdown_pct,EDV Local USD_drawdown_pct,ZROZ Local USD_drawdown_pct,benchmark_drawdown_pct
2021-11-30,0.0,0.0,0.0,0.0
2021-12-31,-2.0137936188658445,-2.722163413865075,-3.056598492859053,0.0
2022-01-31,-5.84889490499394,-7.322014489043704,-7.366490233927136,-5.274131684383154
2022-02-28,-7.386357205611571,-9.656683023546641,-9.944772495982523,-8.070146757876817
2022-03-31,-12.428599257638895,-15.42388104474579,-15.591522684357816,-4.614468303161212
2022-04-30,-20.68121211235652,-26.072297384078336,-26.9256885714675,-12.986377204454747
2022-05-31,-22.468517501262518,-29.05483199933665,-29.840725596479434,-12.78996207589409
2022-06-30,-23.45668551084352,-30.06065142754698,-30.735695889411975,-19.98133158298997
2022-07-31,-21.59591412143125,-28.389260017590534,-29.237757222053762,-12.612626454658782
2022-08-31,-25.165722182222872,-32.07532684915727,-32.80577473339381,-16.17819986692145
2022-09-30,-31.328422545199285,-39.004242442914794,-40.12823375671495,-23.927177194402816
2022-10-31,-35.42426585350239,-44.54737491792082,-46.34195145032237,-17.74431739340878
2022-11-30,-30.80642948470618,-38.96027881120312,-40.99555104075764,-13.171600023600128
2022-12-31,-32.6193473682458,-40.8082347590736,-43.078688570774716,-18.17536812386573
2023-01-31,-27.468996275858238,-34.783987373974625,-37.0749547795368,-13.029623632475962
2023-02-28,-30.987142192342098,-38.935922895841,-40.92750385583393,-15.216296330288248
2023-03-31,-27.64737948608651,-35.29852351930679,-37.563870368236465,-12.072705078071644
2023-04-30,-27.402560686551368,-35.19484288532777,-37.524451841159255,-10.668080489571697
2023-05-31,-29.591587603983747,-37.93796430444717,-40.40156556441811,-10.255692713130514
2023-06-30,-29.438733050436106,-37.31158239786206,-39.54762448530186,-4.440294389832699
2023-07-31,-31.23400903329987,-39.79751498662202,-42.01209643060272,-1.3122931573812169
2023-08-31,-33.394680757351324,-42.60725065837679,-44.99994342390664,-2.916180460180784
2023-09-30,-38.69056854767692,-49.15605992544124,-51.81697010311396,-7.521293385734373
2023-10-31,-42.03999058380018,-53.23058205312634,-56.2325379042506,-9.528882304159847
2023-11-30,-36.28812613252348,-46.67082783867181,-49.22115502519251,-1.264915339978523
2023-12-31,-30.754258324255357,-40.00403945582217,-42.400762645738254,0.0
2024-01-31,-32.308919382083126,-42.39558494832325,-45.58683956936584,0.0
2024-02-29,-33.83346464951751,-43.906025724461706,-47.03137733229169,0.0
2024-03-31,-33.315471857066335,-43.28409406581626,-46.50486750687166,0.0
2024-04-30,-37.620257309456825,-48.475441414514485,-52.0193335520942,-4.031957126224162
2024-05-31,-35.81936418374379,-46.433595390811014,-50.069836836856,0.0
2024-06-30,-34.65311837362034,-45.094806129576256,-48.81562567039781,0.0
2024-07-31,-32.281067216420034,-42.875450999663876,-46.43959716897845,0.0
2024-08-31,-30.851378604350753,-41.25778587359444,-44.463018978854606,0.0
2024-09-30,-29.46878296815214,-39.76863275070587,-43.237142043634705,0.0
2024-10-31,-33.31617849124139,-44.08885357429081,-47.47036740515016,-0.89235387660489
2024-11-30,-31.99101185283011,-42.66913573015319,-46.22611478573477,0.0
2024-12-31,-36.33070383578393,-47.67053293050347,-51.722314835106076,-2.40599661651395
2025-01-31,-36.01718582221165,-47.73234826905007,-52.2288642684099,0.0
2025-02-28,-32.372019418546635,-43.66776629630714,-48.14123863773079,-1.2694736490296177
2025-03-31,-33.186726703423986,-45.05096294617063,-49.60462547665357,-6.770670543602431
2025-04-30,-34.095691801145215,-46.64983179711027,-51.17659223023189,-7.578974101565727
2025-05-31,-36.21161801200928,-49.30678513201323,-54.11424237336939,-1.770780918263548
2025-06-30,-34.512288577899284,-47.40784785375698,-52.2933234898628,0.0
2025-07-31,-35.25861403527575,-48.31902978001954,-53.30820623533204,0.0
2025-08-31,-35.25039791588427,-48.94387755554852,-54.23671518278348,0.0
2025-09-30,-32.925254093373034,-45.85915840106013,-51.08410186375504,0.0
2025-10-31,-31.99889262040967,-44.68433098129486,-49.985278669588894,0.0
2025-11-30,-31.813712547565267,-44.91642218830226,-50.2545289162722,0.0
2025-12-31,-33.62651066260064,-47.3287355045218,-52.61209225089949,0.0
2026-01-31,-33.64936249321132,-47.458366409072106,-53.02512082459769,0.0
2026-02-28,-30.57483911646529,-43.982599150192804,-49.588114494310155,-0.8642046247570145
2026-03-31,-33.51155086379733,-47.37734907478583,-52.78910325968356,-5.759487239239602
2026-04-30,-34.06982779265263,-48.24310297151041,-53.60347282534772,0.0
2026-05-31,-33.71817548732751,-47.75939208345265,-53.252322910477425,0.0
2026-06-30,-32.94536322523641,-46.644398944568536,-52.10922026366303,-1.0292566443839024
2026-07-31,-35.94522890485891,-50.593746755027524,-56.036432463962726,-0.994797093102262
2026-08-31,-35.19458579290428,-49.59664715023744,-55.143540476499986,0.0
