year,inflation,series::TLT Local USD::return,series::TLT Local USD::balance,series::EDV Local USD::return,series::EDV Local USD::balance,series::ZROZ Local USD::return,series::ZROZ Local USD::balance,series::benchmark::return,series::benchmark::balance,asset::TLT::return,asset::EDV::return,asset::ZROZ::return
2026,0.03303856050706311,-0.02362502176633474,6660.148958485789,-0.04305785455198885,5221.973498254337,-0.05341970865233148,4663.617668662936,0.13420711013444264,17866.750502939678,-0.02362502176633474,-0.04305785455198885,-0.05341970865233148
2025,0.02653304114557753,0.042472484165815505,6821.302375583703,0.006531643548514099,5456.937520302827,-0.01843040760455561,4926.806221607713,0.17719055511914727,15752.634896480111,0.042472484165815505,0.006531643548514099,-0.01843040760455561
2024,0.028706909675099812,-0.08053124100599962,6543.388414747556,-0.1277834941743471,5421.526044689925,-0.16183464603942566,5019.3142287387145,0.2488648456442082,13381.550529757467,-0.08053124100599962,-0.1277834941743471,-0.16183464603942566
2023,0.033159099427102934,0.02767988986665726,7116.48802718076,0.013586269981612054,6215.803081550066,0.011909878883928915,5988.453477611547,0.2617578001576646,10714.970940554256,0.02767988986665726,0.013586269981612054,0.011909878883928915
2022,0.06404600402357152,-0.31234553188368586,6924.810047712555,-0.39151848644871046,6132.485478185128,-0.41283975449291,5917.971157882582,-0.18175368123865732,8492.098039112856,-0.31234553188368586,-0.39151848644871046,-0.41283975449291
2021,0.07174340285065539,0.007018839953389033,10070.18839953389,0.007834312400718968,10078.34312400719,0.007897112102955184,10078.971121029552,0.037841276446944905,10378.412764469449,0.007018839953389033,0.007834312400718968,0.007897112102955184
