date,Sample Portfolio_drawdown_pct,Portfolio 2_drawdown_pct,Portfolio 3_drawdown_pct,benchmark_drawdown_pct
2020-01-31,0.0,0.0,0.0,0.0
2020-02-29,-3.3723521832822567,-6.264016143659856,-6.602546202690885,-7.916577563479188
2020-03-31,-8.721333366195294,-17.39225687374848,-17.946759824122836,-19.41513968518086
2020-04-30,-0.9688598715271834,-5.465590288168054,-7.749862170390398,-9.182191433710596
2020-05-31,0.0,-0.44137954753667996,-1.9789829199634568,-4.855163744342262
2020-06-30,0.0,0.0,0.0,-3.167796521099364
2020-07-31,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0
2020-09-30,-2.8969870561877498,-6.603829598279399,-5.758259584122061,-3.744356063272425
2020-10-31,-5.083193030431577,-7.5660618997445805,-7.269893764173951,-6.144337165559333
2020-11-30,-0.09793191424153358,-1.7052459587703295,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0
2021-01-31,-1.9827491707914535,0.0,0.0,-1.0190365672240742
2021-02-28,-2.6473751758382624,0.0,0.0,0.0
2021-03-31,-1.0366516361974276,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0
2021-06-30,0.0,-0.47489350130098806,0.0,0.0
2021-07-31,0.0,-2.1039361133635803,-0.4252441032372878,0.0
2021-08-31,0.0,-1.7473099729973463,0.0,0.0
2021-09-30,-4.113410534449846,-5.442837455990734,-2.5796777567808737,-4.660540473390551
2021-10-31,0.0,0.0,0.0,0.0
2021-11-30,-0.18008237248642311,-1.8738469509099964,-1.3240961309729737,-0.803477523805729
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-4.283010644232521,-1.5845517563408018,-3.141093762865499,-5.274132044540059
2022-02-28,-5.070641755910909,-0.6762555313123086,-3.185452683958856,-8.070147308966401
2022-03-31,-3.760850678411587,0.0,-0.2913521281230014,-4.614468618271406
2022-04-30,-10.905957911478792,-7.980284130222259,-8.19042493176484,-12.986364433774611
2022-05-31,-11.827934363949277,-7.52405385681495,-7.431596945200458,-12.78996294928777
2022-06-30,-16.657985922584974,-15.812428781037468,-15.946426797716285,-19.98133977620705
2022-07-31,-12.367009998422084,-12.581631813910699,-9.876337656344736,-12.612620487199422
2022-08-31,-15.80003091091523,-15.852710306564433,-13.10289152273758,-16.178187314202695
2022-09-30,-22.24543452549418,-22.346471874205285,-20.05104354073466,-23.92718565707157
2022-10-31,-19.694604854808805,-18.51059277753313,-14.670664524632905,-17.74431177637942
2022-11-30,-14.499292667820585,-9.869971223144713,-8.250427606650302,-13.171587265568386
2022-12-31,-17.30654368648511,-11.92314115189318,-11.600910253795426,-18.17536253627171
2023-01-31,-11.969658131068106,-4.273804449261642,-5.381521871526218,-13.029624522235494
2023-02-28,-15.097985460565976,-10.171577279846334,-9.207836637468692,-15.216297369370047
2023-03-31,-11.06174473606999,-3.8400004943353716,-2.7303935843336125,-12.07269907374241
2023-04-30,-9.995891218528119,-3.355232048040535,-1.5705585720930504,-10.668074389324255
2023-05-31,-10.524907625737633,-3.827792564998733,0.0,-10.255679755978942
2023-06-30,-7.35593894909079,-0.613457630541625,0.0,-4.440274206819272
2023-07-31,-5.502097597834387,0.0,0.0,-1.3122864182510963
2023-08-31,-7.232148411264183,-3.088636013667545,-1.984880654979626,-2.9161738305760188
2023-09-30,-12.159951805248259,-7.654608606961844,-5.9542880626432755,-7.5212870706009465
2023-10-31,-12.967110873906284,-8.331158030483877,-7.497891420545633,-9.528869297376264
2023-11-30,-6.089956390268981,-0.8159182606561011,0.0,-1.2649017688698416
2023-12-31,-1.762344768120283,0.0,0.0,0.0
