asset,Sample Portfolio_contribution_balance,Portfolio 2_contribution_balance,Portfolio 3_contribution_balance
contribution_SPY,8756.01125263679,0.0,0.0
contribution_GLD,3561.4435252705953,2050.139978329515,2141.374500073583
contribution_TLT,-739.749086952275,0.0,0.0
contribution_QQQ,0.0,7066.840403789715,9592.442828496343
contribution_SLV,0.0,3189.8719248859124,3339.896396678903
contribution_GDX,0.0,3627.040810958128,0.0
contribution_AIA,0.0,4746.8806936676265,0.0
contribution_XLF,0.0,1367.7711787160576,0.0
contribution_XLE,0.0,2807.770442672397,2832.1547423220277
contribution_EWY,0.0,0.0,4071.4580063331377
contribution_EWJ,0.0,0.0,1341.2264469006961
contribution_INDY,0.0,0.0,309.00627542748765
