portfolio,start_balance,end_balance,annualized_return,best_year,worst_year,sharpe_ex_post,sortino,cagr_pct,annualized_volatility_pct,max_drawdown_pct
Sample Portfolio,10000.0,21577.705690955103,0.12352000804420153,0.2421618364522764,-0.17306543686485132,0.7666180075813992,1.1983470150399034,12.22788792642817,12.403016509380073,-22.24543452549418
Portfolio 2,10000.0,34856.31543301935,0.20374799696849663,0.5437907779378852,-0.0995665043684465,1.0042810990716398,1.7078270099404065,20.598587601699236,17.45644193946847,-22.346471874205285
Portfolio 3,10000.0,33627.55919623218,0.19767380294305173,0.4254505575141725,-0.11600910253795416,0.9918776888655895,1.6547399276880665,19.951118478499907,17.06234093606932,-20.05104354073466
benchmark,10000.0,26145.135510113585,0.1592106125845606,0.2872877201276425,-0.18175362536271733,0.7719132253151821,1.2321285732321063,15.507087837368761,16.941588548526777,-23.92718565707157
