asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.09212456797422,0.0,0.0
GLD,12.961531310831425,5.603491078797729,4.400661672064939
TLT,12.946344121194347,0.0,0.0
QQQ,0.0,26.868024625131753,42.525640293145884
SLV,0.0,13.829630593932773,12.294754634403988
GDX,0.0,16.138492622877205,0.0
AIA,0.0,20.407488058795753,0.0
XLF,0.0,7.477113722251091,0.0
XLE,0.0,9.675759298213713,9.916525670735043
EWY,0.0,0.0,16.60243367169366
EWJ,0.0,0.0,7.151169866050656
INDY,0.0,0.0,7.108814191905845
