portfolio,date,portfolio_return,benchmark_return,active_return,cumulative_active_return,annual_active_return,rolling_active_return,rolling_tracking_error
optimized,2015-11-30,-0.01101861351870909,0.016835972153195433,-0.027854585671904523,-0.027854585671904575,-0.02684734521732035,,
optimized,2015-12-31,0.0012813869015956079,0.0002557220113132974,0.0010256648902823105,-0.02684734521732035,-0.02684734521732035,,
optimized,2016-01-31,0.013687230318151038,-0.025380932775084464,0.039068163093235506,0.0125212613749357,-0.013518838407783118,,
optimized,2016-02-29,0.06787563229815341,0.02859474989162858,0.03928088240652483,0.052309548361958225,-0.013518838407783118,,
optimized,2016-03-31,-0.045935010125163926,-0.019009111274071233,-0.026925898851092693,0.022452346273593715,-0.013518838407783118,,
optimized,2016-04-30,0.007179513061401346,-0.0020427683022928855,0.009222281363694232,0.03183807843613884,-0.013518838407783118,,
optimized,2016-05-31,0.03629711280939399,0.06520705548093053,-0.028909942671536543,0.004135771372393737,-0.013518838407783118,,
optimized,2016-06-30,-0.0008049855189378983,-0.027352818785095212,0.026547833266157315,0.032360511250232316,-0.013518838407783118,,
optimized,2016-07-31,0.01726778846053111,0.011352707144533847,0.005915081315997262,0.0390367235150586,-0.013518838407783118,,
optimized,2016-08-31,-0.016022217409296907,-0.006743614232366912,-0.009278603176929995,0.02870633286305213,-0.013518838407783118,,
optimized,2016-09-30,0.0016654070937197837,-0.01144597880005671,0.013111385893776495,0.042375486762526116,-0.013518838407783118,,
optimized,2016-10-31,0.018072030716632173,0.02287494688463143,-0.004802916167999258,0.0382086871254077,-0.013518838407783118,,
optimized,2016-11-30,-0.012498753363508414,0.05597120966121927,-0.06846996302472769,-0.03419629213556452,-0.013518838407783118,,
optimized,2016-12-31,0.04533366031480801,0.05297143128831916,-0.007637770973511149,-0.04421906469800585,-0.013518838407783118,,
optimized,2017-01-31,-6.738113551051279e-05,-0.012575633147284826,0.012508252011774313,-0.029605767201090538,0.0032745094240471673,,
optimized,2017-02-28,0.003984874724293274,0.007940516522765062,-0.003955641798471788,-0.03428604250620837,0.0032745094240471673,,
optimized,2017-03-31,-0.012931173149417722,-0.013690237263574656,0.0007590641141569342,-0.032960253786872284,0.0032745094240471673,,
optimized,2017-04-30,0.03258982188158031,0.021607316489937745,0.010982505391642562,-0.021441789622466345,0.0032745094240471673,,
optimized,2017-05-31,0.00687143442647244,0.004312746683494906,0.002558687742977534,-0.018591920784804872,0.0032745094240471673,,
optimized,2017-06-30,0.012256218880920454,0.03076485341435986,-0.018508634533439407,-0.04059400056104434,0.0032745094240471673,,
optimized,2017-07-31,0.005233267760861836,-0.0038523589514710688,0.009085626712332904,-0.02978895197139364,0.0032745094240471673,,
optimized,2017-08-31,0.028651454631673096,0.007229702727163723,0.021421751904509373,-0.004765897951412468,0.0032745094240471673,,
optimized,2017-09-30,0.01166969663156059,0.04048793841893028,-0.02881824178736969,-0.03988438015464246,0.0032745094240471673,,
optimized,2017-10-31,0.009627434541517812,0.0034760006779075425,0.00615143386361027,-0.03248094912084021,0.0032745094240471673,,
optimized,2017-11-30,-0.023794646783177487,-0.008686469003105435,-0.015108177780072053,-0.05090077546041161,0.0032745094240471673,,
optimized,2017-12-31,0.007386461882594413,0.0016664359480287327,0.00572002593456568,-0.04407342727800034,0.0032745094240471673,,
optimized,2018-01-31,0.06021538328806963,0.059371590317269574,0.0008437929708000544,-0.04566295216173355,0.024739423511157765,,
