portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
benchmark,13,2016-03-31,2016-04-30,2016-05-31,-0.021013048366398723,3,2,1.0,3,0.2902597795604227
benchmark,14,2017-01-31,2017-03-31,2017-04-30,-0.018360387998216154,4,3,1.0,4,0.2490364105692422
benchmark,15,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609477,5,4,1.0,5,0.20593856301340652
benchmark,16,2024-04-30,2024-04-30,2024-05-31,-0.014966156802127317,2,1,1.0,2,0.19835688726225542
benchmark,17,2017-11-30,2017-11-30,2018-01-31,-0.008686469003105435,3,1,2.0,3,0.053740798048621086
benchmark,18,2023-05-31,2023-05-31,2023-06-30,-0.008622364252217185,2,1,1.0,2,0.10950838724045697
benchmark,19,2019-10-31,2019-10-31,2019-11-30,-0.007158957170945612,2,1,1.0,2,0.09004225940804411
benchmark,20,2024-07-31,2024-08-31,2024-09-30,-0.004621230579419322,3,2,1.0,3,0.05715707217720101
benchmark,21,2017-07-31,2017-07-31,2017-08-31,-0.0038523589514710688,2,1,1.0,2,0.04740699447725727
benchmark,22,2023-07-31,2023-07-31,2023-08-31,-0.002501131868121509,2,1,1.0,2,0.030507273021969317
