ticker,name,start_balance,end_balance,cagr,annualized_return,annualized_volatility,best_year,worst_year,max_drawdown,sharpe_ratio,sortino_ratio,3m,ytd,1y,3y,5y,10y,full_period,3y_annualized_volatility,5y_annualized_volatility
SPY,State Street SPDR S&P 500 ETF,1.0,2.614512191202173,0.1550707882607676,0.15921054923427513,0.16941598241176825,0.28728800909857966,-0.18175366882716681,-0.23927182389219892,0.7719124097537983,1.2321273778178394,0.01658483197328664,0.13081637433046667,0.20230859454226113,0.20917490882871004,0.12692138263113573,,0.1550707882607676,0.12939411223748412,0.15869540713673996
GLD,SPDR Gold Shares,1.0,2.85808279126723,0.170607280248817,0.17247550572355413,0.16878170482001742,0.6367653308824839,-0.04148908875959545,-0.23849094597868203,0.8534056216409965,1.5268934889771135,-0.02085726359631579,0.030556927515688503,0.2840569812400424,0.3140001532192995,0.19203814198239333,,0.170607280248817,0.18662219543337663,0.16925895109275918
TLT,iShares 20+ Year Treasury Bond ETF,1.0,0.7422498186530107,-0.04372563215164793,-0.03435470991431086,0.14431021732182886,0.1815225156151299,-0.3123455395796979,-0.47613652847329113,-0.4351109788316623,-0.5742355800857014,-0.02652180885545019,-0.027866051104196043,-0.0034851471303098958,-0.010527028705614061,-0.07982297626461432,,-0.04372563215164793,0.13930369241300133,0.1449108913515374
QQQ,Invesco QQQ Trust,1.0,3.5020031912989387,0.2068338433324013,0.21115775980393447,0.21050663222803156,0.5485554994590529,-0.3257700221853693,-0.3257700221853693,0.8680083276711262,1.4866252083031104,-0.028121377199004982,0.16952757877712177,0.26264386106762605,0.24490742055872006,0.14217145472426296,,0.2068338433324013,0.17744029246219684,0.21090176163793198
SLV,iShares Silver Trust,1.0,3.6049160652267473,0.21208834043458724,0.25136341601545764,0.3457640273960718,1.4466387525867455,-0.12454210435285384,-0.38392749821832683,0.6447378800342788,1.1369858940271864,-0.12000586189378248,-0.06659418228450309,0.661508796624767,0.38999224291186807,0.22118854366129992,,0.21208834043458724,0.34863525503794723,0.3193627201715558
GDX,VanEck Gold Miners ETF,1.0,3.6247120361233143,0.21308442417662055,0.26565375139964176,0.39072621469302254,1.547712189899661,-0.09522242870231723,-0.43310161992965623,0.6071194930854941,1.1576939447429209,0.10079343488410952,0.1485368542822949,0.5707686660196774,0.5164578757331459,0.2649491843250771,,0.21308442417662055,0.39952529027058414,0.3789316512650966
AIA,iShares Asia 50 ETF,1.0,2.4058000368816965,0.1407459329606886,0.15985479193009683,0.23958993588099498,0.47791438726282087,-0.24082918446637558,-0.5056046111801278,0.5485144501035002,0.9658358009856363,-0.022283363066864847,0.4271193585493358,0.6684398167474594,0.37115148104015727,0.1343014848481041,,0.1407459329606886,0.20672470113302963,0.25407411129075325
XLF,Financial Select Sector SPDR Fund,1.0,2.1154234187422043,0.11894720597213104,0.13440478543270984,0.20685476728559282,0.34797852109962757,-0.10586473185259337,-0.2991809634427046,0.5122847146491191,0.7693380458115042,0.12276376134873601,0.06280530924585337,0.08548954991553748,0.20739113289788258,0.10385651596337642,,0.11894720597213104,0.1432332546578309,0.17737478430430473
XLE,Energy Select Sector SPDR Fund,1.0,2.783029042347557,0.1659439165028178,0.2118316919128621,0.33952387881240165,0.6432492906914258,-0.3267132764175612,-0.4440444706725045,0.5401547677717073,0.8747787554880281,0.14445301984631032,0.4502834615892286,0.4592978842494513,0.1656203067752886,0.2595702914580402,,0.1659439165028178,0.2030500365469435,0.26091655253647966
EWY,iShares MSCI South Korea ETF,1.0,3.253953429380191,0.1936079423193191,0.23751440516585356,0.3529508533078335,0.9533032375580921,-0.2658970460985123,-0.4809425052299835,0.5923718648258988,1.0696286892390254,-0.12131371033654503,0.8603167901610478,1.5598311046004043,0.4598318902042635,0.18294945032919774,,0.1936079423193191,0.4291005171152688,0.3833459686953145
EWJ,iShares MSCI Japan ETF,1.0,1.8580406361926027,0.097383134210965,0.104410591945331,0.15021505550175587,0.2584057899106964,-0.1772325230166496,-0.2886400420940314,0.5057704881282219,0.7847361124969596,0.03701530431421629,0.19396765817014638,0.2775666547251281,0.19275647236889037,0.09561421450824548,,0.097383134210965,0.1244761097014691,0.14969499768190442
INDY,iShares India 50 ETF,1.0,1.3718708744061467,0.04856893080431379,0.06508906408413034,0.18267797256564788,0.1942739187335225,-0.11257020336479673,-0.31691081501624596,0.20064167326445798,0.2678522165966146,0.02438904269199549,-0.11257020336479673,-0.06953854822831085,0.01869830650944526,0.006494269352083526,,0.04856893080431379,0.12409523394200028,0.1256299167303056
